SchoolYear,ESD,CountyNumber,County,CountyDistrictNumber,District,TotalEnrollment,NumberAmericanIndianorAlaskanNative,PercentAmericanIndianorAlaskanNative,NumberAsian,PercentAsian,NumberPacificIslander,PercentPacificIslander,NumberAsianPacificIslander,PercentAsianPacificIslander,NumberBlack,PercentBlack,NumberHispanic,PercentHispanic,NumberWhite,PercentWhite,NumberTwoOrMoreRaces,PercentTwoOrMoreRaces,NumberMales,PercentMales,NumberFemales,PercentFemales,NumberMigrant,PercentMigrant,NumberTransitionalBilingual,PercentTransitionalBilingual,NumberSpecialEducation,PercentSpecialEducation,NumberFreeorReducedPricedMeals,PercentFreeorReducedPricedMeals,NumberSection504,PercentSection504,NumberFosterCare,PercentFosterCare,StudentsPerClassroomTeacher,AvgYearsEducationalExperience,NumberTeachersWithAtLeastMasterDegree,PercentTeachersWithAtLeastMasterDegree
2014-15,Educational Service District 113,14,Grays Harbor,14005,Aberdeen School District,3242,141,4.35,85,2.62,10,0.31,95,2.93,41,1.26,952,29.36,1858,57.31,155,4.78,1663,51.3,1579,48.7,97,3,340,10.52,549,16.99,2104,65.12,41,1.27,46,1.42,16,15.2,142,71.36
2014-15,Educational Service District 113,21,Lewis,21226,Adna School District,612,3,0.49,4,0.65,0,0,4,0.65,3,0.49,35,5.72,553,90.36,14,2.29,324,52.94,288,47.06,0,0,0,0,57,9.25,151,24.51,8,1.3,N<10,,19,16.8,26,81.25
2014-15,Educational Service District 101,22,Lincoln,22017,Almira School District,114,0,0,2,1.75,0,0,2,1.75,1,0.88,8,7.02,99,86.84,4,3.51,62,54.39,52,45.61,0,0,0,0,17,14.66,47,40.52,0,0,N<10,,10,18.5,9,81.82
2014-15,Northwest Educational Service District 189,29,Skagit,29103,Anacortes School District,2689,20,0.74,92,3.42,8,0.3,100,3.72,42,1.56,227,8.44,2254,83.82,44,1.64,1356,50.43,1333,49.57,10,0.37,64,2.37,280,10.39,801,29.72,113,4.19,N<10,,18,15,116,77.85
2014-15,Northwest Educational Service District 189,31,Snohomish,31016,Arlington School District,5498,62,1.13,85,1.55,30,0.55,115,2.09,62,1.13,645,11.73,4342,78.97,272,4.95,2866,52.13,2632,47.87,56,1.01,220,3.97,675,12.17,1860,33.53,107,1.93,52,0.94,19,14.1,212,73.36
2014-15,Educational Service District 123,02,Asotin,02420,Asotin-Anatone School District,620,5,0.81,3,0.48,0,0,3,0.48,1,0.16,42,6.77,533,85.97,36,5.81,301,48.55,319,51.45,0,0,0,0,83,13.2,178,28.30,11,1.75,N<10,,16,13.4,19,50
2014-15,Puget Sound Educational Service District 121,17,King,17408,Auburn School District,15436,221,1.43,1176,7.62,528,3.42,1704,11.04,1046,6.78,4048,26.22,7012,45.43,1405,9.1,7820,50.66,7616,49.34,35,0.23,2404,15.56,1724,11.16,8497,55.01,266,1.72,84,0.54,18,13.8,560,65.5
2014-15,Puget Sound Educational Service District 121,18,Kitsap,18303,Bainbridge Island School District,3896,23,0.59,135,3.47,4,0.1,139,3.57,27,0.69,249,6.39,3140,80.6,318,8.16,1995,51.21,1901,48.79,0,0,28,0.72,486,12.42,295,7.54,207,5.29,N<10,,16,15.1,186,78.15
2014-15,Educational Service District 112,06,Clark,06119,Battle Ground School District,13512,34,0.25,256,1.89,45,0.33,301,2.23,84,0.62,1123,8.31,11279,83.47,691,5.11,6915,51.18,6597,48.82,5,0.04,762,5.62,1714,12.64,4890,36.05,272,2.01,86,0.63,18,14.1,523,70.3
2014-15,Puget Sound Educational Service District 121,17,King,17405,Bellevue School District,19463,28,0.14,6676,34.3,39,0.2,6715,34.5,537,2.76,2290,11.77,8157,41.91,1736,8.92,10153,52.17,9310,47.83,1,0.01,2047,10.46,1769,9.04,3541,18.09,822,4.2,40,0.2,14,10.9,980,72.97
