SchoolYear,ESD,CountyNumber,County,CountyDistrictNumber,District,TotalEnrollment,NumberAmericanIndianorAlaskanNative,PercentAmericanIndianorAlaskanNative,NumberAsian,PercentAsian,NumberPacificIslander,PercentPacificIslander,NumberAsianPacificIslander,PercentAsianPacificIslander,NumberBlack,PercentBlack,NumberHispanic,PercentHispanic,NumberWhite,PercentWhite,NumberTwoOrMoreRaces,PercentTwoOrMoreRaces,NumberMales,PercentMales,NumberFemales,PercentFemales,NumberMigrant,PercentMigrant,NumberTransitionalBilingual,PercentTransitionalBilingual,NumberSpecialEducation,PercentSpecialEducation,NumberFreeorReducedPricedMeals,PercentFreeorReducedPricedMeals,NumberSection504,PercentSection504,NumberFosterCare,PercentFosterCare,StudentsPerClassroomTeacher,AvgYearsEducationalExperience,NumberTeachersWithAtLeastMasterDegree,PercentTeachersWithAtLeastMasterDegree
2011-12,Educational Service District 113,14,Grays Harbor,14005,Aberdeen School District,3375,73,2.16,52,1.54,7,0.21,59,1.75,18,0.53,874,25.9,2035,60.3,316,9.36,1734,51.38,1641,48.62,96,2.95,242,7.45,540,16.62,2169,66.74,33,1.02,0,0,17,12.4,130,66.67
2011-12,Educational Service District 113,21,Lewis,21226,Adna School District,621,2,0.32,9,1.45,1,0.16,10,1.61,4,0.64,28,4.51,567,91.3,10,1.61,337,54.27,284,45.73,0,0,0,0,59,9.49,193,31.03,15,2.41,3,0.48,19,12.5,25,75.76
2011-12,Educational Service District 101,22,Lincoln,22017,Almira School District,92,0,0,0,0,0,0,0,0,0,0,8,8.7,79,85.87,5,5.43,46,50,46,50,0,0,0,0,12,13.04,38,41.3,2,2.17,0,0,8,13.9,10,83.33
2011-12,Northwest Educational Service District 189,29,Skagit,29103,Anacortes School District,2748,47,1.71,96,3.49,2,0.07,98,3.57,46,1.67,197,7.17,2337,85.04,23,0.84,1438,52.33,1310,47.67,0,0,52,1.91,276,10.14,942,34.62,75,2.76,6,0.22,20,13.1,102,73.38
2011-12,Northwest Educational Service District 189,31,Snohomish,31016,Arlington School District,5368,66,1.23,108,2.01,26,0.48,134,2.5,74,1.38,564,10.51,4322,80.51,207,3.86,2768,51.56,2600,48.44,45,0.83,171,3.17,579,10.72,1816,33.62,26,0.48,9,0.17,19,11.1,210,76.09
2011-12,Educational Service District 123,02,Asotin,02420,Asotin-Anatone School District,615,6,0.98,7,1.14,0,0,7,1.14,1,0.16,36,5.85,537,87.32,28,4.55,315,51.22,300,48.78,0,0,1,0.17,87,14.7,203,34.29,5,0.84,0,0,15,12.9,20,48.78
2011-12,Puget Sound Educational Service District 121,17,King,17408,Auburn School District,14479,252,1.74,1143,7.89,361,2.49,1504,10.39,1031,7.12,3139,21.68,7589,52.41,964,6.66,7381,50.98,7098,49.02,0,0,1817,12.56,1729,11.95,7750,53.56,231,1.6,0,0,19,13.1,542,70.66
2011-12,Puget Sound Educational Service District 121,18,Kitsap,18303,Bainbridge Island School District,3838,24,0.63,163,4.25,6,0.16,169,4.4,18,0.47,209,5.45,3189,83.09,229,5.97,1949,50.78,1889,49.22,0,0,26,0.68,468,12.16,287,7.46,156,4.05,0,0,17,14.1,182,79.82
2011-12,Educational Service District 112,06,Clark,06119,Battle Ground School District,12923,48,0.37,231,1.79,33,0.26,264,2.04,98,0.76,964,7.46,10934,84.61,615,4.76,6641,51.39,6282,48.61,15,0.12,1006,7.77,1704,13.17,5125,39.6,195,1.51,43,0.33,19,12.1,478,69.38
2011-12,Puget Sound Educational Service District 121,17,King,17405,Bellevue School District,18481,53,0.29,5532,29.93,29,0.16,5561,30.09,553,2.99,1932,10.45,8918,48.25,1464,7.92,9673,52.34,8808,47.66,0,0,1693,9.13,1642,8.86,3955,21.34,605,3.26,0,0,16,9.8,833,70.71
