SchoolYear,ESD,CountyNumber,County,CountyDistrictNumber,District,TotalEnrollment,NumberAmericanIndianorAlaskanNative,PercentAmericanIndianorAlaskanNative,NumberAsian,PercentAsian,NumberPacificIslander,PercentPacificIslander,NumberAsianPacificIslander,PercentAsianPacificIslander,NumberBlack,PercentBlack,NumberHispanic,PercentHispanic,NumberWhite,PercentWhite,NumberMales,PercentMales,NumberFemales,PercentFemales,NumberMigrant,PercentMigrant,NumberTransitionalBilingual,PercentTransitionalBilingual,NumberSpecialEducation,PercentSpecialEducation,NumberFreeorReducedPricedMeals,PercentFreeorReducedPricedMeals,StudentsPerClassroomTeacher,AvgYearsEducationalExperience,NumberTeachersWithAtLeastMasterDegree,PercentTeachersWithAtLeastMasterDegree
2008-09,Educational Service District 101,01,Adams,01109,Washtucna School District,63,0,0,0,0,0,0,0,0,1,1.587301587,5,7.936507937,57,90.47619048,30,47.61904762,33,52.38095238,0,0,0,0,5,7.042253521,43,60.56338028,5,12.6,9,64.3
2008-09,Educational Service District 101,01,Adams,01122,Benge School District,6,0,0,0,0,0,0,0,0,0,0,1,16.66666667,5,83.33333333,1,16.66666667,5,83.33333333,0,0,0,0,0,0,0,0,3,25,0,0
2008-09,Educational Service District 123,01,Adams,01147,Othello School District,3525,10,0.2836879433,16,0.4539007092,2,0.05673758865,18,0.510638,15,0.4255319149,2850,80.85106383,632,17.92907801,1811,51.37588652,1714,48.62411348,539,15.08114158,1271,35.56239508,348,9.736989368,2760,77.22439843,18,10.6,89,46.6
2008-09,Educational Service District 101,01,Adams,01158,Lind School District,212,6,2.830188679,5,2.358490566,0,0,5,2.35849,0,0,55,25.94339623,142,66.98113208,109,51.41509434,103,48.58490566,23,10.45454545,20,9.090909091,20,9.090909091,145,65.90909091,11,16.4,9,47.4
2008-09,Educational Service District 101,01,Adams,01160,Ritzville School District,355,6,1.690140845,5,1.408450704,0,0,5,1.40845,0,0,28,7.887323944,313,88.16901408,179,50.42253521,176,49.57746479,0,0,0,0,22,6.02739726,141,38.63013699,13,11.8,16,57.1
2008-09,Educational Service District 123,02,Asotin,02250,Clarkston School District,2699,57,2.111893294,23,0.8521674694,4,0.1482030382,27,1.00037,38,1.407928863,92,3.408669878,2429,89.99629492,1388,51.42645424,1311,48.57354576,0,0,25,0.904159132,509,18.40867993,1379,49.87341772,18,15.3,84,56.4
2008-09,Educational Service District 123,02,Asotin,02420,Asotin-Anatone School District,602,9,1.495016611,4,0.6644518272,0,0,4,0.664452,4,0.6644518272,6,0.9966777409,574,95.34883721,316,52.49169435,286,47.50830565,0,0,0,0,106,15.8445441,226,33.78176383,15,14.4,21,53.8
2008-09,Educational Service District 123,03,Benton,03017,Kennewick School District,15415,130,0.8433344145,332,2.153746351,47,0.3048978268,379,2.45864,352,2.283490107,4327,28.07006163,9684,62.82192669,7964,51.66396367,7451,48.33603633,1554,10.03940823,1660,10.72420699,1829,11.81600879,5895,38.08385555,19,14.3,568,69.3
2008-09,Educational Service District 123,03,Benton,03050,Paterson School District,95,0,0,1,1.052631579,0,0,1,1.05263,0,0,47,49.47368421,47,49.47368421,48,50.52631579,47,49.47368421,40,36.36363636,32,29.09090909,12,10.90909091,61,55.45454545,11,12.1,6,66.7
2008-09,Educational Service District 123,03,Benton,03052,Kiona-Benton City School District,1528,7,0.4581151832,12,0.7853403141,1,0.06544502618,13,0.850785,11,0.719895288,465,30.43193717,1028,67.27748691,814,53.27225131,714,46.72774869,172,10.99744246,177,11.31713555,250,15.98465473,883,56.45780051,17,13.2,52,57.8
2008-09,Educational Service District 123,03,Benton,03053,Finley School District,984,13,1.321138211,7,0.7113821138,0,0,7,0.711382,5,0.5081300813,247,25.10162602,690,70.12195122,505,51.32113821,479,48.67886179,45,4.550050556,121,12.23458038,136,13.7512639,631,63.80182002,16,15.8,39,61.9
2008-09,Educational Service District 123,03,Benton,03116,Prosser School District,2879,13,0.4515456756,22,0.7641542202,3,0.1042028482,25,0.868357,19,0.659951372,1455,50.53838138,1309,45.4671761,1463,50.81625564,1416,49.18374436,680,23.57836338,529,18.34257975,358,12.41331484,1751,60.71428571,17,13.9,115,69.3
2008-09,Educational Service District 123,03,Benton,03400,Richland School District,10599,118,1.113312577,503,4.745730729,12,0.1132182281,515,4.85895,291,2.745542032,906,8.547976224,8648,81.59260308,5468,51.58977262,5131,48.41022738,0,0,231,2.153846154,1271,11.85081585,3208,29.91142191,19,12.6,371,65.2
2008-09,North Central Educational Service District 171,04,Chelan,04019,Manson School District,606,2,0.3300330033,2,0.3300330033,0,0,2,0.330033,1,0.1650165017,419,69.14191419,182,30.0330033,327,53.96039604,279,46.03960396,37,5.683563748,211,32.41167435,71,10.906298,464,71.2749616,14,12.2,30,68.2
2008-09,North Central Educational Service District 171,04,Chelan,04069,Stehekin School District,18,0,0,0,0,0,0,0,0,0,0,0,0,18,100,10,55.55555556,8,44.44444444,0,0,0,0,0,0,0,0,18,30,1,100
2008-09,North Central Educational Service District 171,04,Chelan,04127,Entiat School District,365,7,1.917808219,15,4.109589041,0,0,15,4.10959,3,0.8219178082,103,28.21917808,236,64.65753425,197,53.97260274,168,46.02739726,11,2.949061662,41,10.9919571,42,11.26005362,205,54.95978552,16,11.9,15,65.2
2008-09,North Central Educational Service District 171,04,Chelan,04129,Lake Chelan School District,1400,22,1.571428571,3,0.2142857143,0,0,3,0.214286,1,0.07142857143,653,46.64285714,717,51.21428571,746,53.28571429,654,46.71428571,78,5.543710021,278,19.7583511,139,9.879175551,830,58.99076048,17,14.2,50,61
2008-09,North Central Educational Service District 171,04,Chelan,04222,Cashmere School District,1504,17,1.130319149,16,1.063829787,1,0.0664893617,17,1.13032,11,0.7313829787,483,32.1143617,966,64.2287234,761,50.59840426,743,49.40159574,112,7.436918991,183,12.15139442,119,7.901726428,663,44.02390438,17,12.1,57,66.3
