SchoolYear,ESD,CountyNumber,County,CountyDistrictNumber,District,TotalEnrollment,NumberAmericanIndianorAlaskanNative,PercentAmericanIndianorAlaskanNative,NumberAsian,PercentAsian,NumberPacificIslander,PercentPacificIslander,NumberAsianPacificIslander,PercentAsianPacificIslander,NumberBlack,PercentBlack,NumberHispanic,PercentHispanic,NumberWhite,PercentWhite,NumberTwoOrMoreRaces,PercentTwoOrMoreRaces,NumberMales,PercentMales,NumberFemales,PercentFemales,NumberMigrant,PercentMigrant,NumberTransitionalBilingual,PercentTransitionalBilingual,NumberSpecialEducation,PercentSpecialEducation,NumberFreeorReducedPricedMeals,PercentFreeorReducedPricedMeals,NumberSection504,PercentSection504,NumberFosterCare,PercentFosterCare,StudentsPerClassroomTeacher,AvgYearsEducationalExperience,NumberTeachersWithAtLeastMasterDegree,PercentTeachersWithAtLeastMasterDegree
2010-11,Educational Service District 113,14,Grays Harbor,14005,Aberdeen School District,3351,68,2.03,52,1.55,10,0.3,62,1.85,18,0.54,827,24.68,2068,61.71,308,9.19,1757,52.43,1594,47.57,94,2.85,273,8.27,503,15.23,2156,65.27,27,0.82,0,0,17,12.6,126,63.32
2010-11,Educational Service District 113,21,Lewis,21226,Adna School District,604,2,0.33,5,0.83,0,0,5,0.83,1,0.17,25,4.14,540,89.4,31,5.13,335,55.46,269,44.54,0,0,0,0,56,9.49,182,30.85,1,0.17,0,0,17,11.9,26,74.29
2010-11,Educational Service District 101,22,Lincoln,22017,Almira School District,93,0,0,0,0,0,0,0,0,0,0,6,6.45,82,88.17,5,5.38,52,55.91,41,44.09,0,0,0,0,13,13.54,43,44.79,0,0,0,0,7,13.9,9,69.23
2010-11,Northwest Educational Service District 189,29,Skagit,29103,Anacortes School District,2754,54,1.96,94,3.41,3,0.11,97,3.52,48,1.74,192,6.97,2355,85.51,8,0.29,1419,51.53,1335,48.47,0,0,60,2.18,277,10.08,915,33.31,50,1.82,0,0,19,13.7,108,74.48
2010-11,Northwest Educational Service District 189,31,Snohomish,31016,Arlington School District,5476,73,1.33,127,2.32,25,0.46,152,2.78,89,1.63,553,10.1,4395,80.26,214,3.91,2792,50.99,2684,49.01,0,0,171,3.12,577,10.53,923,16.85,24,0.44,3,0.05,20,11.1,203,75.19
2010-11,Educational Service District 123,02,Asotin,02420,Asotin-Anatone School District,638,9,1.41,6,0.94,0,0,6,0.94,3,0.47,37,5.8,561,87.93,22,3.45,322,50.47,316,49.53,0,0,0,0,91,14.26,234,36.68,3,0.47,0,0,16,12.5,20,50
2010-11,Puget Sound Educational Service District 121,17,King,17408,Auburn School District,14684,298,2.03,1186,8.08,356,2.42,1542,10.5,1127,7.68,2924,19.91,8036,54.73,757,5.16,7541,51.36,7143,48.64,0,0,1824,12.52,1733,11.89,7585,52.05,224,1.54,0,0,19,12.9,541,69.36
2010-11,Puget Sound Educational Service District 121,18,Kitsap,18303,Bainbridge Island School District,3867,24,0.62,162,4.19,4,0.1,166,4.29,23,0.59,201,5.2,3248,83.99,205,5.3,1965,50.81,1902,49.19,0,0,34,0.87,473,12.08,305,7.79,163,4.16,0,0,17,13.7,177,76.29
2010-11,Educational Service District 112,06,Clark,06119,Battle Ground School District,13354,48,0.36,227,1.7,33,0.25,260,1.95,112,0.84,973,7.29,11316,84.74,645,4.83,6870,51.45,6484,48.55,0,0,685,5.13,1647,12.34,5064,37.96,165,1.24,0,0,19,13.1,477,67.37
2010-11,Puget Sound Educational Service District 121,17,King,17405,Bellevue School District,18123,57,0.31,5181,28.59,16,0.09,5197,28.68,561,3.1,1848,10.2,9046,49.91,1414,7.8,9453,52.16,8670,47.84,0,0,1708,9.44,1746,9.65,4001,22.12,440,2.43,0,0,15,9.7,822,67.65
