SchoolYear,County,Adjusted Cohort,Began Grade 9 in Washington,Transferred Into Washington,Transferred Out,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2010-11,Adams,303,,,,5,5,15,17,20,235,6,77.6,20.5,2.0
2010-11,Asotin,310,,,,2,6,9,30,22,227,14,73.2,12.6,4.5
2010-11,Benton,2518,,,,23,24,69,160,108,2072,62,82.3,8.9,2.5
2010-11,Chelan,1035,,,,23,8,30,71,89,778,36,75.2,14.5,3.5
2010-11,Clallam,1843,,,,54,76,123,342,295,812,141,44.1,29.7,7.7
2010-11,Clark,5728,,,,37,79,193,391,333,4531,164,79.1,11.2,2.9
2010-11,Columbia,33,,,,0,1,1,2,0,28,1,84.8,6.1,3.0
2010-11,Cowlitz,1483,,,,4,22,64,74,66,1206,47,81.3,10.5,3.2
2010-11,Douglas,521,,,,10,7,9,22,15,444,14,85.2,7.9,2.7
2010-11,Ferry,73,,,,0,0,2,5,4,60,2,82.2,8.2,2.7
2010-11,Franklin,1032,,,,18,33,60,92,54,736,39,71.3,16.0,3.8
2010-11,Garfield,34,,,,0,0,0,0,1,33,0,97.1,2.9,0.0
2010-11,Grant,1339,,,,12,33,53,90,75,1046,30,78.1,12.9,2.2
2010-11,Grays Harbor,926,,,,10,15,44,90,58,682,27,73.7,13.7,2.9
2010-11,Island,672,,,,9,2,14,20,43,566,18,84.2,10.1,2.7
2010-11,Jefferson,268,,,,1,3,5,16,7,231,5,86.2,6.0,1.9
2010-11,King,19847,,,,206,339,496,1016,841,16349,600,82.4,9.5,3.0
2010-11,Kitsap,3215,,,,7,22,63,108,153,2737,125,85.1,7.6,3.9
2010-11,Kittitas,426,,,,3,17,34,36,26,301,9,70.7,18.8,2.1
2010-11,Klickitat,233,,,,3,3,10,10,2,201,4,86.3,7.7,1.7
2010-11,Lewis,1055,,,,12,11,42,113,58,790,29,74.9,11.7,2.7
2010-11,Lincoln,169,,,,3,2,2,3,8,151,0,89.3,8.9,0.0
2010-11,Mason,609,,,,6,12,22,52,37,448,32,73.6,12.6,5.3
2010-11,Okanogan,474,,,,9,7,12,37,42,351,16,74.1,14.8,3.4
2010-11,Pacific,291,,,,3,11,19,33,10,210,5,72.2,14.8,1.7
2010-11,Pend Oreille,160,,,,2,3,3,7,9,129,7,80.6,10.6,4.4
2010-11,Pierce,8940,,,,76,203,327,675,577,6767,315,75.7,13.2,3.5
2010-11,San Juan,153,,,,0,2,4,14,3,124,6,81.0,5.9,3.9
2010-11,Skagit,1575,,,,8,42,87,138,125,1119,56,71.0,16.6,3.6
2010-11,Skamania,193,,,,4,4,12,55,44,72,2,37.3,33.2,1.0
2010-11,Snohomish,8663,,,,58,131,246,531,591,6678,428,77.1,11.8,4.9
2010-11,Spokane,5939,,,,77,105,256,348,225,4776,152,80.4,11.2,2.6
2010-11,Stevens,696,,,,7,18,24,81,67,457,42,65.7,16.7,6.0
2010-11,Thurston,3130,,,,11,31,63,247,168,2528,82,80.8,8.7,2.6
2010-11,Wahkiakum,44,,,,0,1,1,4,0,36,2,81.8,4.5,4.5
2010-11,Walla Walla,678,,,,3,8,3,24,49,573,18,84.5,9.3,2.7
2010-11,Whatcom,2180,,,,21,60,86,125,100,1723,65,79.0,12.2,3.0
2010-11,Whitman,368,,,,8,5,5,7,6,333,4,90.5,6.5,1.1
2010-11,Yakima,3656,,,,46,93,121,259,287,2678,172,73.2,15.0,4.7
