SchoolYear,County,Adjusted Cohort,Began Grade 9 in Washington,Transferred Into Washington,Transferred Out,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2010-11,Adams,2,,,,0,0,0,0,0,2,0,100.0,0.0,0.0
2010-11,Asotin,1,,,,0,0,0,1,0,0,0,0.0,0.0,0.0
2010-11,Benton,85,,,,0,0,0,0,3,79,3,92.9,3.5,3.5
2010-11,Chelan,12,,,,0,0,1,1,0,10,0,83.3,8.3,0.0
2010-11,Clallam,53,,,,2,1,3,9,11,21,6,39.6,32.1,11.3
2010-11,Clark,287,,,,1,3,6,14,14,241,8,84.0,8.4,2.8
2010-11,Columbia,0,,,,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,Cowlitz,21,,,,0,0,2,0,0,17,2,81.0,9.5,9.5
2010-11,Douglas,2,,,,0,0,0,0,0,2,0,100.0,0.0,0.0
2010-11,Ferry,2,,,,0,0,0,0,0,2,0,100.0,0.0,0.0
2010-11,Franklin,12,,,,0,0,0,1,0,11,0,91.7,0.0,0.0
2010-11,Garfield,1,,,,0,0,0,0,0,1,0,100.0,0.0,0.0
2010-11,Grant,10,,,,0,0,0,0,0,9,1,90.0,0.0,10.0
2010-11,Grays Harbor,19,,,,0,2,0,1,1,15,0,78.9,15.8,0.0
2010-11,Island,81,,,,2,0,1,1,8,65,4,80.2,13.6,4.9
2010-11,Jefferson,11,,,,0,0,0,0,0,11,0,100.0,0.0,0.0
2010-11,King,3416,,,,27,45,54,109,124,2959,98,86.6,7.3,2.9
2010-11,Kitsap,248,,,,0,0,3,5,6,228,6,91.9,3.6,2.4
2010-11,Kittitas,8,,,,0,0,0,1,1,6,0,75.0,12.5,0.0
2010-11,Klickitat,3,,,,0,0,0,0,0,3,0,100.0,0.0,0.0
2010-11,Lewis,11,,,,0,0,0,4,0,6,1,54.5,0.0,9.1
2010-11,Lincoln,0,,,,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,Mason,7,,,,0,0,0,0,0,7,0,100.0,0.0,0.0
2010-11,Okanogan,5,,,,0,0,0,0,0,5,0,100.0,0.0,0.0
2010-11,Pacific,13,,,,0,1,0,1,0,11,0,84.6,7.7,0.0
2010-11,Pend Oreille,0,,,,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,Pierce,803,,,,4,17,12,50,51,638,31,79.5,10.5,3.9
2010-11,San Juan,4,,,,0,0,0,0,0,3,1,75.0,0.0,25.0
2010-11,Skagit,34,,,,0,2,0,0,2,29,1,85.3,11.8,2.9
2010-11,Skamania,3,,,,0,0,0,1,1,1,0,33.3,33.3,0.0
2010-11,Snohomish,841,,,,5,2,14,22,41,725,32,86.2,7.4,3.8
2010-11,Spokane,147,,,,2,0,5,8,5,119,8,81.0,8.2,5.4
2010-11,Stevens,10,,,,0,0,0,0,0,10,0,100.0,0.0,0.0
2010-11,Thurston,256,,,,0,1,1,18,6,226,4,88.3,3.1,1.6
2010-11,Wahkiakum,0,,,,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,Walla Walla,11,,,,0,0,0,0,0,11,0,100.0,0.0,0.0
2010-11,Whatcom,97,,,,0,6,3,6,5,77,0,79.4,14.4,0.0
2010-11,Whitman,23,,,,3,0,0,0,0,20,0,87.0,13.0,0.0
2010-11,Yakima,42,,,,1,1,0,1,2,36,1,85.7,9.5,2.4
