SchoolYear,County,Adjusted Cohort,Began Grade 9 in Washington,Transferred Into Washington,Transferred Out,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2010-11,Adams,0,,,,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,Asotin,2,,,,0,0,0,0,1,0,1,0.0,50.0,50.0
2010-11,Benton,50,,,,1,0,3,7,4,33,2,66.0,16.0,4.0
2010-11,Chelan,3,,,,0,0,0,0,1,1,1,33.3,33.3,33.3
2010-11,Clallam,85,,,,1,3,5,27,12,23,14,27.1,24.7,16.5
2010-11,Clark,182,,,,1,4,11,25,17,118,6,64.8,18.1,3.3
2010-11,Columbia,0,,,,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,Cowlitz,25,,,,0,0,0,5,2,16,2,64.0,8.0,8.0
2010-11,Douglas,6,,,,0,0,1,0,0,5,0,83.3,16.7,0.0
2010-11,Ferry,0,,,,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,Franklin,24,,,,0,0,3,0,0,20,1,83.3,12.5,4.2
2010-11,Garfield,0,,,,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,Grant,14,,,,0,0,0,0,1,12,1,85.7,7.1,7.1
2010-11,Grays Harbor,11,,,,1,0,0,1,1,8,0,72.7,18.2,0.0
2010-11,Island,32,,,,1,0,1,0,2,27,1,84.4,12.5,3.1
2010-11,Jefferson,3,,,,0,0,0,0,0,2,1,66.7,0.0,33.3
2010-11,King,1918,,,,43,55,75,145,150,1346,104,70.2,16.8,5.4
2010-11,Kitsap,125,,,,1,1,4,7,9,100,3,80.0,12.0,2.4
2010-11,Kittitas,6,,,,0,0,1,2,1,2,0,33.3,33.3,0.0
2010-11,Klickitat,1,,,,0,0,0,0,0,1,0,100.0,0.0,0.0
2010-11,Lewis,39,,,,1,0,0,16,6,11,5,28.2,17.9,12.8
2010-11,Lincoln,2,,,,0,0,0,0,0,2,0,100.0,0.0,0.0
2010-11,Mason,7,,,,0,0,1,1,0,5,0,71.4,14.3,0.0
2010-11,Okanogan,5,,,,0,0,0,0,0,4,1,80.0,0.0,20.0
2010-11,Pacific,15,,,,1,1,2,6,0,5,0,33.3,26.7,0.0
2010-11,Pend Oreille,1,,,,0,0,0,0,0,1,0,100.0,0.0,0.0
2010-11,Pierce,917,,,,9,20,39,95,91,623,40,67.9,17.3,4.4
2010-11,San Juan,3,,,,0,0,0,1,0,2,0,66.7,0.0,0.0
2010-11,Skagit,24,,,,0,0,1,7,3,12,1,50.0,16.7,4.2
2010-11,Skamania,10,,,,0,0,1,6,2,1,0,10.0,30.0,0.0
2010-11,Snohomish,297,,,,0,6,8,23,27,211,22,71.0,13.8,7.4
2010-11,Spokane,155,,,,6,2,8,5,11,116,7,74.8,17.4,4.5
2010-11,Stevens,18,,,,0,1,2,4,4,5,2,27.8,38.9,11.1
2010-11,Thurston,140,,,,1,2,3,12,14,104,4,74.3,14.3,2.9
2010-11,Wahkiakum,0,,,,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,Walla Walla,14,,,,0,1,0,1,2,7,3,50.0,21.4,21.4
2010-11,Whatcom,38,,,,0,1,2,1,1,33,0,86.8,10.5,0.0
2010-11,Whitman,10,,,,0,0,0,0,0,10,0,100.0,0.0,0.0
2010-11,Yakima,53,,,,0,2,1,6,2,38,4,71.7,9.4,7.5
