SchoolYear,County,Adjusted Cohort,Began Grade 9 in Washington,Transferred Into Washington,Transferred Out,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2010-11,Adams,151,,,,0,0,5,8,11,123,4,81.5,15.9,2.6
2010-11,Asotin,149,,,,1,3,3,14,9,112,7,75.2,10.7,4.7
2010-11,Benton,1234,,,,17,9,31,63,48,1040,26,84.3,8.5,2.1
2010-11,Chelan,511,,,,7,6,17,31,26,405,19,79.3,11.0,3.7
2010-11,Clallam,993,,,,23,32,68,181,168,446,75,44.9,29.3,7.6
2010-11,Clark,2814,,,,14,34,84,166,124,2320,72,82.4,9.1,2.6
2010-11,Columbia,16,,,,0,1,0,1,0,13,1,81.3,6.3,6.3
2010-11,Cowlitz,737,,,,4,5,31,28,29,619,21,84.0,9.4,2.8
2010-11,Douglas,234,,,,4,1,3,8,8,207,3,88.5,6.8,1.3
2010-11,Ferry,38,,,,0,0,1,3,1,32,1,84.2,5.3,2.6
2010-11,Franklin,508,,,,11,18,24,38,17,383,17,75.4,13.8,3.3
2010-11,Garfield,11,,,,0,0,0,0,1,10,0,90.9,9.1,0.0
2010-11,Grant,676,,,,8,17,22,33,36,551,9,81.5,12.3,1.3
2010-11,Grays Harbor,449,,,,7,10,19,31,17,356,9,79.3,11.8,2.0
2010-11,Island,307,,,,3,0,5,8,19,267,5,87.0,8.8,1.6
2010-11,Jefferson,141,,,,1,0,4,8,4,121,3,85.8,6.4,2.1
2010-11,King,9572,,,,99,147,191,420,337,8142,236,85.1,8.1,2.5
2010-11,Kitsap,1589,,,,4,12,21,44,58,1398,52,88.0,6.0,3.3
2010-11,Kittitas,203,,,,1,6,15,13,9,156,3,76.8,15.3,1.5
2010-11,Klickitat,127,,,,2,2,6,4,1,110,2,86.6,8.7,1.6
2010-11,Lewis,464,,,,1,5,18,27,13,394,6,84.9,8.0,1.3
2010-11,Lincoln,76,,,,1,1,1,3,0,70,0,92.1,3.9,0.0
2010-11,Mason,298,,,,1,4,7,22,15,236,13,79.2,9.1,4.4
2010-11,Okanogan,247,,,,6,5,7,16,21,188,4,76.1,15.8,1.6
2010-11,Pacific,125,,,,1,2,5,4,1,109,3,87.2,7.2,2.4
2010-11,Pend Oreille,83,,,,2,1,1,4,4,68,3,81.9,9.6,3.6
2010-11,Pierce,4342,,,,38,104,152,273,231,3437,107,79.2,12.1,2.5
2010-11,San Juan,80,,,,0,2,1,6,2,67,2,83.8,6.3,2.5
2010-11,Skagit,790,,,,3,23,41,57,44,596,26,75.4,14.1,3.3
2010-11,Skamania,105,,,,3,2,5,31,22,41,1,39.0,30.5,1.0
2010-11,Snohomish,4132,,,,31,55,114,214,244,3298,176,79.8,10.7,4.3
2010-11,Spokane,2920,,,,38,47,102,149,99,2429,56,83.2,9.8,1.9
2010-11,Stevens,308,,,,2,6,10,38,25,211,16,68.5,14.0,5.2
2010-11,Thurston,1602,,,,6,15,25,99,64,1366,27,85.3,6.9,1.7
2010-11,Wahkiakum,19,,,,0,0,0,1,0,17,1,89.5,0.0,5.3
2010-11,Walla Walla,335,,,,2,6,1,11,19,290,6,86.6,8.4,1.8
2010-11,Whatcom,1078,,,,10,29,29,49,37,892,32,82.7,9.7,3.0
2010-11,Whitman,181,,,,5,3,1,1,2,169,0,93.4,6.1,0.0
2010-11,Yakima,1828,,,,16,43,55,100,118,1432,64,78.3,12.7,3.5
