SchoolYear,County,Adjusted Cohort,Began Grade 9 in Washington,Transferred Into Washington,Transferred Out,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2010-11,Adams,221,,,,5,5,12,12,15,168,4,76.0,22.2,1.8
2010-11,Asotin,144,,,,2,4,6,14,14,92,12,63.9,18.1,8.3
2010-11,Benton,973,,,,8,14,39,106,67,697,42,71.6,13.2,4.3
2010-11,Chelan,520,,,,16,8,20,42,60,345,29,66.3,20.0,5.6
2010-11,Clallam,578,,,,19,23,35,94,81,280,46,48.4,27.3,8.0
2010-11,Clark,2242,,,,18,38,101,219,220,1545,101,68.9,16.8,4.5
2010-11,Columbia,13,,,,0,1,1,1,0,9,1,69.2,15.4,7.7
2010-11,Cowlitz,696,,,,3,16,42,56,54,491,34,70.5,16.5,4.9
2010-11,Douglas,274,,,,5,5,5,13,14,221,11,80.7,10.6,4.0
2010-11,Ferry,39,,,,0,0,1,5,3,29,1,74.4,10.3,2.6
2010-11,Franklin,773,,,,10,26,54,83,50,518,32,67.0,18.1,4.1
2010-11,Garfield,15,,,,0,0,0,0,1,14,0,93.3,6.7,0.0
2010-11,Grant,879,,,,9,23,43,59,59,660,26,75.1,15.2,3.0
2010-11,Grays Harbor,503,,,,8,14,37,68,44,314,18,62.4,20.5,3.6
2010-11,Island,212,,,,3,2,7,9,21,161,9,75.9,15.6,4.2
2010-11,Jefferson,111,,,,0,2,3,11,3,89,3,80.2,7.2,2.7
2010-11,King,6477,,,,92,192,302,567,499,4472,353,69.0,16.8,5.5
2010-11,Kitsap,993,,,,3,8,35,55,100,724,68,72.9,14.7,6.8
2010-11,Kittitas,136,,,,2,6,12,15,10,86,5,63.2,22.1,3.7
2010-11,Klickitat,118,,,,3,2,7,7,1,96,2,81.4,11.0,1.7
2010-11,Lewis,533,,,,8,7,26,81,45,343,23,64.4,16.1,4.3
2010-11,Lincoln,72,,,,1,2,0,0,4,65,0,90.3,9.7,0.0
2010-11,Mason,317,,,,3,2,16,39,30,204,23,64.4,16.1,7.3
2010-11,Okanogan,292,,,,6,5,5,27,31,204,14,69.9,16.1,4.8
2010-11,Pacific,195,,,,2,9,17,30,8,124,5,63.6,18.5,2.6
2010-11,Pend Oreille,82,,,,1,2,3,5,8,58,5,70.7,17.1,6.1
2010-11,Pierce,3643,,,,20,95,204,370,339,2447,168,67.2,18.1,4.6
2010-11,San Juan,61,,,,0,1,3,7,3,43,4,70.5,11.5,6.6
2010-11,Skagit,711,,,,5,22,51,66,70,458,39,64.4,20.8,5.5
2010-11,Skamania,54,,,,3,2,3,10,10,25,1,46.3,33.3,1.9
2010-11,Snohomish,2695,,,,20,66,106,203,241,1870,189,69.4,16.1,7.0
2010-11,Spokane,2652,,,,36,55,168,235,171,1883,104,71.0,16.2,3.9
2010-11,Stevens,324,,,,4,11,11,31,22,226,19,69.8,14.8,5.9
2010-11,Thurston,1116,,,,5,13,34,136,101,779,48,69.8,13.7,4.3
2010-11,Wahkiakum,24,,,,0,0,0,3,0,19,2,79.2,0.0,8.3
2010-11,Walla Walla,346,,,,3,5,2,18,29,279,10,80.6,11.3,2.9
2010-11,Whatcom,943,,,,12,36,57,74,68,653,43,69.2,18.3,4.6
2010-11,Whitman,110,,,,1,3,4,1,3,96,2,87.3,10.0,1.8
2010-11,Yakima,2588,,,,35,67,100,211,241,1781,153,68.8,17.1,5.9
