SchoolYear,County,Adjusted Cohort,Began Grade 9 in Washington,Transferred Into Washington,Transferred Out,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2010-11,Adams,152,,,,5,5,10,9,9,112,2,73.7,25.0,1.3
2010-11,Asotin,161,,,,1,3,6,16,13,115,7,71.4,14.3,4.3
2010-11,Benton,1284,,,,6,15,38,97,60,1032,36,80.4,9.3,2.8
2010-11,Chelan,524,,,,16,2,13,40,63,373,17,71.2,17.9,3.2
2010-11,Clallam,850,,,,31,44,55,161,127,366,66,43.1,30.2,7.8
2010-11,Clark,2914,,,,23,45,109,225,209,2211,92,75.9,13.2,3.2
2010-11,Columbia,17,,,,0,0,1,1,0,15,0,88.2,5.9,0.0
2010-11,Cowlitz,746,,,,0,17,33,46,37,587,26,78.7,11.7,3.5
2010-11,Douglas,287,,,,6,6,6,14,7,237,11,82.6,8.7,3.8
2010-11,Ferry,35,,,,0,0,1,2,3,28,1,80.0,11.4,2.9
2010-11,Franklin,524,,,,7,15,36,54,37,353,22,67.4,18.1,4.2
2010-11,Garfield,23,,,,0,0,0,0,0,23,0,100.0,0.0,0.0
2010-11,Grant,663,,,,4,16,31,57,39,495,21,74.7,13.6,3.2
2010-11,Grays Harbor,477,,,,3,5,25,59,41,326,18,68.3,15.5,3.8
2010-11,Island,365,,,,6,2,9,12,24,299,13,81.9,11.2,3.6
2010-11,Jefferson,127,,,,0,3,1,8,3,110,2,86.6,5.5,1.6
2010-11,King,10275,,,,107,192,305,596,504,8207,364,79.9,10.8,3.5
2010-11,Kitsap,1626,,,,3,10,42,64,95,1339,73,82.3,9.2,4.5
2010-11,Kittitas,223,,,,2,11,19,23,17,145,6,65.0,22.0,2.7
2010-11,Klickitat,106,,,,1,1,4,6,1,91,2,85.8,6.6,1.9
2010-11,Lewis,591,,,,11,6,24,86,45,396,23,67.0,14.6,3.9
2010-11,Lincoln,93,,,,2,1,1,0,8,81,0,87.1,12.9,0.0
2010-11,Mason,311,,,,5,8,15,30,22,212,19,68.2,16.1,6.1
2010-11,Okanogan,227,,,,3,2,5,21,21,163,12,71.8,13.7,5.3
2010-11,Pacific,166,,,,2,9,14,29,9,101,2,60.8,20.5,1.2
2010-11,Pend Oreille,77,,,,0,2,2,3,5,61,4,79.2,11.7,5.2
2010-11,Pierce,4598,,,,38,99,175,402,346,3330,208,72.4,14.3,4.5
2010-11,San Juan,73,,,,0,0,3,8,1,57,4,78.1,5.5,5.5
2010-11,Skagit,785,,,,5,19,46,81,81,523,30,66.6,19.2,3.8
2010-11,Skamania,88,,,,1,2,7,24,22,31,1,35.2,36.4,1.1
2010-11,Snohomish,4531,,,,27,76,132,317,347,3380,252,74.6,12.8,5.6
2010-11,Spokane,3019,,,,39,58,154,199,126,2347,96,77.7,12.5,3.2
2010-11,Stevens,388,,,,5,12,14,43,42,246,26,63.4,18.8,6.7
2010-11,Thurston,1528,,,,5,16,38,148,104,1162,55,76.0,10.7,3.6
2010-11,Wahkiakum,25,,,,0,1,1,3,0,19,1,76.0,8.0,4.0
2010-11,Walla Walla,343,,,,1,2,2,13,30,283,12,82.5,10.2,3.5
2010-11,Whatcom,1102,,,,11,31,57,76,63,831,33,75.4,14.7,3.0
2010-11,Whitman,187,,,,3,2,4,6,4,164,4,87.7,7.0,2.1
2010-11,Yakima,1828,,,,30,50,66,159,169,1246,108,68.2,17.2,5.9
