SchoolYear,County,Adjusted Cohort,Began Grade 9 in Washington,Transferred Into Washington,Transferred Out,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2010-11,Adams,7,,,,0,0,0,0,1,6,0,85.7,14.3,0.0
2010-11,Asotin,2,,,,0,0,0,0,0,1,1,50.0,0.0,50.0
2010-11,Benton,39,,,,0,0,0,2,5,29,3,74.4,12.8,7.7
2010-11,Chelan,17,,,,0,0,0,2,0,15,0,88.2,0.0,0.0
2010-11,Clallam,26,,,,0,0,0,4,3,15,4,57.7,11.5,15.4
2010-11,Clark,99,,,,0,0,0,9,7,80,3,80.8,7.1,3.0
2010-11,Columbia,0,,,,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,Cowlitz,16,,,,0,0,0,0,0,15,1,93.8,0.0,6.3
2010-11,Douglas,4,,,,0,0,0,0,0,4,0,100.0,0.0,0.0
2010-11,Ferry,3,,,,0,0,0,0,0,3,0,100.0,0.0,0.0
2010-11,Franklin,1,,,,0,0,0,0,0,1,0,100.0,0.0,0.0
2010-11,Garfield,0,,,,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,Grant,9,,,,0,0,0,0,0,9,0,100.0,0.0,0.0
2010-11,Grays Harbor,26,,,,0,0,0,2,1,23,0,88.5,3.8,0.0
2010-11,Island,9,,,,0,0,0,0,2,7,0,77.8,22.2,0.0
2010-11,Jefferson,10,,,,0,0,0,0,0,10,0,100.0,0.0,0.0
2010-11,King,540,,,,0,0,0,21,17,487,15,90.2,3.1,2.8
2010-11,Kitsap,45,,,,0,0,0,0,1,42,2,93.3,2.2,4.4
2010-11,Kittitas,8,,,,0,0,0,1,0,7,0,87.5,0.0,0.0
2010-11,Klickitat,1,,,,0,0,0,0,0,1,0,100.0,0.0,0.0
2010-11,Lewis,8,,,,0,0,0,0,1,7,0,87.5,12.5,0.0
2010-11,Lincoln,5,,,,0,0,0,0,0,5,0,100.0,0.0,0.0
2010-11,Mason,31,,,,0,0,0,2,6,21,2,67.7,19.4,6.5
2010-11,Okanogan,2,,,,0,0,0,0,0,2,0,100.0,0.0,0.0
2010-11,Pacific,0,,,,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,Pend Oreille,7,,,,0,0,0,0,0,6,1,85.7,0.0,14.3
2010-11,Pierce,155,,,,0,0,0,8,10,130,7,83.9,6.5,4.5
2010-11,San Juan,1,,,,0,0,0,0,0,1,0,100.0,0.0,0.0
2010-11,Skagit,20,,,,0,0,0,1,2,17,0,85.0,10.0,0.0
2010-11,Skamania,3,,,,0,0,0,0,1,2,0,66.7,33.3,0.0
2010-11,Snohomish,214,,,,0,0,0,10,10,181,13,84.6,4.7,6.1
2010-11,Spokane,72,,,,0,0,0,3,11,57,1,79.2,15.3,1.4
2010-11,Stevens,4,,,,0,0,0,0,1,3,0,75.0,25.0,0.0
2010-11,Thurston,47,,,,0,0,0,3,2,42,0,89.4,4.3,0.0
2010-11,Wahkiakum,1,,,,0,0,0,0,0,1,0,100.0,0.0,0.0
2010-11,Walla Walla,1,,,,0,0,0,0,0,1,0,100.0,0.0,0.0
2010-11,Whatcom,46,,,,0,0,0,1,5,40,0,87.0,10.9,0.0
2010-11,Whitman,19,,,,0,0,0,1,1,17,0,89.5,5.3,0.0
2010-11,Yakima,39,,,,0,0,0,1,9,26,3,66.7,23.1,7.7
