SchoolYear,County,Adjusted Cohort,Began Grade 9 in Washington,Transferred Into Washington,Transferred Out,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2010-11,Adams,55,,,,4,1,6,2,3,38,1,69.1,29.1,1.8
2010-11,Asotin,0,,,,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,Benton,179,,,,5,5,6,19,11,127,6,70.9,15.1,3.4
2010-11,Chelan,153,,,,10,4,4,10,12,102,11,66.7,19.6,7.2
2010-11,Clallam,9,,,,2,0,0,1,1,5,0,55.6,33.3,0.0
2010-11,Clark,1,,,,0,0,0,0,1,0,0,0.0,100.0,0.0
2010-11,Columbia,0,,,,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,Cowlitz,0,,,,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,Douglas,95,,,,3,3,2,3,8,73,3,76.8,16.8,3.2
2010-11,Ferry,0,,,,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,Franklin,240,,,,4,18,24,29,15,138,12,57.5,25.4,5.0
2010-11,Garfield,0,,,,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,Grant,158,,,,1,3,6,11,16,116,5,73.4,16.5,3.2
2010-11,Grays Harbor,19,,,,0,0,2,2,0,15,0,78.9,10.5,0.0
2010-11,Island,0,,,,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,Jefferson,0,,,,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,King,62,,,,2,3,3,6,8,34,6,54.8,25.8,9.7
2010-11,Kitsap,0,,,,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,Kittitas,0,,,,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,Klickitat,0,,,,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,Lewis,19,,,,0,0,0,1,2,15,1,78.9,10.5,5.3
2010-11,Lincoln,0,,,,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,Mason,22,,,,0,0,5,5,2,8,2,36.4,31.8,9.1
2010-11,Okanogan,4,,,,0,0,0,0,0,4,0,100.0,0.0,0.0
2010-11,Pacific,17,,,,0,1,1,0,0,15,0,88.2,11.8,0.0
2010-11,Pend Oreille,0,,,,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,Pierce,3,,,,0,0,1,0,0,1,1,33.3,33.3,33.3
2010-11,San Juan,0,,,,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,Skagit,92,,,,1,3,4,9,15,55,5,59.8,25.0,5.4
2010-11,Skamania,0,,,,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,Snohomish,8,,,,1,0,0,2,1,4,0,50.0,25.0,0.0
2010-11,Spokane,0,,,,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,Stevens,0,,,,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,Thurston,5,,,,0,1,0,0,2,2,0,40.0,60.0,0.0
2010-11,Wahkiakum,1,,,,0,0,0,0,0,1,0,100.0,0.0,0.0
2010-11,Walla Walla,23,,,,0,1,0,1,2,19,0,82.6,13.0,0.0
2010-11,Whatcom,29,,,,4,3,5,3,0,12,2,41.4,41.4,6.9
2010-11,Whitman,0,,,,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,Yakima,843,,,,8,30,34,72,83,568,48,67.4,18.4,5.7
