SchoolYear,County,Adjusted Cohort,Began Grade 9 in Washington,Transferred Into Washington,Transferred Out,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2010-11,Adams,87,,,,5,3,4,7,10,56,2,64.4,33.3,2.3
2010-11,Asotin,3,,,,0,1,0,0,0,2,0,66.7,33.3,0.0
2010-11,Benton,130,,,,5,4,6,19,6,87,3,66.9,16.2,2.3
2010-11,Chelan,94,,,,14,4,2,7,10,49,8,52.1,31.9,8.5
2010-11,Clallam,20,,,,4,0,0,1,0,15,0,75.0,20.0,0.0
2010-11,Clark,218,,,,5,4,14,29,22,133,11,61.0,20.6,5.0
2010-11,Columbia,0,,,,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,Cowlitz,31,,,,0,1,3,3,5,17,2,54.8,29.0,6.5
2010-11,Douglas,71,,,,2,3,2,3,6,49,6,69.0,18.3,8.5
2010-11,Ferry,0,,,,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,Franklin,307,,,,6,21,29,38,27,167,19,54.4,27.0,6.2
2010-11,Garfield,0,,,,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,Grant,174,,,,1,10,15,12,17,115,4,66.1,24.7,2.3
2010-11,Grays Harbor,20,,,,1,1,3,2,3,9,1,45.0,40.0,5.0
2010-11,Island,14,,,,0,0,0,1,3,8,2,57.1,21.4,14.3
2010-11,Jefferson,3,,,,0,0,0,0,0,3,0,100.0,0.0,0.0
2010-11,King,1450,,,,53,95,92,169,149,781,111,53.9,26.8,7.7
2010-11,Kitsap,59,,,,0,1,0,7,4,43,4,72.9,8.5,6.8
2010-11,Kittitas,11,,,,0,1,0,0,1,8,1,72.7,18.2,9.1
2010-11,Klickitat,10,,,,0,0,0,0,0,10,0,100.0,0.0,0.0
2010-11,Lewis,22,,,,2,0,3,2,5,9,1,40.9,45.5,4.5
2010-11,Lincoln,0,,,,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,Mason,17,,,,0,0,1,2,0,12,2,70.6,5.9,11.8
2010-11,Okanogan,32,,,,1,3,0,1,7,18,2,56.3,34.4,6.3
2010-11,Pacific,17,,,,0,1,1,0,0,15,0,88.2,11.8,0.0
2010-11,Pend Oreille,0,,,,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,Pierce,221,,,,13,19,21,31,20,98,19,44.3,33.0,8.6
2010-11,San Juan,3,,,,0,0,0,0,0,3,0,100.0,0.0,0.0
2010-11,Skagit,136,,,,1,10,13,15,16,72,9,52.9,29.4,6.6
2010-11,Skamania,0,,,,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,Snohomish,325,,,,5,11,10,20,33,217,29,66.8,18.2,8.9
2010-11,Spokane,137,,,,4,10,15,8,9,86,5,62.8,27.7,3.6
2010-11,Stevens,1,,,,0,0,0,0,0,1,0,100.0,0.0,0.0
2010-11,Thurston,32,,,,1,3,2,6,3,15,2,46.9,28.1,6.3
2010-11,Wahkiakum,0,,,,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,Walla Walla,44,,,,1,1,0,3,5,34,0,77.3,15.9,0.0
2010-11,Whatcom,94,,,,3,11,6,11,10,48,5,51.1,31.9,5.3
2010-11,Whitman,2,,,,0,0,0,0,0,2,0,100.0,0.0,0.0
2010-11,Yakima,493,,,,7,35,40,46,55,268,42,54.4,27.8,8.5
