SchoolYear,County,Adjusted Cohort,Began Grade 9 in Washington,Transferred Into Washington,Transferred Out,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2010-11,Adams,95,,,,0,1,3,6,6,76,3,80.0,16.8,3.2
2010-11,Asotin,285,,,,2,3,6,25,21,218,10,76.5,11.2,3.5
2010-11,Benton,1855,,,,13,13,48,105,72,1573,31,84.8,7.9,1.7
2010-11,Chelan,662,,,,7,4,18,41,53,526,13,79.5,12.4,2.0
2010-11,Clallam,1384,,,,38,64,92,248,214,632,96,45.7,29.5,6.9
2010-11,Clark,4717,,,,27,65,151,295,242,3815,122,80.9,10.3,2.6
2010-11,Columbia,30,,,,0,1,1,2,0,25,1,83.3,6.7,3.3
2010-11,Cowlitz,1217,,,,3,15,52,54,44,1014,35,83.3,9.4,2.9
2010-11,Douglas,318,,,,2,1,3,15,6,288,3,90.6,3.8,0.9
2010-11,Ferry,52,,,,0,0,2,3,3,43,1,82.7,9.6,1.9
2010-11,Franklin,276,,,,1,3,4,14,7,237,10,85.9,5.4,3.6
2010-11,Garfield,32,,,,0,0,0,0,1,31,0,96.9,3.1,0.0
2010-11,Grant,686,,,,2,12,21,41,30,568,12,82.8,9.5,1.7
2010-11,Grays Harbor,738,,,,6,9,35,69,40,556,23,75.3,12.2,3.1
2010-11,Island,506,,,,5,1,11,17,30,430,12,85.0,9.3,2.4
2010-11,Jefferson,232,,,,1,2,5,14,7,200,3,86.2,6.5,1.3
2010-11,King,11898,,,,73,141,223,497,337,10395,232,87.4,6.5,1.9
2010-11,Kitsap,2428,,,,6,15,45,78,116,2076,92,85.5,7.5,3.8
2010-11,Kittitas,360,,,,3,14,28,30,18,260,7,72.2,17.5,1.9
2010-11,Klickitat,175,,,,2,3,6,7,2,152,3,86.9,7.4,1.7
2010-11,Lewis,862,,,,6,9,34,67,32,696,18,80.7,9.4,2.1
2010-11,Lincoln,156,,,,3,1,2,3,6,141,0,90.4,7.7,0.0
2010-11,Mason,495,,,,3,11,12,39,29,376,25,76.0,11.1,5.1
2010-11,Okanogan,299,,,,5,4,9,24,19,231,7,77.3,12.4,2.3
2010-11,Pacific,206,,,,2,5,11,17,7,160,4,77.7,12.1,1.9
2010-11,Pend Oreille,144,,,,2,1,3,7,8,116,7,80.6,9.7,4.9
2010-11,Pierce,5926,,,,37,118,195,408,332,4668,168,78.8,11.5,2.8
2010-11,San Juan,136,,,,0,2,4,12,2,112,4,82.4,5.9,2.9
2010-11,Skagit,1161,,,,4,26,52,96,71,876,36,75.5,13.2,3.1
2010-11,Skamania,140,,,,4,3,9,38,28,57,1,40.7,31.4,0.7
2010-11,Snohomish,6555,,,,42,90,185,404,402,5131,301,78.3,11.0,4.6
2010-11,Spokane,5109,,,,53,80,203,285,182,4190,116,82.0,10.1,2.3
2010-11,Stevens,551,,,,4,15,16,62,43,379,32,68.8,14.2,5.8
2010-11,Thurston,2387,,,,7,20,47,182,110,1960,61,82.1,7.7,2.6
2010-11,Wahkiakum,42,,,,0,1,1,2,0,36,2,85.7,4.8,4.8
2010-11,Walla Walla,451,,,,1,4,2,17,27,392,8,86.9,7.5,1.8
2010-11,Whatcom,1675,,,,11,34,51,81,58,1391,49,83.0,9.2,2.9
2010-11,Whitman,317,,,,5,5,5,7,5,286,4,90.2,6.3,1.3
2010-11,Yakima,1384,,,,10,22,30,64,71,1146,41,82.8,9.6,3.0
