SchoolYear,County,Began Grade 9 in Washington,Transferred Into Washington,Total Dropouts All 4 Years,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Dropouts Year 1
2011-12,Adams,307,80,57,56,331,272,2,82.2,17.2,0.6,,,,,
2011-12,Asotin,288,90,81,51,327,237,9,72.5,24.8,2.8,,,,,
2011-12,Benton,2498,475,363,451,2522,2086,73,82.7,14.4,2.9,,,,,
2011-12,Chelan,977,183,219,126,1034,783,32,75.7,21.2,3.1,,,,,
2011-12,Clallam,1686,459,1030,241,1904,828,46,43.5,54.1,2.4,,,,,
2011-12,Clark,5798,1228,1072,1116,5910,4722,116,79.9,18.1,2.0,,,,,
2011-12,Columbia,44,12,1,9,47,45,1,95.7,2.1,2.1,,,,,
2011-12,Cowlitz,1341,235,192,238,1338,1100,46,82.2,14.3,3.4,,,,,
2011-12,Douglas,450,90,40,73,467,407,20,87.2,8.6,4.3,,,,,
2011-12,Ferry,79,16,11,14,81,67,3,82.7,13.6,3.7,,,,,
2011-12,Franklin,1038,241,268,140,1139,832,39,73.0,23.5,3.4,,,,,
2011-12,Garfield,25,4,1,5,24,23,0,95.8,4.2,0.0,,,,,
2011-12,Grant,1180,381,298,215,1346,1012,36,75.2,22.1,2.7,,,,,
2011-12,Grays Harbor,860,130,199,135,855,622,34,72.7,23.3,4.0,,,,,
2011-12,Island,706,142,78,184,664,567,19,85.4,11.7,2.9,,,,,
2011-12,Jefferson,245,67,23,51,261,228,10,87.4,8.8,3.8,,,,,
2011-12,King,19561,3493,2885,3393,19661,16107,669,81.9,14.7,3.4,,,,,
2011-12,Kitsap,2994,568,331,477,3085,2606,148,84.5,10.7,4.8,,,,,
2011-12,Kittitas,416,93,102,60,449,338,9,75.3,22.7,2.0,,,,,
2011-12,Klickitat,242,97,37,102,237,198,2,83.5,15.6,0.8,,,,,
2011-12,Lewis,1040,231,226,209,1062,802,34,75.5,21.3,3.2,,,,,
2011-12,Lincoln,161,33,16,36,158,140,2,88.6,10.1,1.3,,,,,
2011-12,Mason,637,101,121,90,648,495,32,76.4,18.7,4.9,,,,,
2011-12,Okanogan,516,95,109,79,532,407,16,76.5,20.5,3.0,,,,,
2011-12,Pacific,285,62,82,74,273,181,10,66.3,30.0,3.7,,,,,
2011-12,Pend Oreille,158,36,15,39,155,138,2,89.0,9.7,1.3,,,,,
2011-12,Pierce,9918,1802,1870,2131,9589,7342,377,76.6,19.5,3.9,,,,,
2011-12,San Juan,142,31,14,34,139,124,1,89.2,10.1,0.7,,,,,
2011-12,Skagit,1556,309,404,271,1594,1137,53,71.3,25.3,3.3,,,,,
2011-12,Skamania,153,46,85,27,172,83,4,48.3,49.4,2.3,,,,,
2011-12,Snohomish,9030,1497,1587,1528,8999,7056,356,78.4,17.6,4.0,,,,,
2011-12,Spokane,5930,1096,930,905,6121,5025,166,82.1,15.2,2.7,,,,,
2011-12,Stevens,658,233,169,176,715,519,27,72.6,23.6,3.8,,,,,
2011-12,Thurston,3169,675,529,638,3206,2603,74,81.2,16.5,2.3,,,,,
2011-12,Wahkiakum,32,3,6,2,33,27,0,81.8,18.2,0.0,,,,,
2011-12,Walla Walla,640,198,67,157,681,585,29,85.9,9.8,4.3,,,,,
2011-12,Whatcom,2197,388,373,396,2189,1743,73,79.6,17.0,3.3,,,,,
2011-12,Whitman,346,51,26,51,346,318,2,91.9,7.5,0.6,,,,,
2011-12,Yakima,3548,633,723,610,3571,2685,163,75.2,20.2,4.6,,,,,
