SchoolYear,County,Began Grade 9 in Washington,Transferred Into Washington,Total Dropouts All 4 Years,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Dropouts Year 1
2011-12,Adams,1,0,0,0,1,1,0,100.0,0.0,0.0,,,,,
2011-12,Asotin,2,6,4,2,6,2,0,33.3,66.7,0.0,,,,,
2011-12,Benton,22,6,11,2,26,15,0,57.7,42.3,0.0,,,,,
2011-12,Chelan,8,1,1,3,6,5,0,83.3,16.7,0.0,,,,,
2011-12,Clallam,78,15,51,4,89,38,0,42.7,57.3,0.0,,,,,
2011-12,Clark,53,11,12,15,49,36,1,73.5,24.5,2.0,,,,,
2011-12,Columbia,0,0,0,0,0,0,0,n/a,n/a,n/a,,,,,
2011-12,Cowlitz,48,8,10,10,46,35,1,76.1,21.7,2.2,,,,,
2011-12,Douglas,2,1,0,2,1,1,0,100.0,0.0,0.0,,,,,
2011-12,Ferry,9,3,2,1,11,9,0,81.8,18.2,0.0,,,,,
2011-12,Franklin,6,1,2,2,5,3,0,60.0,40.0,0.0,,,,,
2011-12,Garfield,1,0,1,0,1,0,0,0.0,100.0,0.0,,,,,
2011-12,Grant,26,2,7,6,22,15,0,68.2,31.8,0.0,,,,,
2011-12,Grays Harbor,51,4,18,9,46,25,3,54.3,39.1,6.5,,,,,
2011-12,Island,19,0,1,7,12,11,0,91.7,8.3,0.0,,,,,
2011-12,Jefferson,9,1,1,2,8,7,0,87.5,12.5,0.0,,,,,
2011-12,King,266,63,80,83,246,147,19,59.8,32.5,7.7,,,,,
2011-12,Kitsap,63,5,15,10,58,40,3,69.0,25.9,5.2,,,,,
2011-12,Kittitas,5,3,2,3,5,3,0,60.0,40.0,0.0,,,,,
2011-12,Klickitat,7,1,1,2,6,5,0,83.3,16.7,0.0,,,,,
2011-12,Lewis,18,6,10,7,17,6,1,35.3,58.8,5.9,,,,,
2011-12,Lincoln,5,1,1,2,4,3,0,75.0,25.0,0.0,,,,,
2011-12,Mason,23,8,10,6,25,14,1,56.0,40.0,4.0,,,,,
2011-12,Okanogan,51,9,21,9,51,30,0,58.8,41.2,0.0,,,,,
2011-12,Pacific,6,4,4,3,7,3,0,42.9,57.1,0.0,,,,,
2011-12,Pend Oreille,3,1,1,1,3,2,0,66.7,33.3,0.0,,,,,
2011-12,Pierce,227,40,62,61,206,104,40,50.5,30.1,19.4,,,,,
2011-12,San Juan,2,0,0,0,2,2,0,100.0,0.0,0.0,,,,,
2011-12,Skagit,39,9,22,9,39,15,2,38.5,56.4,5.1,,,,,
2011-12,Skamania,2,1,2,1,2,0,0,0.0,100.0,0.0,,,,,
2011-12,Snohomish,149,31,53,38,142,79,10,55.6,37.3,7.0,,,,,
2011-12,Spokane,124,30,51,31,123,66,6,53.7,41.5,4.9,,,,,
2011-12,Stevens,69,15,26,15,69,40,3,58.0,37.7,4.3,,,,,
2011-12,Thurston,69,17,14,28,58,38,6,65.5,24.1,10.3,,,,,
2011-12,Wahkiakum,2,0,1,0,2,1,0,50.0,50.0,0.0,,,,,
2011-12,Walla Walla,1,3,1,2,2,1,0,50.0,50.0,0.0,,,,,
2011-12,Whatcom,88,16,40,11,93,49,4,52.7,43.0,4.3,,,,,
2011-12,Whitman,4,1,1,2,3,1,1,33.3,33.3,33.3,,,,,
2011-12,Yakima,125,39,51,32,132,65,16,49.2,38.6,12.1,,,,,
