SchoolYear,County,Began Grade 9 in Washington,Transferred Into Washington,Total Dropouts All 4 Years,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Dropouts Year 1
2011-12,Adams,1,4,1,2,3,2,0,1.0,33.3,0.0,,,,,
2011-12,Asotin,2,0,0,1,1,1,0,1.0,0.0,0.0,,,,,
2011-12,Benton,92,30,11,32,90,77,2,1.0,12.2,2.2,,,,,
2011-12,Chelan,10,6,0,4,12,12,0,1.0,0.0,0.0,,,,,
2011-12,Clallam,27,11,8,3,35,26,1,1.0,22.9,2.9,,,,,
2011-12,Clark,260,69,35,63,266,231,0,1.0,13.2,0.0,,,,,
2011-12,Columbia,1,0,0,0,1,1,0,1.0,0.0,0.0,,,,,
2011-12,Cowlitz,21,8,2,6,23,20,1,1.0,8.7,4.3,,,,,
2011-12,Douglas,0,4,0,4,0,0,0,1.0,n/a,n/a,,,,,
2011-12,Ferry,0,0,0,0,0,0,0,n/a,n/a,n/a,,,,,
2011-12,Franklin,11,5,1,5,11,10,0,1.0,9.1,0.0,,,,,
2011-12,Garfield,0,0,0,0,0,0,0,n/a,n/a,n/a,,,,,
2011-12,Grant,8,10,1,12,6,5,0,1.0,16.7,0.0,,,,,
2011-12,Grays Harbor,14,7,0,8,13,13,0,1.0,0.0,0.0,,,,,
2011-12,Island,72,14,6,13,73,63,4,1.0,8.2,5.5,,,,,
2011-12,Jefferson,7,2,0,3,6,5,1,1.0,0.0,16.7,,,,,
2011-12,King,2986,601,341,414,3173,2748,84,1.0,10.7,2.6,,,,,
2011-12,Kitsap,173,35,11,33,175,162,2,1.0,6.3,1.1,,,,,
2011-12,Kittitas,7,7,2,5,9,7,0,1.0,22.2,0.0,,,,,
2011-12,Klickitat,4,10,1,9,5,4,0,1.0,20.0,0.0,,,,,
2011-12,Lewis,8,6,2,5,9,6,1,1.0,22.2,11.1,,,,,
2011-12,Lincoln,0,4,0,4,0,0,0,1.0,n/a,n/a,,,,,
2011-12,Mason,5,4,2,3,6,4,0,1.0,33.3,0.0,,,,,
2011-12,Okanogan,6,9,1,6,9,8,0,1.0,11.1,0.0,,,,,
2011-12,Pacific,7,3,0,2,8,7,1,1.0,0.0,12.5,,,,,
2011-12,Pend Oreille,0,1,0,1,0,0,0,1.0,n/a,n/a,,,,,
2011-12,Pierce,657,173,115,167,663,535,13,1.0,17.3,2.0,,,,,
2011-12,San Juan,1,3,0,2,2,2,0,1.0,0.0,0.0,,,,,
2011-12,Skagit,26,16,7,13,29,22,0,1.0,24.1,0.0,,,,,
2011-12,Skamania,8,3,4,4,7,3,0,1.0,57.1,0.0,,,,,
2011-12,Snohomish,745,177,80,115,807,702,25,1.0,9.9,3.1,,,,,
2011-12,Spokane,100,60,19,33,127,100,8,1.0,15.0,6.3,,,,,
2011-12,Stevens,2,8,1,3,7,6,0,1.0,14.3,0.0,,,,,
2011-12,Thurston,222,48,21,33,237,215,1,1.0,8.9,0.4,,,,,
2011-12,Wahkiakum,0,0,0,0,0,0,0,n/a,n/a,n/a,,,,,
2011-12,Walla Walla,1,13,1,12,2,1,0,1.0,50.0,0.0,,,,,
2011-12,Whatcom,70,26,9,16,80,70,1,1.0,11.3,1.3,,,,,
2011-12,Whitman,11,8,1,4,15,14,0,1.0,6.7,0.0,,,,,
2011-12,Yakima,29,14,1,14,29,28,0,1.0,3.4,0.0,,,,,
