SchoolYear,County,Began Grade 9 in Washington,Transferred Into Washington,Total Dropouts All 4 Years,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Dropouts Year 1
2011-12,Adams,0,0,0,0,0,0,0,n/a,n/a,n/a,,,,,
2011-12,Asotin,1,1,0,0,2,2,0,100.0,0.0,0.0,,,,,
2011-12,Benton,63,14,20,17,60,38,2,63.3,33.3,3.3,,,,,
2011-12,Chelan,4,0,2,2,2,0,0,0.0,100.0,0.0,,,,,
2011-12,Clallam,48,19,39,8,59,19,1,32.2,66.1,1.7,,,,,
2011-12,Clark,171,68,51,65,174,120,3,69.0,29.3,1.7,,,,,
2011-12,Columbia,0,0,0,0,0,0,0,n/a,n/a,n/a,,,,,
2011-12,Cowlitz,20,4,6,5,19,12,1,63.2,31.6,5.3,,,,,
2011-12,Douglas,2,0,1,0,2,1,0,50.0,50.0,0.0,,,,,
2011-12,Ferry,29,8,10,4,33,22,1,66.7,30.3,3.0,,,,,
2011-12,Franklin,0,0,0,0,0,0,0,n/a,n/a,n/a,,,,,
2011-12,Garfield,0,0,0,0,0,0,0,n/a,n/a,n/a,,,,,
2011-12,Grant,13,7,6,6,14,7,1,50.0,42.9,7.1,,,,,
2011-12,Grays Harbor,3,1,1,1,3,2,0,66.7,33.3,0.0,,,,,
2011-12,Island,24,10,4,12,22,17,1,77.3,18.2,4.5,,,,,
2011-12,Jefferson,5,0,1,0,5,4,0,80.0,20.0,0.0,,,,,
2011-12,King,1824,528,489,445,1907,1300,118,68.2,25.6,6.2,,,,,
2011-12,Kitsap,88,30,13,34,84,58,13,69.0,15.5,15.5,,,,,
2011-12,Kittitas,9,3,6,4,8,2,0,25.0,75.0,0.0,,,,,
2011-12,Klickitat,5,3,1,7,1,0,0,0.0,100.0,0.0,,,,,
2011-12,Lewis,26,14,22,10,30,8,0,26.7,73.3,0.0,,,,,
2011-12,Lincoln,1,0,0,0,1,1,0,100.0,0.0,0.0,,,,,
2011-12,Mason,6,0,1,0,6,4,1,66.7,16.7,16.7,,,,,
2011-12,Okanogan,7,1,1,3,5,4,0,80.0,20.0,0.0,,,,,
2011-12,Pacific,13,2,4,5,10,6,0,60.0,40.0,0.0,,,,,
2011-12,Pend Oreille,0,0,0,0,0,0,0,n/a,n/a,n/a,,,,,
2011-12,Pierce,1019,244,225,353,910,645,40,70.9,24.7,4.4,,,,,
2011-12,San Juan,1,2,0,2,1,1,0,100.0,0.0,0.0,,,,,
2011-12,Skagit,32,10,17,6,36,17,2,47.2,47.2,5.6,,,,,
2011-12,Skamania,1,2,3,0,3,0,0,0.0,100.0,0.0,,,,,
2011-12,Snohomish,272,87,72,76,283,203,8,71.7,25.4,2.8,,,,,
2011-12,Spokane,129,38,38,29,138,94,6,68.1,27.5,4.3,,,,,
2011-12,Stevens,23,14,13,10,27,14,0,51.9,48.1,0.0,,,,,
2011-12,Thurston,114,49,19,50,113,91,3,80.5,16.8,2.7,,,,,
2011-12,Wahkiakum,0,0,0,0,0,0,0,n/a,n/a,n/a,,,,,
2011-12,Walla Walla,9,1,0,2,8,7,1,87.5,0.0,12.5,,,,,
2011-12,Whatcom,34,7,9,10,31,19,3,61.3,29.0,9.7,,,,,
2011-12,Whitman,6,2,0,2,6,6,0,100.0,0.0,0.0,,,,,
2011-12,Yakima,31,11,7,13,29,16,6,55.2,24.1,20.7,,,,,
