SchoolYear,County,Began Grade 9 in Washington,Transferred Into Washington,Total Dropouts All 4 Years,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Dropouts Year 1
2011-12,Adams,143,38,22,28,153,130,1,85.0,14.4,0.7,,,,,
2011-12,Asotin,130,34,35,17,147,107,5,72.8,23.8,3.4,,,,,
2011-12,Benton,1219,239,150,232,1226,1049,27,85.6,12.2,2.2,,,,,
2011-12,Chelan,501,89,99,51,539,424,16,78.7,18.4,3.0,,,,,
2011-12,Clallam,933,247,573,123,1057,475,9,44.9,54.2,0.9,,,,,
2011-12,Clark,2795,627,433,561,2861,2376,52,83.0,15.1,1.8,,,,,
2011-12,Columbia,23,8,1,6,25,23,1,92.0,4.0,4.0,,,,,
2011-12,Cowlitz,651,114,74,108,657,567,16,86.3,11.3,2.4,,,,,
2011-12,Douglas,228,37,14,33,232,210,8,90.5,6.0,3.4,,,,,
2011-12,Ferry,37,9,6,7,39,32,1,82.1,15.4,2.6,,,,,
2011-12,Franklin,492,110,114,58,544,414,16,76.1,21.0,2.9,,,,,
2011-12,Garfield,11,3,0,3,11,11,0,100.0,0.0,0.0,,,,,
2011-12,Grant,540,192,124,97,635,498,13,78.4,19.5,2.0,,,,,
2011-12,Grays Harbor,436,64,89,69,431,327,15,75.9,20.6,3.5,,,,,
2011-12,Island,350,65,31,82,333,295,7,88.6,9.3,2.1,,,,,
2011-12,Jefferson,120,22,11,21,121,105,5,86.8,9.1,4.1,,,,,
2011-12,King,9564,1658,1186,1569,9653,8201,266,85.0,12.3,2.8,,,,,
2011-12,Kitsap,1442,275,136,227,1490,1303,51,87.4,9.1,3.4,,,,,
2011-12,Kittitas,190,26,34,14,202,165,3,81.7,16.8,1.5,,,,,
2011-12,Klickitat,105,44,18,41,108,89,1,82.4,16.7,0.9,,,,,
2011-12,Lewis,453,100,69,79,474,393,12,82.9,14.6,2.5,,,,,
2011-12,Lincoln,79,20,5,22,77,71,1,92.2,6.5,1.3,,,,,
2011-12,Mason,287,41,42,40,288,232,14,80.6,14.6,4.9,,,,,
2011-12,Okanogan,250,53,41,41,262,214,7,81.7,15.6,2.7,,,,,
2011-12,Pacific,114,25,19,31,108,84,5,77.8,17.6,4.6,,,,,
2011-12,Pend Oreille,85,16,5,20,81,75,1,92.6,6.2,1.2,,,,,
2011-12,Pierce,4752,878,759,942,4688,3772,157,80.5,16.2,3.3,,,,,
2011-12,San Juan,80,18,4,18,80,76,0,95.0,5.0,0.0,,,,,
2011-12,Skagit,782,146,159,132,796,613,24,77.0,20.0,3.0,,,,,
2011-12,Skamania,89,23,52,15,97,44,1,45.4,53.6,1.0,,,,,
2011-12,Snohomish,4443,727,693,716,4454,3614,147,81.1,15.6,3.3,,,,,
2011-12,Spokane,2907,544,411,442,3009,2525,73,83.9,13.7,2.4,,,,,
2011-12,Stevens,293,99,50,79,313,249,14,79.6,16.0,4.5,,,,,
2011-12,Thurston,1528,312,179,283,1557,1349,29,86.6,11.5,1.9,,,,,
2011-12,Wahkiakum,14,2,2,1,15,13,0,86.7,13.3,0.0,,,,,
2011-12,Walla Walla,301,95,30,74,322,282,10,87.6,9.3,3.1,,,,,
2011-12,Whatcom,1090,188,147,198,1080,902,31,83.5,13.6,2.9,,,,,
2011-12,Whitman,166,24,18,22,168,149,1,88.7,10.7,0.6,,,,,
2011-12,Yakima,1779,307,302,286,1800,1418,80,78.8,16.8,4.4,,,,,
