SchoolYear,County,Began Grade 9 in Washington,Transferred Into Washington,Total Dropouts All 4 Years,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Dropouts Year 1
2011-12,Adams,235,61,51,48,248,195,2,78.6,20.6,0.8,,,,,
2011-12,Asotin,141,54,64,29,166,94,8,56.6,38.6,4.8,,,,,
2011-12,Benton,1119,201,253,222,1098,796,49,72.5,23.0,4.5,,,,,
2011-12,Chelan,527,117,165,74,570,380,25,66.7,28.9,4.4,,,,,
2011-12,Clallam,888,187,616,115,960,318,26,33.1,64.2,2.7,,,,,
2011-12,Clark,2531,614,687,564,2581,1827,67,70.8,26.6,2.6,,,,,
2011-12,Columbia,22,2,1,3,21,20,0,95.2,4.8,0.0,,,,,
2011-12,Cowlitz,703,128,146,146,685,505,34,73.7,21.3,5.0,,,,,
2011-12,Douglas,253,50,30,44,259,212,17,81.9,11.6,6.6,,,,,
2011-12,Ferry,56,10,9,12,54,43,2,79.6,16.7,3.7,,,,,
2011-12,Franklin,803,203,242,115,891,613,36,68.8,27.2,4.0,,,,,
2011-12,Garfield,13,3,0,4,12,12,0,100.0,0.0,0.0,,,,,
2011-12,Grant,778,278,237,145,911,644,30,70.7,26.0,3.3,,,,,
2011-12,Grays Harbor,532,81,161,90,523,332,30,63.5,30.8,5.7,,,,,
2011-12,Island,250,52,40,73,229,177,12,77.3,17.5,5.2,,,,,
2011-12,Jefferson,137,26,18,24,139,114,7,82.0,12.9,5.0,,,,,
2011-12,King,7218,1689,1879,1513,7394,5074,441,68.6,25.4,6.0,,,,,
2011-12,Kitsap,1103,236,209,194,1145,827,109,72.2,18.3,9.5,,,,,
2011-12,Kittitas,169,43,54,33,179,120,5,67.0,30.2,2.8,,,,,
2011-12,Klickitat,130,40,25,39,131,105,1,80.2,19.1,0.8,,,,,
2011-12,Lewis,613,133,187,127,619,410,22,66.2,30.2,3.6,,,,,
2011-12,Lincoln,70,13,7,14,69,61,1,88.4,10.1,1.4,,,,,
2011-12,Mason,362,62,90,50,374,259,25,69.3,24.1,6.7,,,,,
2011-12,Okanogan,344,62,90,52,354,249,15,70.3,25.4,4.2,,,,,
2011-12,Pacific,197,50,74,58,189,106,9,56.1,39.2,4.8,,,,,
2011-12,Pend Oreille,92,17,13,26,83,69,1,83.1,15.7,1.2,,,,,
2011-12,Pierce,4633,881,1227,1152,4362,2889,246,66.2,28.1,5.6,,,,,
2011-12,San Juan,55,14,12,12,57,44,1,77.2,21.1,1.8,,,,,
2011-12,Skagit,860,167,298,162,865,526,41,60.8,34.5,4.7,,,,,
2011-12,Skamania,89,22,50,13,98,45,3,45.9,51.0,3.1,,,,,
2011-12,Snohomish,3274,635,906,637,3272,2168,198,66.3,27.7,6.1,,,,,
2011-12,Spokane,2849,519,685,410,2958,2146,127,72.5,23.2,4.3,,,,,
2011-12,Stevens,428,92,118,88,432,302,12,69.9,27.3,2.8,,,,,
2011-12,Thurston,1396,294,366,327,1363,939,58,68.9,26.9,4.3,,,,,
2011-12,Wahkiakum,18,2,3,1,19,16,0,84.2,15.8,0.0,,,,,
2011-12,Walla Walla,335,79,52,75,339,270,17,79.6,15.3,5.0,,,,,
2011-12,Whatcom,993,167,261,157,1003,691,51,68.9,26.0,5.1,,,,,
2011-12,Whitman,115,20,15,21,114,97,2,85.1,13.2,1.8,,,,,
2011-12,Yakima,2643,436,599,412,2667,1924,144,72.1,22.5,5.4,,,,,
