SchoolYear,County,Began Grade 9 in Washington,Transferred Into Washington,Total Dropouts All 4 Years,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Dropouts Year 1
2011-12,Adams,212,58,41,42,228,185,2,81.1,18.0,0.9,,,,,
2011-12,Asotin,10,3,1,4,9,8,0,88.9,11.1,0.0,,,,,
2011-12,Benton,519,120,112,117,522,389,21,74.5,21.5,4.0,,,,,
2011-12,Chelan,351,98,108,63,386,259,19,67.1,28.0,4.9,,,,,
2011-12,Clallam,153,51,92,25,179,82,5,45.8,51.4,2.8,,,,,
2011-12,Clark,492,196,172,133,555,366,17,65.9,31.0,3.1,,,,,
2011-12,Columbia,3,2,0,1,4,4,0,100.0,0.0,0.0,,,,,
2011-12,Cowlitz,135,27,33,33,129,91,5,70.5,25.6,3.9,,,,,
2011-12,Douglas,160,36,18,24,172,146,8,84.9,10.5,4.7,,,,,
2011-12,Ferry,1,2,0,0,3,3,0,100.0,0.0,0.0,,,,,
2011-12,Franklin,702,185,208,90,797,556,33,69.8,26.1,4.1,,,,,
2011-12,Garfield,0,2,0,1,1,1,0,100.0,0.0,0.0,,,,,
2011-12,Grant,481,249,178,97,633,437,18,69.0,28.1,2.8,,,,,
2011-12,Grays Harbor,109,22,29,21,110,72,9,65.5,26.4,8.2,,,,,
2011-12,Island,47,16,9,24,39,30,0,76.9,23.1,0.0,,,,,
2011-12,Jefferson,16,6,3,3,19,16,0,84.2,15.8,0.0,,,,,
2011-12,King,2195,647,627,599,2243,1514,102,67.5,28.0,4.5,,,,,
2011-12,Kitsap,215,66,29,46,235,198,8,84.3,12.3,3.4,,,,,
2011-12,Kittitas,44,19,13,12,51,37,1,72.5,25.5,2.0,,,,,
2011-12,Klickitat,43,15,9,11,47,37,1,78.7,19.1,2.1,,,,,
2011-12,Lewis,130,50,51,41,139,83,5,59.7,36.7,3.6,,,,,
2011-12,Lincoln,5,3,0,3,5,5,0,100.0,0.0,0.0,,,,,
2011-12,Mason,62,15,13,8,69,53,3,76.8,18.8,4.3,,,,,
2011-12,Okanogan,133,26,33,15,144,102,9,70.8,22.9,6.3,,,,,
2011-12,Pacific,44,16,15,17,43,27,1,62.8,34.9,2.3,,,,,
2011-12,Pend Oreille,6,5,0,4,7,7,0,100.0,0.0,0.0,,,,,
2011-12,Pierce,991,279,240,304,966,677,49,70.1,24.8,5.1,,,,,
2011-12,San Juan,9,2,0,0,11,10,1,90.9,0.0,9.1,,,,,
2011-12,Skagit,324,100,131,72,352,201,20,57.1,37.2,5.7,,,,,
2011-12,Skamania,13,5,9,1,17,7,1,41.2,52.9,5.9,,,,,
2011-12,Snohomish,862,271,231,226,907,624,52,68.8,25.5,5.7,,,,,
2011-12,Spokane,283,97,55,70,310,251,4,81.0,17.7,1.3,,,,,
2011-12,Stevens,49,23,16,14,58,40,2,69.0,27.6,3.4,,,,,
2011-12,Thurston,250,97,69,74,273,195,9,71.4,25.3,3.3,,,,,
2011-12,Wahkiakum,1,0,1,0,1,0,0,0.0,100.0,0.0,,,,,
2011-12,Walla Walla,178,44,23,30,192,158,11,82.3,12.0,5.7,,,,,
2011-12,Whatcom,242,70,74,58,254,167,13,65.7,29.1,5.1,,,,,
2011-12,Whitman,10,3,0,1,12,12,0,100.0,0.0,0.0,,,,,
2011-12,Yakima,1982,368,454,276,2074,1523,97,73.4,21.9,4.7,,,,,
