SchoolYear,County,Began Grade 9 in Washington,Transferred Into Washington,Total Dropouts All 4 Years,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Dropouts Year 1
2011-12,Adams,164,42,35,28,178,142,1,79.8,19.7,0.6,,,,,
2011-12,Asotin,158,56,46,34,180,130,4,72.2,25.6,2.2,,,,,
2011-12,Benton,1279,236,213,219,1296,1037,46,80.0,16.4,3.5,,,,,
2011-12,Chelan,476,94,120,75,495,359,16,72.5,24.2,3.2,,,,,
2011-12,Clallam,753,212,457,118,847,353,37,41.7,54.0,4.4,,,,,
2011-12,Clark,3003,601,639,555,3049,2346,64,76.9,21.0,2.1,,,,,
2011-12,Columbia,21,4,0,3,22,22,0,100.0,0.0,0.0,,,,,
2011-12,Cowlitz,690,121,118,130,681,533,30,78.3,17.3,4.4,,,,,
2011-12,Douglas,222,53,26,40,235,197,12,83.8,11.1,5.1,,,,,
2011-12,Ferry,42,7,5,7,42,35,2,83.3,11.9,4.8,,,,,
2011-12,Franklin,546,131,154,82,595,418,23,70.3,25.9,3.9,,,,,
2011-12,Garfield,14,1,1,2,13,12,0,92.3,7.7,0.0,,,,,
2011-12,Grant,640,189,174,118,711,514,23,72.3,24.5,3.2,,,,,
2011-12,Grays Harbor,424,66,110,66,424,295,19,69.6,25.9,4.5,,,,,
2011-12,Island,356,77,47,102,331,272,12,82.2,14.2,3.6,,,,,
2011-12,Jefferson,125,45,12,30,140,123,5,87.9,8.6,3.6,,,,,
2011-12,King,9997,1835,1699,1824,10008,7906,403,79.0,17.0,4.0,,,,,
2011-12,Kitsap,1552,293,195,250,1595,1303,97,81.7,12.2,6.1,,,,,
2011-12,Kittitas,226,67,68,46,247,173,6,70.0,27.5,2.4,,,,,
2011-12,Klickitat,137,53,19,61,129,109,1,84.5,14.7,0.8,,,,,
2011-12,Lewis,587,131,157,130,588,409,22,69.6,26.7,3.7,,,,,
2011-12,Lincoln,82,13,11,14,81,69,1,85.2,13.6,1.2,,,,,
2011-12,Mason,350,60,79,50,360,263,18,73.1,21.9,5.0,,,,,
2011-12,Okanogan,266,42,68,38,270,193,9,71.5,25.2,3.3,,,,,
2011-12,Pacific,171,37,63,43,165,97,5,58.8,38.2,3.0,,,,,
2011-12,Pend Oreille,73,20,10,19,74,63,1,85.1,13.5,1.4,,,,,
2011-12,Pierce,5166,924,1111,1189,4901,3570,220,72.8,22.7,4.5,,,,,
2011-12,San Juan,62,13,10,16,59,48,1,81.4,16.9,1.7,,,,,
2011-12,Skagit,774,163,245,139,798,524,29,65.7,30.7,3.6,,,,,
2011-12,Skamania,64,23,33,12,75,39,3,52.0,44.0,4.0,,,,,
2011-12,Snohomish,4587,770,894,812,4545,3442,209,75.7,19.7,4.6,,,,,
2011-12,Spokane,3023,552,519,463,3112,2500,93,80.3,16.7,3.0,,,,,
2011-12,Stevens,365,134,119,97,402,270,13,67.2,29.6,3.2,,,,,
2011-12,Thurston,1641,363,350,355,1649,1254,45,76.0,21.2,2.7,,,,,
2011-12,Wahkiakum,18,1,4,1,18,14,0,77.8,22.2,0.0,,,,,
2011-12,Walla Walla,339,103,37,83,359,303,19,84.4,10.3,5.3,,,,,
2011-12,Whatcom,1107,200,226,198,1109,841,42,75.8,20.4,3.8,,,,,
2011-12,Whitman,180,27,8,29,178,169,1,94.9,4.5,0.6,,,,,
2011-12,Yakima,1769,326,421,324,1771,1267,83,71.5,23.8,4.7,,,,,
