SchoolYear,County,Began Grade 9 in Washington,Transferred Into Washington,Total Dropouts All 4 Years,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Dropouts Year 1
2011-12,Adams,0,1,0,1,0,0,0,n/a,n/a,n/a,,,,,
2011-12,Asotin,0,0,0,0,0,0,0,n/a,n/a,n/a,,,,,
2011-12,Benton,6,3,1,2,7,6,0,85.7,14.3,0.0,,,,,
2011-12,Chelan,1,0,0,1,0,0,0,n/a,n/a,n/a,,,,,
2011-12,Clallam,13,9,19,1,21,1,1,4.8,90.5,4.8,,,,,
2011-12,Clark,35,37,16,13,59,42,1,71.2,27.1,1.7,,,,,
2011-12,Columbia,0,0,0,0,0,0,0,n/a,n/a,n/a,,,,,
2011-12,Cowlitz,2,0,0,0,2,2,0,100.0,0.0,0.0,,,,,
2011-12,Douglas,0,0,0,0,0,0,0,n/a,n/a,n/a,,,,,
2011-12,Ferry,0,0,0,0,0,0,0,n/a,n/a,n/a,,,,,
2011-12,Franklin,4,0,1,0,4,3,0,75.0,25.0,0.0,,,,,
2011-12,Garfield,0,0,0,0,0,0,0,n/a,n/a,n/a,,,,,
2011-12,Grant,0,0,0,0,0,0,0,n/a,n/a,n/a,,,,,
2011-12,Grays Harbor,2,1,0,0,3,3,0,100.0,0.0,0.0,,,,,
2011-12,Island,1,2,0,0,3,2,1,66.7,0.0,33.3,,,,,
2011-12,Jefferson,0,0,0,0,0,0,0,n/a,n/a,n/a,,,,,
2011-12,King,184,87,54,60,211,147,10,69.7,25.6,4.7,,,,,
2011-12,Kitsap,40,7,3,10,37,32,2,86.5,8.1,5.4,,,,,
2011-12,Kittitas,2,1,0,3,0,0,0,n/a,n/a,n/a,,,,,
2011-12,Klickitat,0,0,0,0,0,0,0,n/a,n/a,n/a,,,,,
2011-12,Lewis,4,2,2,0,6,4,0,66.7,33.3,0.0,,,,,
2011-12,Lincoln,0,1,0,1,0,0,0,n/a,n/a,n/a,,,,,
2011-12,Mason,6,1,0,2,5,5,0,100.0,0.0,0.0,,,,,
2011-12,Okanogan,0,0,0,0,0,0,0,n/a,n/a,n/a,,,,,
2011-12,Pacific,0,2,0,1,1,0,1,0.0,0.0,100.0,,,,,
2011-12,Pend Oreille,0,0,0,0,0,0,0,n/a,n/a,n/a,,,,,
2011-12,Pierce,123,69,42,46,146,100,4,68.5,28.8,2.7,,,,,
2011-12,San Juan,0,0,0,0,0,0,0,n/a,n/a,n/a,,,,,
2011-12,Skagit,7,4,7,1,10,3,0,30.0,70.0,0.0,,,,,
2011-12,Skamania,1,0,1,0,1,0,0,0.0,100.0,0.0,,,,,
2011-12,Snohomish,45,20,18,17,48,25,5,52.1,37.5,10.4,,,,,
2011-12,Spokane,21,20,9,6,35,24,2,68.6,25.7,5.7,,,,,
2011-12,Stevens,1,1,0,2,0,0,0,n/a,n/a,n/a,,,,,
2011-12,Thurston,15,8,5,4,19,13,1,68.4,26.3,5.3,,,,,
2011-12,Wahkiakum,0,0,0,0,0,0,0,n/a,n/a,n/a,,,,,
2011-12,Walla Walla,1,1,0,2,0,0,0,n/a,n/a,n/a,,,,,
2011-12,Whatcom,8,1,2,1,8,4,2,50.0,25.0,25.0,,,,,
2011-12,Whitman,1,0,1,0,1,0,0,0.0,100.0,0.0,,,,,
2011-12,Yakima,2,1,1,0,3,2,0,66.7,33.3,0.0,,,,,
