SchoolYear,County,Began Grade 9 in Washington,Transferred Into Washington,Total Dropouts All 4 Years,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Dropouts Year 1
2011-12,Adams,13,0,1,2,11,10,0,90.9,9.1,0.0,,,,,
2011-12,Asotin,6,2,0,1,7,6,1,85.7,0.0,14.3,,,,,
2011-12,Benton,19,0,5,1,18,12,1,66.7,27.8,5.6,,,,,
2011-12,Chelan,31,1,3,1,31,28,0,90.3,9.7,0.0,,,,,
2011-12,Clallam,41,7,19,6,42,20,3,47.6,45.2,7.1,,,,,
2011-12,Clark,121,7,24,10,118,94,0,79.7,20.3,0.0,,,,,
2011-12,Columbia,0,0,0,0,0,0,0,n/a,n/a,n/a,,,,,
2011-12,Cowlitz,25,2,3,1,26,22,1,84.6,11.5,3.8,,,,,
2011-12,Douglas,9,0,1,1,8,6,1,75.0,12.5,12.5,,,,,
2011-12,Ferry,0,0,0,0,0,0,0,n/a,n/a,n/a,,,,,
2011-12,Franklin,1,0,0,0,1,1,0,100.0,0.0,0.0,,,,,
2011-12,Garfield,0,0,0,0,0,0,0,n/a,n/a,n/a,,,,,
2011-12,Grant,16,2,2,1,17,14,1,82.4,11.8,5.9,,,,,
2011-12,Grays Harbor,27,2,6,0,29,23,0,79.3,20.7,0.0,,,,,
2011-12,Island,12,1,3,0,13,9,1,69.2,23.1,7.7,,,,,
2011-12,Jefferson,9,0,0,0,9,8,1,88.9,0.0,11.1,,,,,
2011-12,King,683,54,80,55,682,581,21,85.2,11.7,3.1,,,,,
2011-12,Kitsap,112,8,13,5,115,97,5,84.3,11.3,4.3,,,,,
2011-12,Kittitas,4,1,0,0,5,5,0,100.0,0.0,0.0,,,,,
2011-12,Klickitat,3,0,1,0,3,2,0,66.7,33.3,0.0,,,,,
2011-12,Lewis,15,1,1,1,15,14,0,93.3,6.7,0.0,,,,,
2011-12,Lincoln,8,0,3,0,8,5,0,62.5,37.5,0.0,,,,,
2011-12,Mason,21,3,3,3,21,16,2,76.2,14.3,9.5,,,,,
2011-12,Okanogan,6,0,0,0,6,6,0,100.0,0.0,0.0,,,,,
2011-12,Pacific,4,0,2,0,4,2,0,50.0,50.0,0.0,,,,,
2011-12,Pend Oreille,6,1,0,1,6,6,0,100.0,0.0,0.0,,,,,
2011-12,Pierce,250,17,35,27,240,187,18,77.9,14.6,7.5,,,,,
2011-12,San Juan,1,0,0,0,1,1,0,100.0,0.0,0.0,,,,,
2011-12,Skagit,27,4,4,1,30,25,1,83.3,13.3,3.3,,,,,
2011-12,Skamania,5,1,4,0,6,2,0,33.3,66.7,0.0,,,,,
2011-12,Snohomish,298,25,35,22,301,257,9,85.4,11.6,3.0,,,,,
2011-12,Spokane,112,7,15,10,109,90,4,82.6,13.8,3.7,,,,,
2011-12,Stevens,8,0,1,1,7,6,0,85.7,14.3,0.0,,,,,
2011-12,Thurston,87,3,11,1,89,75,3,84.3,12.4,3.4,,,,,
2011-12,Wahkiakum,2,0,0,0,2,2,0,100.0,0.0,0.0,,,,,
2011-12,Walla Walla,8,0,0,1,7,7,0,100.0,0.0,0.0,,,,,
2011-12,Whatcom,78,6,16,5,79,59,4,74.7,20.3,5.1,,,,,
2011-12,Whitman,13,2,0,2,13,13,0,100.0,0.0,0.0,,,,,
2011-12,Yakima,48,4,5,1,51,42,4,82.4,9.8,7.8,,,,,
