SchoolYear,County,Began Grade 9 in Washington,Transferred Into Washington,Total Dropouts All 4 Years,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Dropouts Year 1
2011-12,Adams,24,10,8,8,26,16,2,61.5,30.8,7.7,,,,,
2011-12,Asotin,47,16,16,8,55,38,1,69.1,29.1,1.8,,,,,
2011-12,Benton,265,52,63,61,256,175,18,68.4,24.6,7.0,,,,,
2011-12,Chelan,105,21,33,15,111,73,5,65.8,29.7,4.5,,,,,
2011-12,Clallam,180,43,128,21,202,54,20,26.7,63.4,9.9,,,,,
2011-12,Clark,617,129,146,165,581,395,40,68.0,25.1,6.9,,,,,
2011-12,Columbia,1,0,0,0,1,1,0,100.0,0.0,0.0,,,,,
2011-12,Cowlitz,180,37,36,37,180,127,17,70.6,20.0,9.4,,,,,
2011-12,Douglas,39,13,6,10,42,31,5,73.8,14.3,11.9,,,,,
2011-12,Ferry,7,3,0,2,8,5,3,62.5,0.0,37.5,,,,,
2011-12,Franklin,124,34,45,16,142,85,12,59.9,31.7,8.5,,,,,
2011-12,Garfield,3,1,0,2,2,2,0,100.0,0.0,0.0,,,,,
2011-12,Grant,114,32,33,22,124,75,16,60.5,26.6,12.9,,,,,
2011-12,Grays Harbor,106,14,39,16,104,51,14,49.0,37.5,13.5,,,,,
2011-12,Island,60,18,10,18,60,40,10,66.7,16.7,16.7,,,,,
2011-12,Jefferson,33,5,8,4,34,19,7,55.9,23.5,20.6,,,,,
2011-12,King,2362,327,524,450,2239,1436,279,64.1,23.4,12.5,,,,,
2011-12,Kitsap,364,46,61,56,354,225,68,63.6,17.2,19.2,,,,,
2011-12,Kittitas,52,9,19,10,51,28,4,54.9,37.3,7.8,,,,,
2011-12,Klickitat,33,10,5,14,29,23,1,79.3,17.2,3.4,,,,,
2011-12,Lewis,125,32,49,29,128,65,14,50.8,38.3,10.9,,,,,
2011-12,Lincoln,11,1,3,0,12,8,1,66.7,25.0,8.3,,,,,
2011-12,Mason,95,22,30,16,101,59,12,58.4,29.7,11.9,,,,,
2011-12,Okanogan,58,12,13,10,60,42,5,70.0,21.7,8.3,,,,,
2011-12,Pacific,48,6,18,8,46,21,7,45.7,39.1,15.2,,,,,
2011-12,Pend Oreille,27,4,1,7,24,22,1,91.7,4.2,4.2,,,,,
2011-12,Pierce,1251,226,323,338,1139,690,126,60.6,28.4,11.1,,,,,
2011-12,San Juan,16,3,3,6,13,10,0,76.9,23.1,0.0,,,,,
2011-12,Skagit,231,34,86,42,223,118,19,52.9,38.6,8.5,,,,,
2011-12,Skamania,18,5,7,5,18,8,3,44.4,38.9,16.7,,,,,
2011-12,Snohomish,1052,134,268,194,992,613,111,61.8,27.0,11.2,,,,,
2011-12,Spokane,660,109,169,95,674,450,55,66.8,25.1,8.2,,,,,
2011-12,Stevens,104,15,35,22,97,57,5,58.8,36.1,5.2,,,,,
2011-12,Thurston,380,62,98,101,341,214,29,62.8,28.7,8.5,,,,,
2011-12,Wahkiakum,7,0,2,0,7,5,0,71.4,28.6,0.0,,,,,
2011-12,Walla Walla,62,13,11,12,63,41,11,65.1,17.5,17.5,,,,,
2011-12,Whatcom,256,42,62,44,254,154,38,60.6,24.4,15.0,,,,,
2011-12,Whitman,36,2,3,3,35,32,0,91.4,8.6,0.0,,,,,
2011-12,Yakima,374,56,95,71,359,226,38,63.0,26.5,10.6,,,,,
