SchoolYear,County,Began Grade 9 in Washington,Transferred Into Washington,Total Dropouts All 4 Years,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Dropouts Year 1
2011-12,Adams,36,31,11,15,52,41,0,78.8,21.2,0.0,,,,,
2011-12,Asotin,0,0,0,0,0,0,0,n/a,n/a,n/a,,,,,
2011-12,Benton,182,48,42,37,193,144,7,74.6,21.8,3.6,,,,,
2011-12,Chelan,173,56,51,38,191,127,13,66.5,26.7,6.8,,,,,
2011-12,Clallam,19,4,13,2,21,8,0,38.1,61.9,0.0,,,,,
2011-12,Clark,4,1,3,0,5,2,0,40.0,60.0,0.0,,,,,
2011-12,Columbia,0,0,0,0,0,0,0,n/a,n/a,n/a,,,,,
2011-12,Cowlitz,0,0,0,0,0,0,0,n/a,n/a,n/a,,,,,
2011-12,Douglas,67,17,12,9,75,58,5,77.3,16.0,6.7,,,,,
2011-12,Ferry,0,0,0,0,0,0,0,n/a,n/a,n/a,,,,,
2011-12,Franklin,152,80,53,33,199,139,7,69.8,26.6,3.5,,,,,
2011-12,Garfield,0,0,0,0,0,0,0,n/a,n/a,n/a,,,,,
2011-12,Grant,90,90,51,24,156,97,8,62.2,32.7,5.1,,,,,
2011-12,Grays Harbor,18,8,6,6,20,10,4,50.0,30.0,20.0,,,,,
2011-12,Island,0,0,0,0,0,0,0,n/a,n/a,n/a,,,,,
2011-12,Jefferson,0,0,0,0,0,0,0,n/a,n/a,n/a,,,,,
2011-12,King,44,14,19,11,47,24,4,51.1,40.4,8.5,,,,,
2011-12,Kitsap,49,1,5,4,46,34,7,73.9,10.9,15.2,,,,,
2011-12,Kittitas,1,0,0,1,0,0,0,n/a,n/a,n/a,,,,,
2011-12,Klickitat,0,0,0,0,0,0,0,n/a,n/a,n/a,,,,,
2011-12,Lewis,21,10,10,7,24,12,2,50.0,41.7,8.3,,,,,
2011-12,Lincoln,0,0,0,0,0,0,0,n/a,n/a,n/a,,,,,
2011-12,Mason,13,3,5,2,14,8,1,57.1,35.7,7.1,,,,,
2011-12,Okanogan,13,7,4,0,20,13,3,65.0,20.0,15.0,,,,,
2011-12,Pacific,20,5,6,7,18,12,0,66.7,33.3,0.0,,,,,
2011-12,Pend Oreille,0,0,0,0,0,0,0,n/a,n/a,n/a,,,,,
2011-12,Pierce,6,1,1,1,6,2,3,33.3,16.7,50.0,,,,,
2011-12,San Juan,0,0,0,0,0,0,0,n/a,n/a,n/a,,,,,
2011-12,Skagit,78,20,30,12,86,51,5,59.3,34.9,5.8,,,,,
2011-12,Skamania,1,0,1,0,1,0,0,0.0,100.0,0.0,,,,,
2011-12,Snohomish,13,5,5,5,13,6,2,46.2,38.5,15.4,,,,,
2011-12,Spokane,3,0,1,0,3,2,0,66.7,33.3,0.0,,,,,
2011-12,Stevens,10,3,6,1,12,6,0,50.0,50.0,0.0,,,,,
2011-12,Thurston,1,1,0,1,1,1,0,100.0,0.0,0.0,,,,,
2011-12,Wahkiakum,3,0,0,0,3,3,0,100.0,0.0,0.0,,,,,
2011-12,Walla Walla,16,7,2,3,20,18,0,90.0,10.0,0.0,,,,,
2011-12,Whatcom,23,13,11,8,28,16,1,57.1,39.3,3.6,,,,,
2011-12,Whitman,0,0,0,0,0,0,0,n/a,n/a,n/a,,,,,
2011-12,Yakima,776,177,174,117,836,611,51,73.1,20.8,6.1,,,,,
