SchoolYear,County,Began Grade 9 in Washington,Transferred Into Washington,Total Dropouts All 4 Years,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Dropouts Year 1
2011-12,Adams,67,33,24,19,81,55,2,67.9,29.6,2.5,,,,,
2011-12,Asotin,2,0,0,1,1,1,0,100.0,0.0,0.0,,,,,
2011-12,Benton,143,58,46,51,150,99,5,66.0,30.7,3.3,,,,,
2011-12,Chelan,125,57,48,44,138,83,7,60.1,34.8,5.1,,,,,
2011-12,Clallam,21,12,16,4,29,13,0,44.8,55.2,0.0,,,,,
2011-12,Clark,192,106,93,69,229,125,11,54.6,40.6,4.8,,,,,
2011-12,Columbia,0,0,0,0,0,0,0,n/a,n/a,n/a,,,,,
2011-12,Cowlitz,35,18,13,15,38,24,1,63.2,34.2,2.6,,,,,
2011-12,Douglas,50,23,12,9,64,47,5,73.4,18.8,7.8,,,,,
2011-12,Ferry,0,0,0,0,0,0,0,n/a,n/a,n/a,,,,,
2011-12,Franklin,217,109,103,47,279,161,15,57.7,36.9,5.4,,,,,
2011-12,Garfield,0,1,0,1,0,0,0,n/a,n/a,n/a,,,,,
2011-12,Grant,106,102,68,36,172,96,8,55.8,39.5,4.7,,,,,
2011-12,Grays Harbor,28,12,15,5,35,17,3,48.6,42.9,8.6,,,,,
2011-12,Island,4,4,2,4,4,1,1,25.0,50.0,25.0,,,,,
2011-12,Jefferson,4,1,0,1,4,4,0,100.0,0.0,0.0,,,,,
2011-12,King,1160,817,541,422,1555,921,93,59.2,34.8,6.0,,,,,
2011-12,Kitsap,37,16,12,5,48,36,0,75.0,25.0,0.0,,,,,
2011-12,Kittitas,7,4,2,1,10,8,0,80.0,20.0,0.0,,,,,
2011-12,Klickitat,14,4,6,2,16,9,1,56.3,37.5,6.3,,,,,
2011-12,Lewis,29,12,18,10,31,11,2,35.5,58.1,6.5,,,,,
2011-12,Lincoln,0,0,0,0,0,0,0,n/a,n/a,n/a,,,,,
2011-12,Mason,15,6,9,2,19,10,0,52.6,47.4,0.0,,,,,
2011-12,Okanogan,48,11,15,2,57,35,7,61.4,26.3,12.3,,,,,
2011-12,Pacific,11,4,5,4,11,6,0,54.5,45.5,0.0,,,,,
2011-12,Pend Oreille,1,0,0,0,1,1,0,100.0,0.0,0.0,,,,,
2011-12,Pierce,231,134,103,111,254,135,16,53.1,40.6,6.3,,,,,
2011-12,San Juan,1,0,0,0,1,1,0,100.0,0.0,0.0,,,,,
2011-12,Skagit,113,37,52,28,122,62,8,50.8,42.6,6.6,,,,,
2011-12,Skamania,1,0,1,0,1,0,0,0.0,100.0,0.0,,,,,
2011-12,Snohomish,319,235,145,125,429,256,28,59.7,33.8,6.5,,,,,
2011-12,Spokane,135,66,45,26,175,116,14,66.3,25.7,8.0,,,,,
2011-12,Stevens,14,5,10,3,16,6,0,37.5,62.5,0.0,,,,,
2011-12,Thurston,41,44,26,18,67,38,3,56.7,38.8,4.5,,,,,
2011-12,Wahkiakum,0,0,0,0,0,0,0,n/a,n/a,n/a,,,,,
2011-12,Walla Walla,50,14,13,10,54,39,2,72.2,24.1,3.7,,,,,
2011-12,Whatcom,64,24,23,20,68,43,2,63.2,33.8,2.9,,,,,
2011-12,Whitman,2,5,1,1,6,5,0,83.3,16.7,0.0,,,,,
2011-12,Yakima,438,132,146,101,469,300,23,64.0,31.1,4.9,,,,,
