SchoolYear,County,Began Grade 9 in Washington,Transferred Into Washington,Total Dropouts All 4 Years,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Dropouts Year 1
2011-12,Adams,2,0,0,0,2,2,0,100.0,0.0,0.0,,,,,
2011-12,Asotin,13,3,6,2,14,8,0,57.1,42.9,0.0,,,,,
2011-12,Benton,17,11,6,10,18,11,1,61.1,33.3,5.6,,,,,
2011-12,Chelan,25,5,3,2,28,25,0,89.3,10.7,0.0,,,,,
2011-12,Clallam,107,29,87,11,125,34,4,27.2,69.6,3.2,,,,,
2011-12,Clark,211,49,32,45,215,179,4,83.3,14.9,1.9,,,,,
2011-12,Columbia,0,0,0,0,0,0,0,n/a,n/a,n/a,,,,,
2011-12,Cowlitz,71,12,8,14,69,56,5,81.2,11.6,7.2,,,,,
2011-12,Douglas,13,6,2,5,14,11,1,78.6,14.3,7.1,,,,,
2011-12,Ferry,6,0,0,0,6,6,0,100.0,0.0,0.0,,,,,
2011-12,Franklin,2,1,0,2,1,1,0,100.0,0.0,0.0,,,,,
2011-12,Garfield,0,0,0,0,0,0,0,n/a,n/a,n/a,,,,,
2011-12,Grant,21,5,3,2,24,18,3,75.0,12.5,12.5,,,,,
2011-12,Grays Harbor,55,5,10,4,56,44,2,78.6,17.9,3.6,,,,,
2011-12,Island,9,1,0,5,5,5,0,100.0,0.0,0.0,,,,,
2011-12,Jefferson,9,1,3,1,9,6,0,66.7,33.3,0.0,,,,,
2011-12,King,737,138,102,135,740,602,36,81.4,13.8,4.9,,,,,
2011-12,Kitsap,223,48,22,34,237,197,18,83.1,9.3,7.6,,,,,
2011-12,Kittitas,4,2,1,2,4,3,0,75.0,25.0,0.0,,,,,
2011-12,Klickitat,21,0,1,2,19,18,0,94.7,5.3,0.0,,,,,
2011-12,Lewis,52,7,10,6,53,41,2,77.4,18.9,3.8,,,,,
2011-12,Lincoln,1,0,0,0,1,1,0,100.0,0.0,0.0,,,,,
2011-12,Mason,41,4,6,6,39,31,2,79.5,15.4,5.1,,,,,
2011-12,Okanogan,10,3,4,1,12,7,1,58.3,33.3,8.3,,,,,
2011-12,Pacific,11,1,2,0,12,10,0,83.3,16.7,0.0,,,,,
2011-12,Pend Oreille,10,0,0,1,9,9,0,100.0,0.0,0.0,,,,,
2011-12,Pierce,535,94,100,91,538,417,21,77.5,18.6,3.9,,,,,
2011-12,San Juan,5,0,1,0,5,4,0,80.0,20.0,0.0,,,,,
2011-12,Skagit,15,4,6,5,14,6,2,42.9,42.9,14.3,,,,,
2011-12,Skamania,10,2,6,2,10,4,0,40.0,60.0,0.0,,,,,
2011-12,Snohomish,385,65,51,55,395,333,11,84.3,12.9,2.8,,,,,
2011-12,Spokane,264,43,40,31,276,223,13,80.8,14.5,4.7,,,,,
2011-12,Stevens,18,2,1,3,17,16,0,94.1,5.9,0.0,,,,,
2011-12,Thurston,135,31,22,26,140,114,4,81.4,15.7,2.9,,,,,
2011-12,Wahkiakum,0,0,0,0,0,0,0,n/a,n/a,n/a,,,,,
2011-12,Walla Walla,15,2,2,1,16,13,1,81.3,12.5,6.3,,,,,
2011-12,Whatcom,40,4,8,3,41,33,0,80.5,19.5,0.0,,,,,
2011-12,Whitman,18,2,0,2,18,18,0,100.0,0.0,0.0,,,,,
2011-12,Yakima,54,23,14,28,49,34,1,69.4,28.6,2.0,,,,,
