SchoolYear,County,Began Grade 9 in Washington,Transferred Into Washington,Total Dropouts All 4 Years,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Dropouts Year 1
2011-12,Adams,91,18,15,12,97,82,0,84.5,15.5,0.0,,,,,
2011-12,Asotin,260,76,70,41,295,216,9,73.2,23.7,3.1,,,,,
2011-12,Benton,1779,291,202,271,1799,1550,47,86.2,11.2,2.6,,,,,
2011-12,Chelan,578,73,105,51,600,482,13,80.3,17.5,2.2,,,,,
2011-12,Clallam,1260,325,734,189,1396,628,34,45.0,52.6,2.4,,,,,
2011-12,Clark,4576,798,754,782,4592,3748,90,81.6,16.4,2.0,,,,,
2011-12,Columbia,40,10,1,8,42,40,1,95.2,2.4,2.4,,,,,
2011-12,Cowlitz,1044,176,133,170,1050,884,33,84.2,12.7,3.1,,,,,
2011-12,Douglas,273,43,19,38,278,248,11,89.2,6.8,4.0,,,,,
2011-12,Ferry,63,11,9,13,61,49,3,80.3,14.8,4.9,,,,,
2011-12,Franklin,284,41,46,37,288,237,5,82.3,16.0,1.7,,,,,
2011-12,Garfield,24,2,0,4,22,22,0,100.0,0.0,0.0,,,,,
2011-12,Grant,631,108,103,92,647,530,14,81.9,15.9,2.2,,,,,
2011-12,Grays Harbor,626,90,141,92,624,463,20,74.2,22.6,3.2,,,,,
2011-12,Island,534,99,58,123,510,439,13,86.1,11.4,2.5,,,,,
2011-12,Jefferson,199,57,15,42,214,190,9,88.8,7.0,4.2,,,,,
2011-12,King,11369,1429,1192,1657,11141,9649,300,86.6,10.7,2.7,,,,,
2011-12,Kitsap,2192,377,238,310,2259,1919,102,84.9,10.5,4.5,,,,,
2011-12,Kittitas,345,58,78,31,372,286,8,76.9,21.0,2.2,,,,,
2011-12,Klickitat,162,68,24,71,159,134,1,84.3,15.1,0.6,,,,,
2011-12,Lewis,802,146,129,140,808,654,25,80.9,16.0,3.1,,,,,
2011-12,Lincoln,149,24,15,26,147,130,2,88.4,10.2,1.4,,,,,
2011-12,Mason,494,69,89,65,498,384,25,77.1,17.9,5.0,,,,,
2011-12,Okanogan,309,47,49,45,311,256,6,82.3,15.8,1.9,,,,,
2011-12,Pacific,204,34,57,46,192,128,7,66.7,29.7,3.6,,,,,
2011-12,Pend Oreille,139,29,14,32,136,120,2,88.2,10.3,1.5,,,,,
2011-12,Pierce,6366,903,1086,1109,6160,4864,210,79.0,17.6,3.4,,,,,
2011-12,San Juan,124,24,13,30,118,105,0,89.0,11.0,0.0,,,,,
2011-12,Skagit,1113,166,214,165,1114,873,27,78.4,19.2,2.4,,,,,
2011-12,Skamania,118,33,60,19,132,69,3,52.3,45.5,2.3,,,,,
2011-12,Snohomish,6572,846,1082,1001,6417,5090,245,79.3,16.9,3.8,,,,,
2011-12,Spokane,5009,808,718,705,5112,4267,127,83.5,14.0,2.5,,,,,
2011-12,Stevens,496,170,112,129,537,403,22,75.0,20.9,4.1,,,,,
2011-12,Thurston,2364,425,379,423,2366,1937,50,81.9,16.0,2.1,,,,,
2011-12,Wahkiakum,29,3,4,2,30,26,0,86.7,13.3,0.0,,,,,
2011-12,Walla Walla,435,134,40,108,461,405,16,87.9,8.7,3.5,,,,,
2011-12,Whatcom,1715,264,231,297,1682,1401,50,83.3,13.7,3.0,,,,,
2011-12,Whitman,296,35,23,40,291,267,1,91.8,7.9,0.3,,,,,
2011-12,Yakima,1325,177,195,247,1255,1017,43,81.0,15.5,3.4,,,,,
