SchoolYear,County,Adjusted Cohort,Began Grade 9 in Washington,Transferred Into Washington,Transferred Out,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2012-13,Adams,0,1,0,0,0,0,0,1,0,0,0,n/a,n/a,n/a
2012-13,Asotin,6,2,0,0,0,1,0,2,6,5,0,83.3,16.7,0.0
2012-13,Benton,22,2,0,1,1,0,0,2,22,19,1,86.4,9.1,4.5
2012-13,Chelan,5,4,0,0,0,1,2,2,7,4,0,57.1,42.9,0.0
2012-13,Clallam,63,22,4,10,13,7,9,5,80,32,5,40.0,53.8,6.3
2012-13,Clark,52,9,4,3,3,1,2,19,42,28,1,66.7,31.0,2.4
2012-13,Columbia,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,Cowlitz,32,7,2,2,1,4,3,7,32,20,0,62.5,37.5,0.0
2012-13,Douglas,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,Ferry,5,0,0,0,0,1,0,0,5,4,0,80.0,20.0,0.0
2012-13,Franklin,5,2,0,0,1,1,0,2,5,3,0,60.0,40.0,0.0
2012-13,Garfield,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,Grant,40,8,1,0,1,6,7,7,41,24,2,58.5,36.6,4.9
2012-13,Grays Harbor,57,7,0,3,1,9,6,5,59,39,1,66.1,32.2,1.7
2012-13,Island,9,2,0,0,0,1,0,3,8,7,0,87.5,12.5,0.0
2012-13,Jefferson,6,0,0,0,0,0,1,1,5,4,0,80.0,20.0,0.0
2012-13,King,213,49,7,13,6,32,20,49,213,121,14,56.8,36.6,6.6
2012-13,Kitsap,57,9,2,1,1,1,5,9,57,45,2,78.9,17.5,3.5
2012-13,Kittitas,4,4,1,0,2,1,0,2,6,1,1,16.7,66.7,16.7
2012-13,Klickitat,7,2,0,1,1,0,0,5,4,2,0,50.0,50.0,0.0
2012-13,Lewis,15,8,0,0,2,5,2,4,19,10,0,52.6,47.4,0.0
2012-13,Lincoln,10,1,0,0,0,0,0,2,9,9,0,100.0,0.0,0.0
2012-13,Mason,14,1,0,0,0,0,1,4,11,9,1,81.8,9.1,9.1
2012-13,Okanogan,50,5,2,1,2,6,7,7,48,30,0,62.5,37.5,0.0
2012-13,Pacific,8,4,0,0,0,1,0,5,7,6,0,85.7,14.3,0.0
2012-13,Pend Oreille,5,0,0,0,1,0,0,0,5,4,0,80.0,20.0,0.0
2012-13,Pierce,169,35,34,5,10,15,7,35,169,88,10,52.1,42.0,5.9
2012-13,San Juan,3,0,0,0,0,0,1,1,2,1,0,50.0,50.0,0.0
2012-13,Skagit,30,5,2,2,0,7,3,7,28,14,0,50.0,50.0,0.0
2012-13,Skamania,3,1,1,1,0,0,0,0,4,1,1,25.0,50.0,25.0
2012-13,Snohomish,106,25,1,5,8,12,11,26,105,64,4,61.0,35.2,3.8
2012-13,Spokane,97,15,4,3,13,10,11,18,94,49,4,52.1,43.6,4.3
2012-13,Stevens,66,20,0,1,3,27,13,6,80,31,5,38.8,55.0,6.3
2012-13,Thurston,43,12,0,1,3,7,3,12,43,28,1,65.1,32.6,2.3
2012-13,Wahkiakum,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,Walla Walla,5,1,0,0,0,2,0,2,4,2,0,50.0,50.0,0.0
2012-13,Whatcom,69,9,1,3,5,8,1,7,71,50,3,70.4,25.4,4.2
2012-13,Whitman,4,2,0,0,0,0,0,0,6,6,0,100.0,0.0,0.0
2012-13,Yakima,101,19,2,5,7,11,6,16,104,60,13,57.7,29.8,12.5
