SchoolYear,County,Adjusted Cohort,Began Grade 9 in Washington,Transferred Into Washington,Transferred Out,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2012-13,Adams,2,3,0,0,0,0,0,3,2,2,0,100.0,0.0,0.0
2012-13,Asotin,3,1,0,0,0,0,0,2,2,2,0,100.0,0.0,0.0
2012-13,Benton,63,23,1,1,1,2,0,18,68,60,3,88.2,7.4,4.4
2012-13,Chelan,5,4,0,0,0,1,0,3,6,5,0,83.3,16.7,0.0
2012-13,Clallam,52,26,4,4,9,15,3,12,66,24,7,36.4,53.0,10.6
2012-13,Clark,288,100,2,4,4,15,12,76,312,272,3,87.2,11.9,1.0
2012-13,Columbia,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2012-13,Cowlitz,27,8,0,1,0,1,0,6,29,26,1,89.7,6.9,3.4
2012-13,Douglas,0,2,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
2012-13,Ferry,0,2,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
2012-13,Franklin,20,4,0,0,1,1,1,1,23,19,1,82.6,13.0,4.3
2012-13,Garfield,0,1,0,0,0,0,0,1,0,0,0,n/a,n/a,n/a
2012-13,Grant,6,9,0,1,0,0,0,9,6,5,0,83.3,16.7,0.0
2012-13,Grays Harbor,16,6,0,1,1,0,1,3,19,16,0,84.2,15.8,0.0
2012-13,Island,63,13,1,1,0,5,6,17,59,46,0,78.0,22.0,0.0
2012-13,Jefferson,6,2,0,0,0,0,1,2,6,5,0,83.3,16.7,0.0
2012-13,King,3298,722,45,56,59,144,107,410,3610,3073,126,85.1,11.4,3.5
2012-13,Kitsap,194,48,3,1,4,6,6,42,200,176,4,88.0,10.0,2.0
2012-13,Kittitas,5,3,0,0,0,0,0,2,6,5,1,83.3,0.0,16.7
2012-13,Klickitat,6,18,0,0,4,0,0,17,7,3,0,42.9,57.1,0.0
2012-13,Lewis,11,8,0,0,0,0,1,6,13,10,2,76.9,7.7,15.4
2012-13,Lincoln,0,3,0,0,0,0,0,3,0,0,0,n/a,n/a,n/a
2012-13,Mason,2,5,0,0,0,2,0,3,4,2,0,50.0,50.0,0.0
2012-13,Okanogan,2,2,0,0,0,0,0,2,2,2,0,100.0,0.0,0.0
2012-13,Pacific,7,2,0,0,0,1,1,2,7,5,0,71.4,28.6,0.0
2012-13,Pend Oreille,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2012-13,Pierce,796,243,25,26,24,75,28,158,881,680,23,77.2,20.2,2.6
2012-13,San Juan,4,2,0,0,0,1,0,2,4,3,0,75.0,25.0,0.0
2012-13,Skagit,33,14,0,0,2,3,3,9,38,29,1,76.3,21.1,2.6
2012-13,Skamania,4,2,0,3,2,0,0,0,6,1,0,16.7,83.3,0.0
2012-13,Snohomish,802,150,9,6,12,20,20,108,844,760,17,90.0,7.9,2.0
2012-13,Spokane,129,59,3,4,9,6,6,44,144,114,2,79.2,19.4,1.4
2012-13,Stevens,1,10,0,0,2,1,0,7,4,1,0,25.0,75.0,0.0
2012-13,Thurston,213,53,0,0,3,7,9,31,235,211,5,89.8,8.1,2.1
2012-13,Wahkiakum,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2012-13,Walla Walla,9,9,0,0,0,0,1,10,8,7,0,87.5,12.5,0.0
2012-13,Whatcom,82,21,3,2,0,8,2,14,89,73,1,82.0,16.9,1.1
2012-13,Whitman,20,9,0,0,0,0,0,8,21,20,1,95.2,0.0,4.8
2012-13,Yakima,33,18,0,2,3,0,2,10,41,34,0,82.9,17.1,0.0
