SchoolYear,County,Adjusted Cohort,Began Grade 9 in Washington,Transferred Into Washington,Transferred Out,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2012-13,Adams,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,Asotin,4,0,0,0,1,0,0,2,2,1,0,50.0,50.0,0.0
2012-13,Benton,56,7,0,0,0,3,5,4,59,49,2,83.1,13.6,3.4
2012-13,Chelan,3,5,0,0,1,2,1,0,8,4,0,50.0,50.0,0.0
2012-13,Clallam,69,20,2,7,19,16,10,7,82,22,6,26.8,65.9,7.3
2012-13,Clark,161,51,5,4,4,12,5,55,157,122,5,77.7,19.1,3.2
2012-13,Columbia,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,Cowlitz,14,2,1,0,1,1,1,3,13,9,0,69.2,30.8,0.0
2012-13,Douglas,2,1,1,0,0,0,0,2,1,0,0,0.0,100.0,0.0
2012-13,Ferry,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,Franklin,27,8,1,0,1,2,1,4,31,25,1,80.6,16.1,3.2
2012-13,Garfield,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,Grant,10,2,1,0,2,0,3,1,11,5,0,45.5,54.5,0.0
2012-13,Grays Harbor,3,1,0,0,1,0,1,1,3,1,0,33.3,66.7,0.0
2012-13,Island,40,21,1,2,0,0,3,13,48,38,4,79.2,12.5,8.3
2012-13,Jefferson,1,5,0,0,0,1,0,2,4,3,0,75.0,25.0,0.0
2012-13,King,1751,478,48,54,62,173,144,314,1915,1293,141,67.5,25.1,7.4
2012-13,Kitsap,88,31,3,3,2,2,10,30,89,64,5,71.9,22.5,5.6
2012-13,Kittitas,1,5,0,2,1,0,0,3,3,0,0,0.0,100.0,0.0
2012-13,Klickitat,0,4,0,0,1,0,0,2,2,1,0,50.0,50.0,0.0
2012-13,Lewis,20,7,0,0,3,6,5,2,25,9,2,36.0,56.0,8.0
2012-13,Lincoln,0,4,0,0,0,0,1,2,2,1,0,50.0,50.0,0.0
2012-13,Mason,7,2,0,0,0,1,1,1,8,6,0,75.0,25.0,0.0
2012-13,Okanogan,3,1,0,0,0,2,0,1,3,0,1,0.0,66.7,33.3
2012-13,Pacific,9,7,0,0,3,6,3,2,14,2,0,14.3,85.7,0.0
2012-13,Pend Oreille,1,1,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
2012-13,Pierce,854,289,39,37,35,72,62,271,872,575,52,65.9,28.1,6.0
2012-13,San Juan,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,Skagit,24,18,0,0,2,8,6,6,36,17,3,47.2,44.4,8.3
2012-13,Skamania,0,1,0,0,1,0,0,0,1,0,0,0.0,100.0,0.0
2012-13,Snohomish,275,62,2,4,8,22,13,70,267,202,16,75.7,18.4,6.0
2012-13,Spokane,103,32,6,1,3,11,6,24,111,81,3,73.0,24.3,2.7
2012-13,Stevens,13,9,0,0,2,6,2,0,22,11,1,50.0,45.5,4.5
2012-13,Thurston,125,45,1,0,1,10,12,38,132,104,4,78.8,18.2,3.0
2012-13,Wahkiakum,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2012-13,Walla Walla,5,2,0,0,0,0,0,2,5,5,0,100.0,0.0,0.0
2012-13,Whatcom,45,11,1,0,3,6,2,7,49,37,0,75.5,24.5,0.0
2012-13,Whitman,7,3,0,0,0,0,0,1,9,9,0,100.0,0.0,0.0
2012-13,Yakima,25,7,1,1,0,2,2,6,26,20,0,76.9,23.1,0.0
