SchoolYear,County,Adjusted Cohort,Began Grade 9 in Washington,Transferred Into Washington,Transferred Out,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2012-13,Adams,4,0,0,0,0,2,0,0,4,2,0,50.0,50.0,0.0
2012-13,Asotin,5,2,0,0,1,1,0,4,3,1,0,33.3,66.7,0.0
2012-13,Benton,20,1,0,0,2,0,2,2,19,13,2,68.4,21.1,10.5
2012-13,Chelan,6,1,0,0,0,2,0,0,7,4,1,57.1,28.6,14.3
2012-13,Clallam,19,3,0,2,3,8,1,0,22,8,0,36.4,63.6,0.0
2012-13,Clark,60,26,0,2,8,13,7,27,59,27,2,45.8,50.8,3.4
2012-13,Columbia,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2012-13,Cowlitz,10,3,0,1,0,4,0,2,11,4,2,36.4,45.5,18.2
2012-13,Douglas,1,1,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
2012-13,Ferry,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,Franklin,6,1,0,1,0,1,0,0,7,5,0,71.4,28.6,0.0
2012-13,Garfield,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,Grant,9,3,0,0,1,2,2,0,12,5,2,41.7,41.7,16.7
2012-13,Grays Harbor,7,1,0,0,0,4,1,0,8,3,0,37.5,62.5,0.0
2012-13,Island,2,1,0,0,1,1,0,1,2,0,0,0.0,100.0,0.0
2012-13,Jefferson,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,King,109,22,3,5,9,14,7,30,101,51,12,50.5,37.6,11.9
2012-13,Kitsap,29,8,0,0,1,2,8,9,28,15,2,53.6,39.3,7.1
2012-13,Kittitas,5,1,0,0,2,0,1,1,5,2,0,40.0,60.0,0.0
2012-13,Klickitat,2,2,0,0,1,1,0,1,3,1,0,33.3,66.7,0.0
2012-13,Lewis,11,7,0,0,0,6,4,4,14,2,2,14.3,71.4,14.3
2012-13,Lincoln,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2012-13,Mason,11,1,0,1,0,2,1,0,12,5,3,41.7,33.3,25.0
2012-13,Okanogan,3,2,0,0,0,0,1,1,4,3,0,75.0,25.0,0.0
2012-13,Pacific,8,2,0,0,0,1,0,2,8,6,1,75.0,12.5,12.5
2012-13,Pend Oreille,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,Pierce,93,31,2,5,4,18,11,32,92,43,9,46.7,43.5,9.8
2012-13,San Juan,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,Skagit,16,0,0,0,1,0,3,3,13,7,2,53.8,30.8,15.4
2012-13,Skamania,3,0,0,0,1,0,0,1,2,1,0,50.0,50.0,0.0
2012-13,Snohomish,36,14,0,0,9,7,4,10,40,18,2,45.0,50.0,5.0
2012-13,Spokane,50,12,0,1,6,5,6,5,57,34,5,59.6,31.6,8.8
2012-13,Stevens,11,0,0,0,4,1,2,0,11,4,0,36.4,63.6,0.0
2012-13,Thurston,29,12,0,2,0,10,2,13,28,13,1,46.4,50.0,3.6
2012-13,Wahkiakum,1,0,0,0,0,0,0,0,1,0,1,0.0,0.0,100.0
2012-13,Walla Walla,13,1,0,0,0,1,0,2,12,10,1,83.3,8.3,8.3
2012-13,Whatcom,15,4,0,0,3,3,1,4,15,6,2,40.0,46.7,13.3
2012-13,Whitman,2,1,0,0,0,0,1,0,3,2,0,66.7,33.3,0.0
2012-13,Yakima,33,14,1,5,5,8,5,9,38,12,2,31.6,63.2,5.3
