SchoolYear,County,Adjusted Cohort,Began Grade 9 in Washington,Transferred Into Washington,Transferred Out,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2012-13,Adams,183,50,5,8,8,17,8,45,188,141,1,75.0,24.5,0.5
2012-13,Asotin,12,6,0,0,0,4,3,1,17,10,0,58.8,41.2,0.0
2012-13,Benton,559,108,8,11,27,40,25,86,581,442,28,76.1,19.1,4.8
2012-13,Chelan,382,85,9,9,11,48,32,69,398,269,20,67.6,27.4,5.0
2012-13,Clallam,128,58,11,1,28,34,15,17,169,71,9,42.0,52.7,5.3
2012-13,Clark,592,259,7,4,28,50,61,196,655,482,23,73.6,22.9,3.5
2012-13,Columbia,3,1,0,0,0,0,0,1,3,3,0,100.0,0.0,0.0
2012-13,Cowlitz,129,38,1,3,7,11,11,32,135,98,4,72.6,24.4,3.0
2012-13,Douglas,197,38,2,1,6,14,12,19,216,173,8,80.1,16.2,3.7
2012-13,Ferry,0,1,0,0,0,0,0,1,0,0,0,n/a,n/a,n/a
2012-13,Franklin,749,136,35,25,35,64,40,71,814,578,37,71.0,24.4,4.5
2012-13,Garfield,1,3,0,0,0,0,0,4,0,0,0,n/a,n/a,n/a
2012-13,Grant,605,157,29,21,40,63,31,89,673,472,17,70.1,27.3,2.5
2012-13,Grays Harbor,97,28,3,3,6,15,10,21,104,60,7,57.7,35.6,6.7
2012-13,Island,45,27,0,0,1,6,1,18,54,43,3,79.6,14.8,5.6
2012-13,Jefferson,9,8,1,0,0,1,0,5,12,9,1,75.0,16.7,8.3
2012-13,King,2358,696,66,78,128,208,210,541,2513,1647,176,65.5,27.5,7.0
2012-13,Kitsap,244,70,5,4,8,11,11,44,270,221,10,81.9,14.4,3.7
2012-13,Kittitas,46,13,0,1,3,5,3,11,48,34,2,70.8,25.0,4.2
2012-13,Klickitat,43,21,1,2,3,4,1,16,48,37,0,77.1,22.9,0.0
2012-13,Lewis,138,48,2,4,5,37,22,28,158,85,3,53.8,44.3,1.9
2012-13,Lincoln,4,9,1,0,0,0,0,5,8,7,0,87.5,12.5,0.0
2012-13,Mason,56,10,3,3,0,4,4,5,61,44,3,72.1,23.0,4.9
2012-13,Okanogan,159,48,2,2,10,12,20,21,186,135,5,72.6,24.7,2.7
2012-13,Pacific,47,20,0,0,9,14,2,15,52,27,0,51.9,48.1,0.0
2012-13,Pend Oreille,8,2,0,0,0,0,0,3,7,6,1,85.7,0.0,14.3
2012-13,Pierce,1041,300,21,23,61,90,57,284,1057,754,51,71.3,23.8,4.8
2012-13,San Juan,10,4,0,0,1,0,1,1,13,11,0,84.6,15.4,0.0
2012-13,Skagit,336,91,12,5,16,56,32,62,365,223,21,61.1,33.2,5.8
2012-13,Skamania,13,1,2,3,1,0,0,3,11,5,0,45.5,54.5,0.0
2012-13,Snohomish,952,223,13,6,30,94,66,229,946,674,63,71.2,22.1,6.7
2012-13,Spokane,314,102,4,5,14,30,17,63,353,272,11,77.1,19.8,3.1
2012-13,Stevens,36,36,0,2,6,14,6,13,59,28,3,47.5,47.5,5.1
2012-13,Thurston,276,88,6,2,10,30,25,69,295,214,8,72.5,24.7,2.7
2012-13,Wahkiakum,0,1,0,0,0,0,0,1,0,0,0,n/a,n/a,n/a
2012-13,Walla Walla,220,57,0,2,4,13,13,45,232,188,12,81.0,13.8,5.2
2012-13,Whatcom,241,72,8,8,12,31,16,60,253,169,9,66.8,29.6,3.6
2012-13,Whitman,15,5,0,1,0,1,1,6,14,11,0,78.6,21.4,0.0
2012-13,Yakima,2078,521,58,62,117,193,160,301,2298,1643,65,71.5,25.7,2.8
