SchoolYear,County,Adjusted Cohort,Began Grade 9 in Washington,Transferred Into Washington,Transferred Out,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2012-13,Adams,13,10,0,0,1,4,2,6,17,10,0,58.8,41.2,0.0
2012-13,Asotin,28,22,0,1,6,4,14,6,44,14,5,31.8,56.8,11.4
2012-13,Benton,66,23,0,0,3,12,14,9,80,45,6,56.3,36.3,7.5
2012-13,Chelan,60,28,0,1,5,9,17,7,81,43,6,53.1,39.5,7.4
2012-13,Clallam,55,24,0,1,16,15,16,6,73,15,10,20.5,65.8,13.7
2012-13,Clark,201,73,0,1,13,32,32,45,229,134,17,58.5,34.1,7.4
2012-13,Columbia,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,Cowlitz,46,10,0,0,3,9,4,7,49,31,2,63.3,32.7,4.1
2012-13,Douglas,21,7,0,0,1,3,2,1,27,18,3,66.7,22.2,11.1
2012-13,Ferry,0,2,0,0,1,0,1,0,2,0,0,0.0,100.0,0.0
2012-13,Franklin,46,17,0,1,2,8,8,7,56,28,9,50.0,33.9,16.1
2012-13,Garfield,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,Grant,58,35,0,2,5,6,9,13,80,52,6,65.0,27.5,7.5
2012-13,Grays Harbor,127,34,0,2,8,24,29,8,153,78,12,51.0,41.2,7.8
2012-13,Island,40,17,0,0,2,8,5,8,49,31,3,63.3,30.6,6.1
2012-13,Jefferson,7,4,0,0,0,2,2,1,10,5,1,50.0,40.0,10.0
2012-13,King,520,187,0,16,42,93,86,111,596,292,67,49.0,39.8,11.2
2012-13,Kitsap,114,39,0,0,5,11,30,18,135,66,23,48.9,34.1,17.0
2012-13,Kittitas,6,2,0,0,2,0,2,2,6,1,1,16.7,66.7,16.7
2012-13,Klickitat,19,6,0,0,1,6,4,1,24,13,0,54.2,45.8,0.0
2012-13,Lewis,87,22,0,2,1,22,15,14,95,48,7,50.5,42.1,7.4
2012-13,Lincoln,6,0,0,0,0,1,0,1,5,4,0,80.0,20.0,0.0
2012-13,Mason,71,21,0,0,1,13,9,15,77,49,5,63.6,29.9,6.5
2012-13,Okanogan,31,8,0,0,3,3,8,2,37,21,2,56.8,37.8,5.4
2012-13,Pacific,31,14,0,0,2,13,5,8,37,16,1,43.2,54.1,2.7
2012-13,Pend Oreille,20,11,0,0,1,3,1,3,28,23,0,82.1,17.9,0.0
2012-13,Pierce,393,117,0,5,23,73,57,79,431,240,33,55.7,36.7,7.7
2012-13,San Juan,3,2,0,0,0,2,1,0,5,2,0,40.0,60.0,0.0
2012-13,Skagit,78,16,0,2,6,12,15,10,84,42,7,50.0,41.7,8.3
2012-13,Skamania,2,0,0,0,0,0,0,0,2,1,1,50.0,0.0,50.0
2012-13,Snohomish,304,94,0,2,19,50,47,69,329,188,23,57.1,35.9,7.0
2012-13,Spokane,350,90,0,1,21,45,46,31,409,274,22,67.0,27.6,5.4
2012-13,Stevens,50,21,0,1,5,12,6,9,62,35,3,56.5,38.7,4.8
2012-13,Thurston,158,51,0,3,6,36,32,30,179,90,12,50.3,43.0,6.7
2012-13,Wahkiakum,5,0,0,0,0,0,0,0,5,5,0,100.0,0.0,0.0
2012-13,Walla Walla,33,10,0,0,0,8,9,8,35,17,1,48.6,48.6,2.9
2012-13,Whatcom,97,34,0,5,9,22,17,19,112,49,10,43.8,47.3,8.9
2012-13,Whitman,11,4,0,0,1,2,0,2,13,9,1,69.2,23.1,7.7
2012-13,Yakima,150,72,0,8,13,20,30,36,186,100,15,53.8,38.2,8.1
