SchoolYear,County,Adjusted Cohort,Began Grade 9 in Washington,Transferred Into Washington,Transferred Out,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2012-13,Adams,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,Asotin,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,Benton,4,0,0,0,0,0,0,0,4,4,0,100.0,0.0,0.0
2012-13,Chelan,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2012-13,Clallam,11,6,3,0,3,4,0,0,17,5,2,29.4,58.8,11.8
2012-13,Clark,40,28,0,2,1,9,5,8,60,42,1,70.0,28.3,1.7
2012-13,Columbia,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,Cowlitz,3,1,0,0,0,0,0,1,3,3,0,100.0,0.0,0.0
2012-13,Douglas,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,Ferry,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,Franklin,3,2,0,0,1,0,0,0,5,3,1,60.0,20.0,20.0
2012-13,Garfield,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,Grant,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,Grays Harbor,1,1,0,0,1,0,0,0,2,1,0,50.0,50.0,0.0
2012-13,Island,4,0,0,0,0,0,1,1,3,2,0,66.7,33.3,0.0
2012-13,Jefferson,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2012-13,King,222,58,3,2,10,20,16,52,228,164,13,71.9,22.4,5.7
2012-13,Kitsap,32,10,1,1,1,3,3,8,34,23,2,67.6,26.5,5.9
2012-13,Kittitas,0,1,0,0,0,0,0,1,0,0,0,n/a,n/a,n/a
2012-13,Klickitat,2,0,0,0,0,0,0,0,2,2,0,100.0,0.0,0.0
2012-13,Lewis,3,3,0,0,0,0,1,1,5,4,0,80.0,20.0,0.0
2012-13,Lincoln,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,Mason,0,3,0,0,0,0,0,2,1,1,0,100.0,0.0,0.0
2012-13,Okanogan,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,Pacific,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,Pend Oreille,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,Pierce,137,74,6,5,5,28,6,39,172,116,6,67.4,29.1,3.5
2012-13,San Juan,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,Skagit,9,5,0,0,0,2,3,2,12,6,1,50.0,41.7,8.3
2012-13,Skamania,1,0,0,1,0,0,0,0,1,0,0,0.0,100.0,0.0
2012-13,Snohomish,41,18,0,1,5,1,1,9,50,40,2,80.0,16.0,4.0
2012-13,Spokane,21,8,0,1,5,2,4,6,23,10,1,43.5,52.2,4.3
2012-13,Stevens,0,1,0,0,0,1,0,0,1,0,0,0.0,100.0,0.0
2012-13,Thurston,26,12,0,0,0,2,2,5,33,29,0,87.9,12.1,0.0
2012-13,Wahkiakum,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,Walla Walla,3,0,0,0,0,0,0,1,2,2,0,100.0,0.0,0.0
2012-13,Whatcom,8,1,1,0,0,0,0,3,6,5,0,83.3,16.7,0.0
2012-13,Whitman,3,0,0,0,0,0,0,0,3,3,0,100.0,0.0,0.0
2012-13,Yakima,2,0,0,0,1,0,1,0,2,0,0,0.0,100.0,0.0
