SchoolYear,County,Adjusted Cohort,Began Grade 9 in Washington,Transferred Into Washington,Transferred Out,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2012-13,Adams,5,4,0,0,0,1,1,3,6,4,0,66.7,33.3,0.0
2012-13,Asotin,4,0,0,0,0,0,0,1,3,3,0,100.0,0.0,0.0
2012-13,Benton,47,1,0,1,0,2,4,1,47,38,2,80.9,14.9,4.3
2012-13,Chelan,19,2,0,1,2,2,1,1,20,14,0,70.0,30.0,0.0
2012-13,Clallam,63,14,0,2,7,10,7,5,72,37,9,51.4,36.1,12.5
2012-13,Clark,195,12,0,1,4,9,7,21,186,158,7,84.9,11.3,3.8
2012-13,Columbia,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,Cowlitz,36,3,0,0,1,2,2,2,37,27,5,73.0,13.5,13.5
2012-13,Douglas,12,2,0,0,0,1,2,0,14,11,0,78.6,21.4,0.0
2012-13,Ferry,9,0,0,0,0,0,0,0,9,9,0,100.0,0.0,0.0
2012-13,Franklin,8,0,0,0,0,0,1,0,8,7,0,87.5,12.5,0.0
2012-13,Garfield,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,Grant,21,5,0,1,0,4,1,2,24,18,0,75.0,25.0,0.0
2012-13,Grays Harbor,29,3,0,1,1,4,0,3,29,21,2,72.4,20.7,6.9
2012-13,Island,14,0,0,0,0,2,0,0,14,12,0,85.7,14.3,0.0
2012-13,Jefferson,7,1,0,0,1,2,1,0,8,3,1,37.5,50.0,12.5
2012-13,King,966,75,0,5,10,50,43,70,971,815,48,83.9,11.1,4.9
2012-13,Kitsap,127,11,0,0,2,5,5,8,130,113,5,86.9,9.2,3.8
2012-13,Kittitas,10,1,0,0,0,1,0,1,10,8,1,80.0,10.0,10.0
2012-13,Klickitat,5,1,0,0,0,0,0,2,4,4,0,100.0,0.0,0.0
2012-13,Lewis,17,3,0,0,0,2,3,2,18,13,0,72.2,27.8,0.0
2012-13,Lincoln,12,1,0,0,0,1,0,1,12,11,0,91.7,8.3,0.0
2012-13,Mason,38,3,0,0,0,2,2,3,38,32,2,84.2,10.5,5.3
2012-13,Okanogan,10,0,0,0,1,1,1,1,9,6,0,66.7,33.3,0.0
2012-13,Pacific,9,2,0,0,1,2,0,0,11,8,0,72.7,27.3,0.0
2012-13,Pend Oreille,13,1,0,0,0,1,0,1,13,12,0,92.3,7.7,0.0
2012-13,Pierce,303,43,0,1,5,17,9,37,309,260,17,84.1,10.4,5.5
2012-13,San Juan,3,1,0,0,0,0,0,0,4,4,0,100.0,0.0,0.0
2012-13,Skagit,46,4,0,0,1,4,4,6,44,34,1,77.3,20.5,2.3
2012-13,Skamania,4,2,0,0,1,0,0,1,5,3,1,60.0,20.0,20.0
2012-13,Snohomish,371,28,0,0,7,24,13,44,355,287,24,80.8,12.4,6.8
2012-13,Spokane,152,16,0,3,5,12,9,8,160,126,5,78.8,18.1,3.1
2012-13,Stevens,15,0,0,1,1,4,1,2,13,5,1,38.5,53.8,7.7
2012-13,Thurston,119,8,0,1,2,13,7,9,118,94,1,79.7,19.5,0.8
2012-13,Wahkiakum,3,0,0,0,1,0,1,0,3,1,0,33.3,66.7,0.0
2012-13,Walla Walla,7,0,0,0,0,0,1,0,7,5,1,71.4,14.3,14.3
2012-13,Whatcom,67,10,0,1,0,2,4,6,71,60,4,84.5,9.9,5.6
2012-13,Whitman,20,2,0,0,0,2,2,3,19,15,0,78.9,21.1,0.0
2012-13,Yakima,59,11,0,0,3,7,1,10,60,47,2,78.3,18.3,3.3
