SchoolYear,County,Adjusted Cohort,Began Grade 9 in Washington,Transferred Into Washington,Transferred Out,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2012-13,Adams,33,7,0,1,4,10,0,6,34,18,1,52.9,44.1,2.9
2012-13,Asotin,44,19,0,3,3,3,11,8,55,31,4,56.4,36.4,7.3
2012-13,Benton,241,42,2,4,17,12,21,29,254,170,28,66.9,22.0,11.0
2012-13,Chelan,78,13,0,4,4,13,16,7,84,44,3,52.4,44.0,3.6
2012-13,Clallam,175,41,3,8,37,31,14,14,202,82,27,40.6,46.0,13.4
2012-13,Clark,665,161,5,9,30,62,46,146,680,462,66,67.9,22.4,9.7
2012-13,Columbia,2,0,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
2012-13,Cowlitz,169,34,3,2,12,14,8,36,167,108,20,64.7,23.4,12.0
2012-13,Douglas,64,8,1,0,0,5,2,4,68,54,6,79.4,11.8,8.8
2012-13,Ferry,6,0,1,0,0,0,0,1,5,4,0,80.0,20.0,0.0
2012-13,Franklin,107,18,5,4,2,12,12,8,117,69,13,59.0,29.9,11.1
2012-13,Garfield,3,0,0,0,0,0,0,0,3,3,0,100.0,0.0,0.0
2012-13,Grant,144,42,4,3,10,22,13,23,163,94,17,57.7,31.9,10.4
2012-13,Grays Harbor,104,17,1,2,7,10,16,13,108,62,10,57.4,33.3,9.3
2012-13,Island,54,26,0,0,1,3,3,12,68,48,13,70.6,10.3,19.1
2012-13,Jefferson,27,8,0,0,2,2,3,5,30,23,0,76.7,23.3,0.0
2012-13,King,2305,294,30,51,100,182,164,317,2282,1417,338,62.1,23.1,14.8
2012-13,Kitsap,325,54,5,1,16,27,34,40,339,209,47,61.7,24.5,13.9
2012-13,Kittitas,30,13,1,0,3,3,3,5,38,21,7,55.3,26.3,18.4
2012-13,Klickitat,33,10,0,1,2,4,1,9,34,26,0,76.5,23.5,0.0
2012-13,Lewis,138,44,1,6,7,35,22,19,163,81,11,49.7,43.6,6.7
2012-13,Lincoln,17,3,0,0,0,0,0,5,15,13,2,86.7,0.0,13.3
2012-13,Mason,94,10,0,0,1,9,8,18,86,59,9,68.6,20.9,10.5
2012-13,Okanogan,71,10,1,0,7,5,10,16,65,39,3,60.0,35.4,4.6
2012-13,Pacific,44,18,0,1,4,16,5,10,52,25,1,48.1,50.0,1.9
2012-13,Pend Oreille,12,3,0,1,1,0,0,2,13,10,1,76.9,15.4,7.7
2012-13,Pierce,1171,251,25,30,62,100,74,243,1179,736,152,62.4,24.7,12.9
2012-13,San Juan,17,0,0,0,1,1,0,0,17,15,0,88.2,11.8,0.0
2012-13,Skagit,192,22,2,3,9,21,22,23,191,114,20,59.7,29.8,10.5
2012-13,Skamania,9,2,1,1,3,1,0,1,10,3,1,30.0,60.0,10.0
2012-13,Snohomish,988,107,8,16,41,89,78,160,935,586,117,62.7,24.8,12.5
2012-13,Spokane,662,93,14,9,34,49,33,88,667,455,73,68.2,20.8,10.9
2012-13,Stevens,76,25,0,0,10,15,7,14,87,51,4,58.6,36.8,4.6
2012-13,Thurston,309,63,1,5,6,41,33,58,314,192,36,61.1,27.4,11.5
2012-13,Wahkiakum,9,0,0,0,0,0,1,0,9,6,2,66.7,11.1,22.2
2012-13,Walla Walla,80,9,0,0,1,11,1,9,80,56,11,70.0,16.3,13.8
2012-13,Whatcom,240,32,5,4,18,27,16,35,237,131,36,55.3,29.5,15.2
2012-13,Whitman,41,2,0,0,1,3,0,6,37,30,3,81.1,10.8,8.1
2012-13,Yakima,365,69,6,13,18,41,36,54,380,235,31,61.8,30.0,8.2
