SchoolYear,County,Adjusted Cohort,Began Grade 9 in Washington,Transferred Into Washington,Transferred Out,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2012-13,Adams,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,Asotin,6,1,0,1,1,0,1,0,7,3,1,42.9,42.9,14.3
2012-13,Benton,32,7,0,0,1,3,1,6,33,27,1,81.8,15.2,3.0
2012-13,Chelan,32,1,0,0,0,1,0,3,30,29,0,96.7,3.3,0.0
2012-13,Clallam,76,44,9,24,5,12,7,11,109,49,3,45.0,52.3,2.8
2012-13,Clark,232,59,4,3,4,18,23,49,242,186,4,76.9,21.5,1.7
2012-13,Columbia,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,Cowlitz,72,9,1,0,3,4,2,14,67,50,7,74.6,14.9,10.4
2012-13,Douglas,9,3,0,0,0,1,0,3,9,8,0,88.9,11.1,0.0
2012-13,Ferry,4,0,0,0,0,0,0,0,4,4,0,100.0,0.0,0.0
2012-13,Franklin,4,1,0,0,0,0,1,1,4,3,0,75.0,25.0,0.0
2012-13,Garfield,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2012-13,Grant,31,1,0,0,2,1,1,1,31,25,2,80.6,12.9,6.5
2012-13,Grays Harbor,48,6,0,0,4,5,2,5,49,36,2,73.5,22.4,4.1
2012-13,Island,11,12,0,0,0,0,1,6,17,16,0,94.1,5.9,0.0
2012-13,Jefferson,7,2,0,0,0,2,0,0,9,7,0,77.8,22.2,0.0
2012-13,King,862,136,2,14,22,54,45,102,896,707,52,78.9,15.3,5.8
2012-13,Kitsap,234,39,6,0,4,12,19,17,256,204,11,79.7,16.0,4.3
2012-13,Kittitas,1,1,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
2012-13,Klickitat,15,5,0,1,0,1,0,2,18,16,0,88.9,11.1,0.0
2012-13,Lewis,46,10,0,2,1,7,4,8,48,33,1,68.8,29.2,2.1
2012-13,Lincoln,7,1,0,0,0,0,0,0,8,8,0,100.0,0.0,0.0
2012-13,Mason,50,4,0,0,2,5,2,2,52,41,2,78.8,17.3,3.8
2012-13,Okanogan,16,2,0,0,0,1,1,1,17,14,1,82.4,11.8,5.9
2012-13,Pacific,12,3,0,0,1,1,1,0,15,11,1,73.3,20.0,6.7
2012-13,Pend Oreille,7,0,0,0,0,1,0,0,7,6,0,85.7,14.3,0.0
2012-13,Pierce,644,106,3,1,18,55,21,80,670,545,27,81.3,14.6,4.0
2012-13,San Juan,2,2,0,0,0,0,0,1,3,3,0,100.0,0.0,0.0
2012-13,Skagit,23,9,0,0,1,6,2,4,28,16,3,57.1,32.1,10.7
2012-13,Skamania,7,3,1,1,3,0,1,2,8,2,0,25.0,75.0,0.0
2012-13,Snohomish,429,58,1,1,11,33,23,53,434,347,18,80.0,15.9,4.1
2012-13,Spokane,305,52,1,1,8,23,14,34,323,266,10,82.4,14.6,3.1
2012-13,Stevens,32,7,0,1,0,6,1,5,34,26,0,76.5,23.5,0.0
2012-13,Thurston,172,32,1,0,2,13,12,23,181,149,4,82.3,15.5,2.2
2012-13,Wahkiakum,2,0,0,0,0,0,1,0,2,1,0,50.0,50.0,0.0
2012-13,Walla Walla,16,3,0,0,0,1,2,3,16,13,0,81.3,18.8,0.0
2012-13,Whatcom,52,4,0,0,2,7,1,6,50,38,2,76.0,20.0,4.0
2012-13,Whitman,12,1,0,0,0,0,0,2,11,11,0,100.0,0.0,0.0
2012-13,Yakima,72,8,0,1,3,9,8,10,70,48,1,68.6,30.0,1.4
