SchoolYear,County,Began Grade 9 in Washington,Transferred Into Washington,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2013-14,Adams,296,30,8,5,9,25,6,40,286,227,6,79.4,18.5,2.1
2013-14,Asotin,246,69,2,8,13,24,17,40,275,192,19,69.8,23.3,6.9
2013-14,Benton,2420,407,13,15,69,141,112,337,2490,2068,72,83.1,14.1,2.9
2013-14,Chelan,1079,151,17,16,46,105,51,119,1111,830,46,74.7,21.2,4.1
2013-14,Clallam,1429,353,37,134,179,204,131,185,1597,805,107,50.4,42.9,6.7
2013-14,Clark,6107,1140,12,58,148,337,309,1102,6145,5099,182,83.0,14.1,3.0
2013-14,Columbia,36,13,0,0,2,0,0,22,27,24,1,88.9,7.4,3.7
2013-14,Cowlitz,1392,208,4,13,44,77,77,247,1353,1094,44,80.9,15.9,3.3
2013-14,Douglas,531,71,9,7,11,50,22,49,553,443,11,80.1,17.9,2.0
2013-14,Ferry,69,15,2,2,1,7,2,21,63,48,1,76.2,22.2,1.6
2013-14,Franklin,1182,193,23,22,32,74,80,142,1233,955,47,77.5,18.7,3.8
2013-14,Garfield,26,6,0,0,0,2,0,5,27,24,1,88.9,7.4,3.7
2013-14,Grant,1237,281,18,30,57,100,69,183,1335,1020,41,76.4,20.5,3.1
2013-14,Grays Harbor,794,105,5,12,25,59,52,117,782,608,21,77.7,19.6,2.7
2013-14,Island,648,147,2,4,8,36,18,172,623,531,24,85.2,10.9,3.9
2013-14,Jefferson,226,53,0,2,7,12,20,46,233,184,8,79.0,17.6,3.4
2013-14,King,19495,3431,183,196,431,1089,932,2719,20207,16458,918,81.4,14.0,4.5
2013-14,Kitsap,2877,483,12,29,52,121,130,422,2938,2532,62,86.2,11.7,2.1
2013-14,Kittitas,367,56,6,4,13,39,12,43,380,298,8,78.4,19.5,2.1
2013-14,Klickitat,248,155,2,25,7,10,10,119,283,224,5,79.2,19.1,1.8
2013-14,Lewis,1028,166,5,17,39,88,73,140,1054,786,46,74.6,21.1,4.4
2013-14,Lincoln,143,26,2,2,6,5,0,29,140,123,2,87.9,10.7,1.4
2013-14,Mason,576,83,5,10,9,35,28,85,574,463,24,80.7,15.2,4.2
2013-14,Okanogan,522,132,12,14,27,48,29,128,526,382,14,72.6,24.7,2.7
2013-14,Pacific,296,65,2,5,31,24,17,77,284,200,5,70.4,27.8,1.8
2013-14,Pend Oreille,121,47,1,1,3,5,3,29,139,124,2,89.2,9.4,1.4
2013-14,Pierce,9364,1669,77,125,297,593,317,1920,9112,7381,322,81.0,15.5,3.5
2013-14,San Juan,136,43,3,1,1,6,5,29,150,132,2,88.0,10.7,1.3
2013-14,Skagit,1598,229,8,30,60,149,118,246,1581,1129,87,71.4,23.1,5.5
2013-14,Skamania,112,25,6,16,4,7,3,33,104,64,4,61.5,34.6,3.8
2013-14,Snohomish,8556,1137,35,72,162,371,506,1288,8405,6830,429,81.3,13.6,5.1
2013-14,Spokane,5577,851,41,72,182,263,220,778,5650,4722,150,83.6,13.8,2.7
2013-14,Stevens,607,196,8,21,50,73,55,151,652,409,36,62.7,31.7,5.5
2013-14,Thurston,3132,545,6,16,76,233,221,561,3116,2441,123,78.3,17.7,3.9
2013-14,Wahkiakum,41,11,0,1,0,2,1,14,38,31,3,81.6,10.5,7.9
2013-14,Walla Walla,698,200,2,5,8,39,45,181,717,591,27,82.4,13.8,3.8
2013-14,Whatcom,2109,274,17,40,59,132,96,319,2064,1641,79,79.5,16.7,3.8
2013-14,Whitman,326,55,0,2,3,24,2,65,316,283,2,89.6,9.8,0.6
2013-14,Yakima,3111,1069,54,66,164,302,213,519,3661,2687,175,73.4,21.8,4.8
