SchoolYear,County,Began Grade 9 in Washington,Transferred Into Washington,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2013-14,Adams,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2013-14,Asotin,3,4,0,0,1,0,0,1,6,3,2,50.0,16.7,33.3
2013-14,Benton,15,1,0,0,1,1,1,2,14,11,0,78.6,21.4,0.0
2013-14,Chelan,7,2,0,0,1,1,1,1,8,3,2,37.5,37.5,25.0
2013-14,Clallam,58,11,1,5,6,11,4,6,63,35,1,55.6,42.9,1.6
2013-14,Clark,42,10,1,0,4,4,6,15,37,21,1,56.8,40.5,2.7
2013-14,Columbia,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,Cowlitz,30,3,0,0,0,4,0,4,29,24,1,82.8,13.8,3.4
2013-14,Douglas,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,Ferry,5,2,0,0,0,3,1,2,5,1,0,20.0,80.0,0.0
2013-14,Franklin,3,1,0,0,0,0,0,2,2,2,0,100.0,0.0,0.0
2013-14,Garfield,0,1,0,0,0,1,0,0,1,0,0,0.0,100.0,0.0
2013-14,Grant,31,3,0,0,3,4,0,5,29,21,1,72.4,24.1,3.4
2013-14,Grays Harbor,45,3,0,0,2,8,6,5,43,23,4,53.5,37.2,9.3
2013-14,Island,6,2,0,1,0,1,1,1,7,4,0,57.1,42.9,0.0
2013-14,Jefferson,3,1,0,0,0,0,0,2,2,2,0,100.0,0.0,0.0
2013-14,King,227,41,4,9,19,33,12,43,225,133,15,59.1,34.2,6.7
2013-14,Kitsap,47,7,1,3,2,5,3,9,45,27,4,60.0,31.1,8.9
2013-14,Kittitas,7,1,1,0,0,2,0,1,7,4,0,57.1,42.9,0.0
2013-14,Klickitat,5,2,0,0,0,1,0,2,5,4,0,80.0,20.0,0.0
2013-14,Lewis,12,4,0,1,1,1,3,7,9,2,1,22.2,66.7,11.1
2013-14,Lincoln,8,0,1,0,0,0,0,0,8,7,0,87.5,12.5,0.0
2013-14,Mason,16,2,1,1,0,1,1,2,16,10,2,62.5,25.0,12.5
2013-14,Okanogan,33,5,0,1,0,5,3,4,34,24,1,70.6,26.5,2.9
2013-14,Pacific,6,1,0,0,2,0,0,1,6,4,0,66.7,33.3,0.0
2013-14,Pend Oreille,6,2,0,0,0,0,0,1,7,7,0,100.0,0.0,0.0
2013-14,Pierce,156,49,4,6,6,44,10,29,176,92,14,52.3,39.8,8.0
2013-14,San Juan,1,2,0,1,0,0,0,0,3,2,0,66.7,33.3,0.0
2013-14,Skagit,29,7,0,0,1,6,1,3,33,24,1,72.7,24.2,3.0
2013-14,Skamania,3,1,0,1,0,0,0,1,3,1,1,33.3,33.3,33.3
2013-14,Snohomish,124,17,0,3,7,9,19,25,116,64,14,55.2,32.8,12.1
2013-14,Spokane,74,13,2,3,5,6,6,14,73,48,3,65.8,30.1,4.1
2013-14,Stevens,61,23,2,3,8,8,11,6,78,42,4,53.8,41.0,5.1
2013-14,Thurston,48,10,0,0,4,2,12,5,53,30,5,56.6,34.0,9.4
2013-14,Wahkiakum,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,Walla Walla,0,2,0,0,0,0,0,2,0,0,0,n/a,n/a,n/a
2013-14,Whatcom,72,10,2,3,4,8,7,14,68,42,2,61.8,35.3,2.9
2013-14,Whitman,5,2,0,0,0,0,0,7,0,0,0,n/a,n/a,n/a
2013-14,Yakima,94,28,4,1,9,13,17,13,109,48,17,44.0,40.4,15.6
