SchoolYear,County,Began Grade 9 in Washington,Transferred Into Washington,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2013-14,Adams,1,1,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
2013-14,Asotin,2,0,0,0,0,0,0,0,2,2,0,100.0,0.0,0.0
2013-14,Benton,66,13,0,2,2,3,1,17,62,54,0,87.1,12.9,0.0
2013-14,Chelan,6,1,0,0,0,0,0,1,6,5,1,83.3,0.0,16.7
2013-14,Clallam,35,7,1,2,5,5,2,5,37,15,7,40.5,40.5,18.9
2013-14,Clark,290,61,0,2,3,3,2,60,291,277,4,95.2,3.4,1.4
2013-14,Columbia,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,Cowlitz,25,6,0,0,1,1,0,9,22,19,1,86.4,9.1,4.5
2013-14,Douglas,0,3,0,0,0,0,0,3,0,0,0,n/a,n/a,n/a
2013-14,Ferry,1,1,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
2013-14,Franklin,18,3,1,1,1,2,0,1,20,13,2,65.0,25.0,10.0
2013-14,Garfield,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,Grant,9,17,1,0,0,1,0,17,9,7,0,77.8,22.2,0.0
2013-14,Grays Harbor,13,7,1,1,0,1,1,4,16,12,0,75.0,25.0,0.0
2013-14,Island,74,10,0,0,1,3,3,10,74,65,2,87.8,9.5,2.7
2013-14,Jefferson,8,2,0,0,0,0,0,2,8,8,0,100.0,0.0,0.0
2013-14,King,3129,648,25,38,36,117,95,331,3446,2996,139,86.9,9.0,4.0
2013-14,Kitsap,123,29,0,0,1,0,2,22,130,125,2,96.2,2.3,1.5
2013-14,Kittitas,5,6,0,0,0,0,1,4,7,6,0,85.7,14.3,0.0
2013-14,Klickitat,2,15,0,3,0,0,0,13,4,1,0,25.0,75.0,0.0
2013-14,Lewis,9,2,0,0,0,0,0,2,9,9,0,100.0,0.0,0.0
2013-14,Lincoln,0,1,0,0,0,0,0,1,0,0,0,n/a,n/a,n/a
2013-14,Mason,2,3,1,0,0,0,0,3,2,1,0,50.0,50.0,0.0
2013-14,Okanogan,4,7,0,0,0,0,0,9,2,2,0,100.0,0.0,0.0
2013-14,Pacific,6,2,0,0,0,1,0,2,6,5,0,83.3,16.7,0.0
2013-14,Pend Oreille,1,8,0,0,0,0,0,5,4,4,0,100.0,0.0,0.0
2013-14,Pierce,593,152,8,7,11,26,18,107,638,551,17,86.4,11.0,2.7
2013-14,San Juan,1,2,0,0,0,0,0,0,3,3,0,100.0,0.0,0.0
2013-14,Skagit,30,13,0,0,0,2,1,13,30,26,1,86.7,10.0,3.3
2013-14,Skamania,2,3,0,1,0,0,0,3,2,1,0,50.0,50.0,0.0
2013-14,Snohomish,698,123,5,3,2,16,19,92,729,669,15,91.8,6.2,2.1
2013-14,Spokane,98,47,3,4,6,5,2,27,118,93,5,78.8,16.9,4.2
2013-14,Stevens,2,7,0,0,0,0,1,8,1,0,0,0.0,100.0,0.0
2013-14,Thurston,183,48,0,1,2,9,6,38,193,172,3,89.1,9.3,1.6
2013-14,Wahkiakum,0,2,0,0,0,0,0,2,0,0,0,n/a,n/a,n/a
2013-14,Walla Walla,5,6,0,0,0,0,0,7,4,4,0,100.0,0.0,0.0
2013-14,Whatcom,72,21,1,1,0,3,2,13,80,71,2,88.8,8.8,2.5
2013-14,Whitman,9,9,0,0,0,0,0,8,10,10,0,100.0,0.0,0.0
2013-14,Yakima,30,12,0,0,0,2,1,8,34,30,1,88.2,8.8,2.9
