SchoolYear,County,Began Grade 9 in Washington,Transferred Into Washington,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2013-14,Adams,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,Asotin,3,0,0,0,0,1,0,0,3,2,0,66.7,33.3,0.0
2013-14,Benton,52,12,0,1,4,3,0,9,55,44,3,80.0,14.5,5.5
2013-14,Chelan,8,3,0,0,0,3,0,2,9,6,0,66.7,33.3,0.0
2013-14,Clallam,50,19,0,13,11,14,3,6,63,16,6,25.4,65.1,9.5
2013-14,Clark,160,55,3,2,4,16,11,48,167,125,6,74.9,21.6,3.6
2013-14,Columbia,0,1,0,0,0,0,0,1,0,0,0,n/a,n/a,n/a
2013-14,Cowlitz,16,2,0,0,1,1,3,2,16,11,0,68.8,31.3,0.0
2013-14,Douglas,2,0,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
2013-14,Ferry,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,Franklin,33,6,1,0,0,0,4,5,34,29,0,85.3,14.7,0.0
2013-14,Garfield,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,Grant,6,5,0,1,0,3,0,1,10,5,1,50.0,40.0,10.0
2013-14,Grays Harbor,4,3,0,0,1,0,0,4,3,2,0,66.7,33.3,0.0
2013-14,Island,29,11,1,0,0,1,0,9,31,24,5,77.4,6.5,16.1
2013-14,Jefferson,5,1,0,0,0,0,1,1,5,4,0,80.0,20.0,0.0
2013-14,King,1676,451,25,24,57,136,145,320,1807,1281,139,70.9,21.4,7.7
2013-14,Kitsap,64,28,2,0,0,7,5,19,73,57,2,78.1,19.2,2.7
2013-14,Kittitas,6,3,0,1,0,4,0,2,7,2,0,28.6,71.4,0.0
2013-14,Klickitat,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,Lewis,26,11,0,1,1,4,4,6,31,11,10,35.5,32.3,32.3
2013-14,Lincoln,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,Mason,5,1,0,0,0,0,0,0,6,6,0,100.0,0.0,0.0
2013-14,Okanogan,5,0,0,0,1,0,0,0,5,4,0,80.0,20.0,0.0
2013-14,Pacific,7,2,0,0,1,1,1,5,4,1,0,25.0,75.0,0.0
2013-14,Pend Oreille,0,1,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2013-14,Pierce,951,232,11,16,26,77,32,321,862,653,47,75.8,18.8,5.5
2013-14,San Juan,2,0,0,0,0,0,0,0,2,2,0,100.0,0.0,0.0
2013-14,Skagit,27,11,0,1,3,1,3,5,33,17,8,51.5,24.2,24.2
2013-14,Skamania,1,1,0,1,0,1,0,0,2,0,0,0.0,100.0,0.0
2013-14,Snohomish,273,64,1,5,5,13,28,46,291,211,28,72.5,17.9,9.6
2013-14,Spokane,111,30,1,3,6,9,6,26,115,87,3,75.7,21.7,2.6
2013-14,Stevens,15,6,0,1,1,7,4,3,18,5,0,27.8,72.2,0.0
2013-14,Thurston,127,32,1,1,1,11,10,31,128,99,5,77.3,18.8,3.9
2013-14,Wahkiakum,2,0,0,0,0,0,0,0,2,2,0,100.0,0.0,0.0
2013-14,Walla Walla,6,7,0,0,0,0,0,6,7,7,0,100.0,0.0,0.0
2013-14,Whatcom,24,4,0,2,2,2,0,9,19,10,3,52.6,31.6,15.8
2013-14,Whitman,6,1,0,0,1,0,0,0,7,6,0,85.7,14.3,0.0
2013-14,Yakima,22,9,1,1,3,5,3,6,25,12,0,48.0,52.0,0.0
