SchoolYear,County,Began Grade 9 in Washington,Transferred Into Washington,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2013-14,Adams,140,20,5,2,3,11,3,19,141,113,4,80.1,17.0,2.8
2013-14,Asotin,113,40,1,5,6,12,8,19,134,93,9,69.4,23.9,6.7
2013-14,Benton,1182,222,2,6,32,53,45,179,1225,1060,27,86.5,11.3,2.2
2013-14,Chelan,509,67,4,7,20,40,26,42,534,420,17,78.7,18.2,3.2
2013-14,Clallam,789,204,25,78,103,116,66,111,882,444,50,50.3,44.0,5.7
2013-14,Clark,3070,602,8,29,68,138,123,589,3083,2641,76,85.7,11.9,2.5
2013-14,Columbia,14,8,0,0,1,0,0,13,9,7,1,77.8,11.1,11.1
2013-14,Cowlitz,693,106,0,5,16,35,34,106,693,588,15,84.8,13.0,2.2
2013-14,Douglas,263,37,6,4,4,19,10,22,278,231,4,83.1,15.5,1.4
2013-14,Ferry,34,4,2,0,0,5,1,8,30,22,0,73.3,26.7,0.0
2013-14,Franklin,605,95,14,11,13,32,25,71,629,516,18,82.0,15.1,2.9
2013-14,Garfield,8,2,0,0,0,1,0,2,8,7,0,87.5,12.5,0.0
2013-14,Grant,617,134,4,11,24,46,30,95,656,522,19,79.6,17.5,2.9
2013-14,Grays Harbor,360,56,4,4,10,22,20,59,357,290,7,81.2,16.8,2.0
2013-14,Island,326,74,1,2,4,14,9,85,315,275,10,87.3,9.5,3.2
2013-14,Jefferson,118,20,0,1,3,5,8,17,121,101,3,83.5,14.0,2.5
2013-14,King,9500,1659,99,84,184,449,365,1262,9897,8360,356,84.5,11.9,3.6
2013-14,Kitsap,1395,247,7,12,22,45,42,221,1421,1271,22,89.4,9.0,1.5
2013-14,Kittitas,170,22,4,1,4,10,2,16,176,152,3,86.4,11.9,1.7
2013-14,Klickitat,123,62,1,6,5,5,2,48,137,118,0,86.1,13.9,0.0
2013-14,Lewis,460,68,3,8,10,31,24,60,468,383,9,81.8,16.2,1.9
2013-14,Lincoln,60,11,0,0,1,2,0,14,57,54,0,94.7,5.3,0.0
2013-14,Mason,275,44,1,6,6,13,10,44,275,228,11,82.9,13.1,4.0
2013-14,Okanogan,270,47,8,9,11,25,13,57,260,188,6,72.3,25.4,2.3
2013-14,Pacific,131,21,1,1,7,4,3,27,125,109,0,87.2,12.8,0.0
2013-14,Pend Oreille,68,20,1,0,0,2,1,12,76,71,1,93.4,5.3,1.3
2013-14,Pierce,4650,831,28,61,131,249,136,920,4561,3831,125,84.0,13.3,2.7
2013-14,San Juan,67,18,1,1,0,4,4,12,73,62,1,84.9,13.7,1.4
2013-14,Skagit,776,119,3,14,29,55,45,130,765,579,40,75.7,19.1,5.2
2013-14,Skamania,50,16,3,9,0,1,1,20,46,31,1,67.4,30.4,2.2
2013-14,Snohomish,4204,591,15,35,58,137,193,653,4142,3538,166,85.4,10.6,4.0
2013-14,Spokane,2750,432,14,32,74,107,91,377,2805,2428,59,86.6,11.3,2.1
2013-14,Stevens,287,81,4,9,24,28,21,70,298,199,13,66.8,28.9,4.4
2013-14,Thurston,1528,270,2,6,38,94,79,258,1540,1279,42,83.1,14.2,2.7
2013-14,Wahkiakum,13,3,0,0,0,0,0,4,12,11,1,91.7,0.0,8.3
2013-14,Walla Walla,352,94,2,4,4,16,19,83,363,308,10,84.8,12.4,2.8
2013-14,Whatcom,1022,146,10,19,27,55,44,170,998,810,33,81.2,15.5,3.3
2013-14,Whitman,155,23,0,0,0,8,0,31,147,138,1,93.9,5.4,0.7
2013-14,Yakima,1554,475,20,31,68,126,88,235,1794,1375,86,76.6,18.6,4.8
