SchoolYear,County,Began Grade 9 in Washington,Transferred Into Washington,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2013-14,Adams,2,0,0,0,1,0,0,0,2,1,0,50.0,50.0,0.0
2013-14,Asotin,2,0,0,0,0,1,0,1,1,0,0,0.0,100.0,0.0
2013-14,Benton,22,2,0,0,2,3,2,4,20,11,2,55.0,35.0,10.0
2013-14,Chelan,15,0,0,0,2,4,1,0,15,7,1,46.7,46.7,6.7
2013-14,Clallam,21,3,0,2,0,6,3,2,22,9,2,40.9,50.0,9.1
2013-14,Clark,91,16,1,3,12,16,9,19,88,37,10,42.0,46.6,11.4
2013-14,Columbia,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2013-14,Cowlitz,11,5,0,0,2,4,1,7,9,2,0,22.2,77.8,0.0
2013-14,Douglas,6,1,0,0,0,2,0,1,6,4,0,66.7,33.3,0.0
2013-14,Ferry,1,0,0,0,0,1,0,0,1,0,0,0.0,100.0,0.0
2013-14,Franklin,11,1,0,1,0,3,1,2,10,3,2,30.0,50.0,20.0
2013-14,Garfield,1,0,0,0,0,0,0,1,0,0,0,n/a,n/a,n/a
2013-14,Grant,8,3,0,0,3,2,0,3,8,3,0,37.5,62.5,0.0
2013-14,Grays Harbor,11,1,0,0,0,0,2,4,8,5,1,62.5,25.0,12.5
2013-14,Island,3,2,0,0,1,1,1,1,4,0,1,0.0,75.0,25.0
2013-14,Jefferson,2,0,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
2013-14,King,145,23,4,1,14,25,18,29,139,57,20,41.0,44.6,14.4
2013-14,Kitsap,32,4,0,1,2,6,4,3,33,18,2,54.5,39.4,6.1
2013-14,Kittitas,5,1,0,0,1,2,0,1,5,2,0,40.0,60.0,0.0
2013-14,Klickitat,3,2,1,0,0,0,0,2,3,2,0,66.7,33.3,0.0
2013-14,Lewis,32,6,0,0,3,6,9,4,34,9,7,26.5,52.9,20.6
2013-14,Lincoln,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,Mason,13,0,0,0,0,2,2,5,8,4,0,50.0,50.0,0.0
2013-14,Okanogan,6,0,0,1,0,2,0,3,3,0,0,0.0,100.0,0.0
2013-14,Pacific,9,3,0,0,4,2,2,2,10,2,0,20.0,80.0,0.0
2013-14,Pend Oreille,2,0,0,0,0,0,0,0,2,1,1,50.0,0.0,50.0
2013-14,Pierce,80,25,2,3,9,11,9,16,89,39,16,43.8,38.2,18.0
2013-14,San Juan,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,Skagit,29,5,1,1,3,5,7,3,31,11,3,35.5,54.8,9.7
2013-14,Skamania,2,0,0,0,0,0,1,0,2,1,0,50.0,50.0,0.0
2013-14,Snohomish,67,7,0,2,4,7,8,12,62,30,11,48.4,33.9,17.7
2013-14,Spokane,58,13,0,1,1,7,10,10,61,32,10,52.5,31.1,16.4
2013-14,Stevens,11,2,0,1,1,4,2,1,12,4,0,33.3,66.7,0.0
2013-14,Thurston,34,7,0,2,1,7,6,5,36,11,9,30.6,44.4,25.0
2013-14,Wahkiakum,1,1,0,0,0,0,1,0,2,0,1,0.0,50.0,50.0
2013-14,Walla Walla,7,1,0,0,0,2,0,1,7,5,0,71.4,28.6,0.0
2013-14,Whatcom,21,2,1,1,3,4,1,4,19,8,1,42.1,52.6,5.3
2013-14,Whitman,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,Yakima,41,9,1,1,3,10,3,9,41,18,5,43.9,43.9,12.2
