SchoolYear,County,Began Grade 9 in Washington,Transferred Into Washington,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2013-14,Adams,223,18,5,4,9,23,5,25,216,166,4,76.9,21.3,1.9
2013-14,Asotin,138,41,1,7,11,15,16,20,159,95,14,59.7,31.4,8.8
2013-14,Benton,1097,187,8,11,53,99,80,154,1130,827,52,73.2,22.2,4.6
2013-14,Chelan,665,88,11,13,38,83,42,83,670,444,39,66.3,27.9,5.8
2013-14,Clallam,846,154,11,73,115,129,103,97,903,392,80,43.4,47.7,8.9
2013-14,Clark,2952,580,10,32,114,245,245,548,2984,2199,139,73.7,21.6,4.7
2013-14,Columbia,14,3,0,0,2,0,0,5,12,10,0,83.3,16.7,0.0
2013-14,Cowlitz,803,111,2,9,32,60,67,153,761,554,37,72.8,22.3,4.9
2013-14,Douglas,335,51,5,5,10,42,20,31,355,263,10,74.1,23.1,2.8
2013-14,Ferry,42,4,0,2,0,5,2,11,35,25,1,71.4,25.7,2.9
2013-14,Franklin,896,149,19,18,30,70,76,109,936,679,44,72.5,22.8,4.7
2013-14,Garfield,13,3,0,0,0,2,0,3,13,10,1,76.9,15.4,7.7
2013-14,Grant,913,196,13,28,54,93,64,105,1004,714,38,71.1,25.1,3.8
2013-14,Grays Harbor,503,69,4,10,21,50,44,76,496,347,20,70.0,26.0,4.0
2013-14,Island,244,61,1,2,5,25,13,66,239,177,16,74.1,19.2,6.7
2013-14,Jefferson,111,22,0,0,4,7,18,21,112,78,5,69.6,25.9,4.5
2013-14,King,7729,1677,100,131,312,709,699,1166,8240,5651,638,68.6,23.7,7.7
2013-14,Kitsap,1146,189,3,18,32,82,110,171,1164,869,50,74.7,21.0,4.3
2013-14,Kittitas,175,23,4,3,6,23,6,25,173,125,6,72.3,24.3,3.5
2013-14,Klickitat,149,40,2,3,6,10,8,23,165,131,5,79.4,17.6,3.0
2013-14,Lewis,699,111,4,14,37,84,71,89,721,465,46,64.5,29.1,6.4
2013-14,Lincoln,71,5,2,0,4,5,0,11,65,53,1,81.5,16.9,1.5
2013-14,Mason,358,47,4,8,8,28,27,53,352,254,23,72.2,21.3,6.5
2013-14,Okanogan,375,60,5,10,20,40,28,72,363,249,11,68.6,28.4,3.0
2013-14,Pacific,205,37,2,4,22,22,17,55,187,116,4,62.0,35.8,2.1
2013-14,Pend Oreille,82,23,1,1,2,3,2,14,91,80,2,87.9,9.9,2.2
2013-14,Pierce,4601,806,46,87,225,414,236,1025,4381,3128,245,71.4,23.0,5.6
2013-14,San Juan,59,15,2,1,0,3,4,16,58,47,1,81.0,17.2,1.7
2013-14,Skagit,965,135,5,23,48,121,104,158,942,574,67,60.9,32.0,7.1
2013-14,Skamania,53,9,1,12,2,5,3,9,53,28,2,52.8,43.4,3.8
2013-14,Snohomish,3574,474,14,39,104,247,356,556,3492,2447,285,70.1,21.8,8.2
2013-14,Spokane,2940,430,24,62,155,221,188,391,2979,2215,114,74.4,21.8,3.8
2013-14,Stevens,429,95,2,16,35,47,49,64,460,281,30,61.1,32.4,6.5
2013-14,Thurston,1335,217,4,11,54,145,181,214,1338,848,95,63.4,29.5,7.1
2013-14,Wahkiakum,29,2,0,1,0,2,1,5,26,19,3,73.1,15.4,11.5
2013-14,Walla Walla,416,84,0,4,8,26,40,74,426,324,24,76.1,18.3,5.6
2013-14,Whatcom,1014,119,10,27,47,107,82,129,1004,678,53,67.5,27.2,5.3
2013-14,Whitman,118,24,0,1,3,10,2,34,108,90,2,83.3,14.8,1.9
2013-14,Yakima,2338,865,38,59,152,261,195,355,2848,1985,158,69.7,24.8,5.5
