SchoolYear,County,Began Grade 9 in Washington,Transferred Into Washington,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2013-14,Adams,199,21,6,4,8,20,5,27,193,146,4,75.6,22.3,2.1
2013-14,Asotin,10,6,0,1,2,3,0,5,11,4,1,36.4,54.5,9.1
2013-14,Benton,547,101,7,8,20,40,35,85,563,429,24,76.2,19.5,4.3
2013-14,Chelan,459,71,14,9,20,40,31,70,460,317,29,68.9,24.8,6.3
2013-14,Clallam,150,59,2,24,19,30,21,19,190,78,16,41.1,50.5,8.4
2013-14,Clark,632,220,2,11,24,48,59,170,682,500,38,73.3,21.1,5.6
2013-14,Columbia,4,2,0,0,0,0,0,2,4,4,0,100.0,0.0,0.0
2013-14,Cowlitz,170,40,0,4,3,10,12,48,162,123,10,75.9,17.9,6.2
2013-14,Douglas,225,36,4,3,7,28,18,17,244,177,7,72.5,24.6,2.9
2013-14,Ferry,4,2,0,0,0,0,1,3,3,2,0,66.7,33.3,0.0
2013-14,Franklin,782,138,17,18,26,58,65,96,824,605,35,73.4,22.3,4.2
2013-14,Garfield,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,Grant,619,136,13,18,34,61,49,73,682,482,25,70.7,25.7,3.7
2013-14,Grays Harbor,103,19,1,0,2,12,8,20,102,76,3,74.5,22.5,2.9
2013-14,Island,50,17,0,0,1,3,5,16,51,40,2,78.4,17.6,3.9
2013-14,Jefferson,8,5,0,0,1,0,1,3,10,7,1,70.0,20.0,10.0
2013-14,King,2492,655,66,44,109,237,239,526,2621,1729,197,66.0,26.5,7.5
2013-14,Kitsap,320,62,2,7,6,15,23,57,325,269,3,82.8,16.3,0.9
2013-14,Kittitas,44,6,0,2,3,2,0,11,39,31,1,79.5,17.9,2.6
2013-14,Klickitat,38,17,0,1,0,2,2,14,41,36,0,87.8,12.2,0.0
2013-14,Lewis,147,30,5,1,10,18,13,16,161,98,16,60.9,29.2,9.9
2013-14,Lincoln,6,6,0,1,0,1,0,4,8,6,0,75.0,25.0,0.0
2013-14,Mason,75,18,2,1,2,6,3,20,73,54,5,74.0,19.2,6.8
2013-14,Okanogan,147,40,2,4,6,18,10,32,155,110,5,71.0,25.8,3.2
2013-14,Pacific,51,14,1,3,8,4,5,13,52,30,1,57.7,40.4,1.9
2013-14,Pend Oreille,5,3,0,0,0,0,0,5,3,3,0,100.0,0.0,0.0
2013-14,Pierce,1049,277,12,14,55,84,49,292,1034,770,50,74.5,20.7,4.8
2013-14,San Juan,8,5,1,0,1,0,1,4,9,6,0,66.7,33.3,0.0
2013-14,Skagit,407,65,2,9,20,47,44,72,400,248,30,62.0,30.5,7.5
2013-14,Skamania,10,4,1,3,1,0,1,2,12,6,0,50.0,50.0,0.0
2013-14,Snohomish,998,202,4,14,31,71,82,206,994,711,81,71.5,20.3,8.1
2013-14,Spokane,340,75,2,6,8,25,26,63,352,274,11,77.8,19.0,3.1
2013-14,Stevens,28,20,0,1,3,7,3,11,37,17,6,45.9,37.8,16.2
2013-14,Thurston,298,93,1,1,7,31,43,63,328,227,18,69.2,25.3,5.5
2013-14,Wahkiakum,2,1,0,0,0,0,0,2,1,1,0,100.0,0.0,0.0
2013-14,Walla Walla,220,55,0,3,7,11,20,48,227,173,13,76.2,18.1,5.7
2013-14,Whatcom,303,60,4,6,15,27,31,53,310,209,18,67.4,26.8,5.8
2013-14,Whitman,19,5,0,0,0,0,0,9,15,15,0,100.0,0.0,0.0
2013-14,Yakima,1773,734,35,42,98,181,139,264,2243,1624,124,72.4,22.1,5.5
