SchoolYear,County,Began Grade 9 in Washington,Transferred Into Washington,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2013-14,Adams,25,9,3,2,2,3,1,7,27,15,1,55.6,40.7,3.7
2013-14,Asotin,37,24,1,2,5,11,12,7,54,19,4,35.2,57.4,7.4
2013-14,Benton,65,36,0,0,11,9,8,17,84,49,7,58.3,33.3,8.3
2013-14,Chelan,91,27,0,2,13,22,11,9,109,55,6,50.5,44.0,5.5
2013-14,Clallam,95,22,0,7,14,20,19,6,111,41,10,36.9,54.1,9.0
2013-14,Clark,261,81,2,6,17,46,39,58,284,145,29,51.1,38.7,10.2
2013-14,Columbia,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2013-14,Cowlitz,64,16,0,0,5,9,10,15,65,36,5,55.4,36.9,7.7
2013-14,Douglas,37,15,0,0,2,7,6,5,47,30,2,63.8,31.9,4.3
2013-14,Ferry,3,0,0,1,0,0,0,0,3,2,0,66.7,33.3,0.0
2013-14,Franklin,60,20,3,4,5,4,11,15,65,35,3,53.8,41.5,4.6
2013-14,Garfield,0,1,0,0,0,1,0,0,1,0,0,0.0,100.0,0.0
2013-14,Grant,67,27,0,1,7,13,13,11,83,44,5,53.0,41.0,6.0
2013-14,Grays Harbor,124,25,0,1,6,20,18,16,133,80,8,60.2,33.8,6.0
2013-14,Island,37,13,0,1,1,8,3,12,38,22,3,57.9,34.2,7.9
2013-14,Jefferson,7,2,0,0,0,0,2,2,7,4,1,57.1,28.6,14.3
2013-14,King,609,222,17,13,51,92,108,171,660,311,68,47.1,42.6,10.3
2013-14,Kitsap,130,39,0,1,8,16,27,22,147,84,11,57.1,35.4,7.5
2013-14,Kittitas,18,3,0,0,0,1,1,1,20,15,3,75.0,10.0,15.0
2013-14,Klickitat,20,7,0,0,2,5,3,1,26,14,2,53.8,38.5,7.7
2013-14,Lewis,99,24,0,2,10,23,19,9,114,48,12,42.1,47.4,10.5
2013-14,Lincoln,3,2,0,0,0,0,0,1,4,4,0,100.0,0.0,0.0
2013-14,Mason,84,14,0,1,4,9,8,17,81,52,7,64.2,27.2,8.6
2013-14,Okanogan,27,7,0,0,3,6,6,3,31,15,1,48.4,48.4,3.2
2013-14,Pacific,27,12,0,0,8,4,3,5,34,18,1,52.9,44.1,2.9
2013-14,Pend Oreille,28,11,1,0,3,1,2,3,36,28,1,77.8,19.4,2.8
2013-14,Pierce,470,109,2,9,38,64,44,122,457,260,40,56.9,34.4,8.8
2013-14,San Juan,2,2,0,1,0,0,0,1,3,2,0,66.7,33.3,0.0
2013-14,Skagit,142,27,4,6,11,25,25,27,142,55,16,38.7,50.0,11.3
2013-14,Skamania,9,0,0,1,1,2,0,2,7,2,1,28.6,57.1,14.3
2013-14,Snohomish,385,73,2,5,11,43,71,77,381,200,49,52.5,34.6,12.9
2013-14,Spokane,377,89,1,7,20,45,44,42,424,283,24,66.7,27.6,5.7
2013-14,Stevens,55,14,1,1,2,9,11,8,61,30,7,49.2,39.3,11.5
2013-14,Thurston,236,49,0,3,10,36,73,28,257,98,37,38.1,47.5,14.4
2013-14,Wahkiakum,3,1,0,0,0,1,1,1,3,1,0,33.3,66.7,0.0
2013-14,Walla Walla,35,8,0,0,0,6,9,10,33,16,2,48.5,45.5,6.1
2013-14,Whatcom,128,36,1,8,13,22,18,19,145,67,16,46.2,42.8,11.0
2013-14,Whitman,10,7,0,0,1,3,0,3,14,9,1,64.3,28.6,7.1
2013-14,Yakima,139,83,7,6,11,29,30,50,172,74,15,43.0,48.3,8.7
