SchoolYear,County,Began Grade 9 in Washington,Transferred Into Washington,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2013-14,Adams,156,10,3,3,6,14,3,21,145,114,2,78.6,20.0,1.4
2013-14,Asotin,133,29,1,3,7,12,9,21,141,99,10,70.2,22.7,7.1
2013-14,Benton,1238,185,11,9,37,88,67,158,1265,1008,45,79.7,16.8,3.6
2013-14,Chelan,570,84,13,9,26,65,25,77,577,410,29,71.1,23.9,5.0
2013-14,Clallam,640,149,12,56,76,88,65,74,715,361,57,50.5,41.5,8.0
2013-14,Clark,3037,538,4,29,80,199,186,513,3062,2458,106,80.3,16.3,3.5
2013-14,Columbia,22,5,0,0,1,0,0,9,18,17,0,94.4,5.6,0.0
2013-14,Cowlitz,699,102,4,8,28,42,43,141,660,506,29,76.7,18.9,4.4
2013-14,Douglas,268,34,3,3,7,31,12,27,275,212,7,77.1,20.4,2.5
2013-14,Ferry,35,11,0,2,1,2,1,13,33,26,1,78.8,18.2,3.0
2013-14,Franklin,577,98,9,11,19,42,55,71,604,439,29,72.7,22.5,4.8
2013-14,Garfield,18,4,0,0,0,1,0,3,19,17,1,89.5,5.3,5.3
2013-14,Grant,620,147,14,19,33,54,39,88,679,498,22,73.3,23.4,3.2
2013-14,Grays Harbor,434,49,1,8,15,37,32,58,425,318,14,74.8,21.9,3.3
2013-14,Island,322,73,1,2,4,22,9,87,308,256,14,83.1,12.3,4.5
2013-14,Jefferson,108,33,0,1,4,7,12,29,112,83,5,74.1,21.4,4.5
2013-14,King,9995,1772,84,112,247,640,567,1457,10310,8098,562,78.5,16.0,5.5
2013-14,Kitsap,1482,236,5,17,30,76,88,201,1517,1261,40,83.1,14.2,2.6
2013-14,Kittitas,197,34,2,3,9,29,10,27,204,146,5,71.6,26.0,2.5
2013-14,Klickitat,125,93,1,19,2,5,8,71,146,106,5,72.6,24.0,3.4
2013-14,Lewis,568,98,2,9,29,57,49,80,586,403,37,68.8,24.9,6.3
2013-14,Lincoln,83,15,2,2,5,3,0,15,83,69,2,83.1,14.5,2.4
2013-14,Mason,301,39,4,4,3,22,18,41,299,235,13,78.6,17.1,4.3
2013-14,Okanogan,252,85,4,5,16,23,16,71,266,194,8,72.9,24.1,3.0
2013-14,Pacific,165,44,1,4,24,20,14,50,159,91,5,57.2,39.6,3.1
2013-14,Pend Oreille,53,27,0,1,3,3,2,17,63,53,1,84.1,14.3,1.6
2013-14,Pierce,4714,838,49,64,166,344,181,1000,4551,3550,197,78.0,17.7,4.3
2013-14,San Juan,69,25,2,0,1,2,1,17,77,70,1,90.9,7.8,1.3
2013-14,Skagit,822,110,5,16,31,94,73,116,816,550,47,67.4,26.8,5.8
2013-14,Skamania,62,9,3,7,4,6,2,13,58,33,3,56.9,37.9,5.2
2013-14,Snohomish,4352,546,20,37,104,234,313,635,4263,3292,263,77.2,16.6,6.2
2013-14,Spokane,2827,419,27,40,108,156,129,401,2845,2294,91,80.6,16.2,3.2
2013-14,Stevens,320,115,4,12,26,45,34,81,354,210,23,59.3,34.2,6.5
2013-14,Thurston,1604,275,4,10,38,139,142,303,1576,1162,81,73.7,21.1,5.1
2013-14,Wahkiakum,28,8,0,1,0,2,1,10,26,20,2,76.9,15.4,7.7
2013-14,Walla Walla,346,106,0,1,4,23,26,98,354,283,17,79.9,15.3,4.8
2013-14,Whatcom,1087,128,7,21,32,77,52,149,1066,831,46,78.0,17.7,4.3
2013-14,Whitman,171,32,0,2,3,16,2,34,169,145,1,85.8,13.6,0.6
2013-14,Yakima,1557,594,34,35,96,176,125,284,1867,1312,89,70.3,25.0,4.8
