SchoolYear,County,Began Grade 9 in Washington,Transferred Into Washington,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2013-14,Adams,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,Asotin,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2013-14,Benton,10,2,0,0,0,1,1,1,11,8,1,72.7,18.2,9.1
2013-14,Chelan,1,0,0,0,0,0,0,1,0,0,0,n/a,n/a,n/a
2013-14,Clallam,10,3,0,1,5,1,0,3,10,3,0,30.0,70.0,0.0
2013-14,Clark,46,30,0,1,2,7,10,12,64,43,1,67.2,31.3,1.6
2013-14,Columbia,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,Cowlitz,3,1,0,0,0,0,0,0,4,3,1,75.0,0.0,25.0
2013-14,Douglas,0,1,0,0,0,0,0,1,0,0,0,n/a,n/a,n/a
2013-14,Ferry,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,Franklin,3,0,0,0,0,0,0,0,3,3,0,100.0,0.0,0.0
2013-14,Garfield,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,Grant,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,Grays Harbor,0,2,0,0,0,1,0,0,2,1,0,50.0,50.0,0.0
2013-14,Island,1,1,0,0,0,0,0,0,2,1,1,50.0,0.0,50.0
2013-14,Jefferson,2,0,0,0,0,0,0,0,2,2,0,100.0,0.0,0.0
2013-14,King,203,71,3,0,9,38,28,50,224,134,12,59.8,34.8,5.4
2013-14,Kitsap,33,6,0,0,2,0,1,10,29,26,0,89.7,10.3,0.0
2013-14,Kittitas,0,1,0,0,0,0,0,1,0,0,0,n/a,n/a,n/a
2013-14,Klickitat,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,Lewis,4,0,0,1,0,1,0,1,3,1,0,33.3,66.7,0.0
2013-14,Lincoln,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,Mason,4,0,0,0,0,1,0,1,3,2,0,66.7,33.3,0.0
2013-14,Okanogan,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,Pacific,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,Pend Oreille,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,Pierce,157,51,2,2,2,14,10,64,144,107,7,74.3,20.8,4.9
2013-14,San Juan,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,Skagit,10,2,1,0,0,0,0,1,11,6,4,54.5,9.1,36.4
2013-14,Skamania,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,Snohomish,40,20,0,0,0,1,6,15,45,36,2,80.0,15.6,4.4
2013-14,Spokane,29,13,2,0,4,0,1,9,33,24,2,72.7,21.2,6.1
2013-14,Stevens,1,1,0,0,0,0,1,1,1,0,0,0.0,100.0,0.0
2013-14,Thurston,14,4,0,0,0,2,3,3,15,9,1,60.0,33.3,6.7
2013-14,Wahkiakum,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,Walla Walla,3,2,0,0,0,1,0,2,3,2,0,66.7,33.3,0.0
2013-14,Whatcom,3,1,0,0,1,0,0,1,3,2,0,66.7,33.3,0.0
2013-14,Whitman,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,Yakima,2,2,0,1,0,0,0,1,3,2,0,66.7,33.3,0.0
