SchoolYear,County,Began Grade 9 in Washington,Transferred Into Washington,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2013-14,Adams,13,0,0,0,0,2,1,1,12,9,0,75.0,25.0,0.0
2013-14,Asotin,6,1,0,0,1,0,0,2,5,4,0,80.0,20.0,0.0
2013-14,Benton,51,2,0,0,1,4,0,1,52,41,6,78.8,9.6,11.5
2013-14,Chelan,28,4,0,1,1,3,3,2,30,20,2,66.7,26.7,6.7
2013-14,Clallam,65,6,1,2,5,10,11,3,68,33,6,48.5,42.6,8.8
2013-14,Clark,219,25,0,2,4,14,16,22,222,182,4,82.0,16.2,1.8
2013-14,Columbia,2,0,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
2013-14,Cowlitz,44,4,1,0,1,3,1,7,41,33,2,80.5,14.6,4.9
2013-14,Douglas,15,0,0,0,0,3,1,1,14,9,1,64.3,28.6,7.1
2013-14,Ferry,4,1,0,0,0,0,0,0,5,4,1,80.0,0.0,20.0
2013-14,Franklin,24,0,0,0,0,1,1,0,24,19,3,79.2,8.3,12.5
2013-14,Garfield,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,Grant,26,2,0,0,1,3,3,1,27,19,1,70.4,25.9,3.7
2013-14,Grays Harbor,41,1,0,1,0,5,2,5,37,28,1,75.7,21.6,2.7
2013-14,Island,16,2,0,0,0,2,0,3,15,12,1,80.0,13.3,6.7
2013-14,Jefferson,13,0,0,0,0,0,0,1,12,10,2,83.3,0.0,16.7
2013-14,King,1174,91,0,4,19,61,51,98,1167,986,46,84.5,11.6,3.9
2013-14,Kitsap,139,14,0,1,3,9,10,15,138,113,2,81.9,16.7,1.4
2013-14,Kittitas,12,0,0,0,0,2,0,0,12,10,0,83.3,16.7,0.0
2013-14,Klickitat,8,3,0,0,0,0,0,2,9,8,1,88.9,0.0,11.1
2013-14,Lewis,21,1,0,0,1,1,1,6,16,11,2,68.8,18.8,12.5
2013-14,Lincoln,2,0,0,0,0,0,0,0,2,1,1,50.0,0.0,50.0
2013-14,Mason,33,5,0,0,0,3,1,7,31,25,2,80.6,12.9,6.5
2013-14,Okanogan,21,2,1,0,2,2,1,4,19,13,0,68.4,31.6,0.0
2013-14,Pacific,14,1,0,0,0,3,1,3,12,8,0,66.7,33.3,0.0
2013-14,Pend Oreille,13,1,0,0,0,0,0,0,14,14,0,100.0,0.0,0.0
2013-14,Pierce,381,30,0,4,11,19,20,47,364,286,24,78.6,14.8,6.6
2013-14,San Juan,9,3,0,0,0,0,0,1,11,10,1,90.9,0.0,9.1
2013-14,Skagit,70,4,0,0,3,7,6,4,70,51,3,72.9,22.9,4.3
2013-14,Skamania,8,0,0,1,1,1,0,0,8,4,1,50.0,37.5,12.5
2013-14,Snohomish,423,23,1,2,12,16,39,35,411,311,30,75.7,17.0,7.3
2013-14,Spokane,168,13,0,2,3,10,2,15,166,137,12,82.5,10.2,7.2
2013-14,Stevens,15,1,0,0,0,2,3,1,15,10,0,66.7,33.3,0.0
2013-14,Thurston,152,8,0,1,1,15,10,13,147,115,5,78.2,18.4,3.4
2013-14,Wahkiakum,5,2,0,0,0,1,0,2,5,4,0,80.0,20.0,0.0
2013-14,Walla Walla,11,1,0,0,0,1,0,1,11,9,1,81.8,9.1,9.1
2013-14,Whatcom,113,3,0,1,2,8,2,4,112,91,8,81.3,11.6,7.1
2013-14,Whitman,21,1,0,0,1,2,0,2,20,17,0,85.0,15.0,0.0
2013-14,Yakima,46,16,0,1,1,6,3,13,49,34,4,69.4,22.4,8.2
