SchoolYear,County,Began Grade 9 in Washington,Transferred Into Washington,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2013-14,Adams,21,2,0,0,0,2,1,4,19,12,4,63.2,15.8,21.1
2013-14,Asotin,46,10,1,1,3,3,8,3,53,29,8,54.7,30.2,15.1
2013-14,Benton,233,27,2,1,11,22,15,27,233,162,20,69.5,21.9,8.6
2013-14,Chelan,101,11,0,1,6,15,10,7,105,63,10,60.0,30.5,9.5
2013-14,Clallam,169,42,2,11,20,22,22,19,192,88,27,45.8,40.1,14.1
2013-14,Clark,719,129,3,10,23,58,64,142,706,460,88,65.2,22.4,12.5
2013-14,Columbia,4,2,0,0,1,0,0,4,2,0,1,0.0,50.0,50.0
2013-14,Cowlitz,155,22,0,2,6,10,14,40,137,97,8,70.8,23.4,5.8
2013-14,Douglas,61,8,1,0,1,6,5,3,66,50,3,75.8,19.7,4.5
2013-14,Ferry,13,1,0,1,0,3,1,1,13,7,1,53.8,38.5,7.7
2013-14,Franklin,133,21,0,3,1,12,18,14,140,93,13,66.4,24.3,9.3
2013-14,Garfield,7,2,0,0,0,0,0,3,6,5,1,83.3,0.0,16.7
2013-14,Grant,123,27,0,3,10,13,10,8,142,88,18,62.0,25.4,12.7
2013-14,Grays Harbor,98,12,0,1,4,9,7,17,93,64,8,68.8,22.6,8.6
2013-14,Island,78,15,1,1,0,7,5,24,69,43,12,62.3,20.3,17.4
2013-14,Jefferson,22,6,0,0,1,2,3,8,20,12,2,60.0,30.0,10.0
2013-14,King,2208,279,17,33,68,177,174,317,2170,1331,370,61.3,21.6,17.1
2013-14,Kitsap,347,36,1,4,5,32,32,33,350,248,28,70.9,21.1,8.0
2013-14,Kittitas,53,7,0,0,0,8,4,7,53,37,4,69.8,22.6,7.5
2013-14,Klickitat,41,10,0,1,2,3,2,2,48,36,4,75.0,16.7,8.3
2013-14,Lewis,130,38,1,1,10,27,24,15,153,62,28,40.5,41.2,18.3
2013-14,Lincoln,13,0,0,0,0,1,0,1,12,10,1,83.3,8.3,8.3
2013-14,Mason,85,7,0,1,1,6,8,18,74,48,10,64.9,21.6,13.5
2013-14,Okanogan,74,6,1,1,4,7,5,17,63,41,4,65.1,28.6,6.3
2013-14,Pacific,54,7,0,1,8,6,4,10,51,29,3,56.9,37.3,5.9
2013-14,Pend Oreille,14,2,0,0,1,1,0,1,15,13,0,86.7,13.3,0.0
2013-14,Pierce,1094,178,8,15,51,90,63,253,1019,668,124,65.6,22.3,12.2
2013-14,San Juan,11,3,1,0,0,0,1,2,12,10,0,83.3,16.7,0.0
2013-14,Skagit,219,26,1,4,11,29,21,36,209,116,27,55.5,31.6,12.9
2013-14,Skamania,16,1,1,0,1,1,0,2,15,8,4,53.3,20.0,26.7
2013-14,Snohomish,972,95,2,7,37,76,90,130,937,577,148,61.6,22.6,15.8
2013-14,Spokane,659,79,1,12,33,51,41,88,650,441,71,67.8,21.2,10.9
2013-14,Stevens,86,12,0,0,8,7,11,15,83,48,9,57.8,31.3,10.8
2013-14,Thurston,367,43,0,3,8,34,44,56,354,207,58,58.5,25.1,16.4
2013-14,Wahkiakum,11,3,0,0,0,0,1,3,11,8,2,72.7,9.1,18.2
2013-14,Walla Walla,77,13,0,0,0,8,12,14,76,48,8,63.2,26.3,10.5
2013-14,Whatcom,274,24,1,10,11,23,12,38,260,149,54,57.3,21.9,20.8
2013-14,Whitman,36,4,0,0,1,1,0,8,32,29,1,90.6,6.3,3.1
2013-14,Yakima,323,99,5,7,23,37,33,56,366,220,41,60.1,28.7,11.2
