SchoolYear,County,Began Grade 9 in Washington,Transferred Into Washington,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2013-14,Adams,43,10,4,2,2,6,1,9,44,27,2,61.4,34.1,4.5
2013-14,Asotin,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,Benton,182,46,2,1,7,8,14,36,192,157,3,81.8,16.7,1.6
2013-14,Chelan,240,48,6,7,16,23,17,48,240,152,19,63.3,28.8,7.9
2013-14,Clallam,10,2,0,0,0,4,3,0,12,5,0,41.7,58.3,0.0
2013-14,Clark,5,3,0,0,0,0,0,1,7,7,0,100.0,0.0,0.0
2013-14,Columbia,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,Cowlitz,3,4,0,0,0,0,0,2,5,5,0,100.0,0.0,0.0
2013-14,Douglas,94,22,2,2,0,12,10,8,108,77,5,71.3,24.1,4.6
2013-14,Ferry,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,Franklin,145,47,0,3,7,18,16,28,164,112,8,68.3,26.8,4.9
2013-14,Garfield,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,Grant,174,51,6,4,7,17,14,22,203,143,12,70.4,23.6,5.9
2013-14,Grays Harbor,21,1,0,1,0,1,2,1,21,17,0,81.0,19.0,0.0
2013-14,Island,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2013-14,Jefferson,0,2,0,0,0,0,1,0,2,0,1,0.0,50.0,50.0
2013-14,King,67,25,1,2,6,13,9,17,75,37,7,49.3,41.3,9.3
2013-14,Kitsap,13,1,0,2,0,5,0,2,12,5,0,41.7,58.3,0.0
2013-14,Kittitas,5,1,0,0,0,1,0,3,3,2,0,66.7,33.3,0.0
2013-14,Klickitat,5,3,0,0,0,1,0,2,6,5,0,83.3,16.7,0.0
2013-14,Lewis,16,7,0,1,1,4,2,2,21,13,0,61.9,38.1,0.0
2013-14,Lincoln,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,Mason,20,3,2,0,0,3,3,2,21,13,0,61.9,38.1,0.0
2013-14,Okanogan,28,16,1,0,2,3,1,9,35,27,1,77.1,20.0,2.9
2013-14,Pacific,16,2,0,1,1,0,0,3,15,13,0,86.7,13.3,0.0
2013-14,Pend Oreille,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,Pierce,8,2,0,0,1,1,0,4,6,3,1,50.0,33.3,16.7
2013-14,San Juan,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,Skagit,107,16,1,3,4,9,13,22,101,64,7,63.4,29.7,6.9
2013-14,Skamania,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,Snohomish,30,6,0,1,1,2,5,2,34,18,7,52.9,26.5,20.6
2013-14,Spokane,5,0,0,0,0,2,1,0,5,2,0,40.0,60.0,0.0
2013-14,Stevens,8,4,0,0,2,3,3,0,12,2,2,16.7,66.7,16.7
2013-14,Thurston,3,1,0,0,0,0,1,1,3,1,1,33.3,33.3,33.3
2013-14,Wahkiakum,4,0,0,0,0,0,0,0,4,4,0,100.0,0.0,0.0
2013-14,Walla Walla,20,5,0,1,1,0,3,2,23,15,3,65.2,21.7,13.0
2013-14,Whatcom,42,13,1,1,3,5,5,8,47,29,3,61.7,31.9,6.4
2013-14,Whitman,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,Yakima,658,305,11,16,50,72,71,119,844,565,59,66.9,26.1,7.0
