SchoolYear,County,Began Grade 9 in Washington,Transferred Into Washington,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2013-14,Adams,52,14,4,3,1,8,3,13,53,32,2,60.4,35.8,3.8
2013-14,Asotin,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,Benton,104,61,1,4,8,17,7,35,130,85,8,65.4,28.5,6.2
2013-14,Chelan,126,45,8,4,12,14,12,44,127,68,9,53.5,39.4,7.1
2013-14,Clallam,20,6,0,1,4,5,2,2,24,8,4,33.3,50.0,16.7
2013-14,Clark,204,99,0,3,10,18,20,57,246,180,15,73.2,20.7,6.1
2013-14,Columbia,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,Cowlitz,34,9,0,3,3,2,2,15,28,16,2,57.1,35.7,7.1
2013-14,Douglas,55,22,2,2,4,7,9,4,73,46,3,63.0,32.9,4.1
2013-14,Ferry,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,Franklin,250,70,10,10,11,25,23,43,277,180,18,65.0,28.5,6.5
2013-14,Garfield,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,Grant,168,58,9,7,11,28,18,29,197,111,13,56.3,37.1,6.6
2013-14,Grays Harbor,14,8,0,1,1,4,2,5,17,7,2,41.2,47.1,11.8
2013-14,Island,10,1,0,0,0,1,1,4,7,5,0,71.4,28.6,0.0
2013-14,Jefferson,2,2,0,0,0,0,1,0,4,2,1,50.0,25.0,25.0
2013-14,King,1137,793,56,49,76,162,158,330,1600,921,178,57.6,31.3,11.1
2013-14,Kitsap,38,14,0,1,1,5,3,11,41,30,1,73.2,24.4,2.4
2013-14,Kittitas,10,3,0,0,0,2,0,5,8,6,0,75.0,25.0,0.0
2013-14,Klickitat,11,3,0,0,0,1,1,1,13,11,0,84.6,15.4,0.0
2013-14,Lewis,26,10,0,0,4,2,8,5,31,12,5,38.7,45.2,16.1
2013-14,Lincoln,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,Mason,16,6,2,0,0,2,1,4,18,13,0,72.2,27.8,0.0
2013-14,Okanogan,36,14,1,1,2,8,3,12,38,22,1,57.9,39.5,2.6
2013-14,Pacific,10,5,0,1,1,1,3,3,12,5,1,41.7,50.0,8.3
2013-14,Pend Oreille,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,Pierce,191,136,3,9,22,37,20,76,251,146,14,58.2,36.3,5.6
2013-14,San Juan,1,3,0,0,1,0,0,2,2,1,0,50.0,50.0,0.0
2013-14,Skagit,110,30,1,6,2,19,19,23,117,57,13,48.7,40.2,11.1
2013-14,Skamania,2,2,0,1,0,0,1,1,3,1,0,33.3,66.7,0.0
2013-14,Snohomish,287,137,2,8,11,27,37,70,354,235,34,66.4,24.0,9.6
2013-14,Spokane,93,60,4,9,9,6,6,21,132,86,12,65.2,25.8,9.1
2013-14,Stevens,8,6,0,0,1,3,1,4,10,4,1,40.0,50.0,10.0
2013-14,Thurston,39,31,1,1,0,5,8,14,56,35,6,62.5,26.8,10.7
2013-14,Wahkiakum,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2013-14,Walla Walla,44,11,0,1,3,3,6,11,44,29,2,65.9,29.5,4.5
2013-14,Whatcom,55,27,3,2,5,7,2,15,67,40,8,59.7,28.4,11.9
2013-14,Whitman,1,6,0,0,0,0,0,4,3,3,0,100.0,0.0,0.0
2013-14,Yakima,389,206,14,18,32,71,47,82,513,284,47,55.4,35.5,9.2
