SchoolYear,County,Began Grade 9 in Washington,Transferred Into Washington,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2013-14,Adams,92,8,1,1,1,5,1,12,88,77,2,87.5,10.2,2.3
2013-14,Asotin,225,54,2,7,10,19,17,32,247,178,14,72.1,22.3,5.7
2013-14,Benton,1694,266,6,4,38,90,73,215,1745,1490,44,85.4,12.1,2.5
2013-14,Chelan,576,72,3,6,24,57,19,41,607,484,14,79.7,18.0,2.3
2013-14,Clallam,1027,229,25,89,128,132,86,131,1125,598,67,53.2,40.9,6.0
2013-14,Clark,4679,712,5,36,101,240,199,764,4627,3923,123,84.8,12.6,2.7
2013-14,Columbia,32,10,0,0,2,0,0,19,23,20,1,87.0,8.7,4.3
2013-14,Cowlitz,1052,144,3,8,35,59,55,168,1028,840,28,81.7,15.6,2.7
2013-14,Douglas,286,27,4,4,4,21,4,27,286,246,3,86.0,12.9,1.0
2013-14,Ferry,52,10,2,2,1,3,0,14,48,39,1,81.3,16.7,2.1
2013-14,Franklin,334,44,4,3,5,14,11,37,341,294,10,86.2,10.9,2.9
2013-14,Garfield,26,4,0,0,0,0,0,5,25,24,1,96.0,0.0,4.0
2013-14,Grant,551,113,4,11,20,29,19,85,579,484,12,83.6,14.3,2.1
2013-14,Grays Harbor,595,68,3,9,16,36,35,81,582,469,14,80.6,17.0,2.4
2013-14,Island,481,96,1,3,6,26,8,130,447,390,13,87.2,9.8,2.9
2013-14,Jefferson,187,43,0,2,5,11,18,37,193,151,6,78.2,18.7,3.1
2013-14,King,10778,1416,56,71,177,458,351,1351,10843,9361,369,86.3,10.3,3.4
2013-14,Kitsap,1964,308,6,18,39,83,79,266,2006,1734,47,86.4,11.2,2.3
2013-14,Kittitas,297,37,5,1,10,30,11,22,312,249,6,79.8,18.3,1.9
2013-14,Klickitat,190,114,2,20,6,7,8,83,220,172,5,78.2,19.5,2.3
2013-14,Lewis,766,115,0,11,26,62,49,102,779,615,16,78.9,19.0,2.1
2013-14,Lincoln,123,19,1,1,6,3,0,23,119,106,2,89.1,9.2,1.7
2013-14,Mason,418,55,0,7,7,27,21,53,420,342,16,81.4,14.8,3.8
2013-14,Okanogan,319,76,10,9,20,24,15,79,316,231,7,73.1,24.7,2.2
2013-14,Pacific,205,44,1,2,20,14,10,53,196,145,4,74.0,24.0,2.0
2013-14,Pend Oreille,102,32,1,1,2,5,3,18,116,102,2,87.9,10.3,1.7
2013-14,Pierce,5911,793,39,71,176,312,173,1017,5686,4741,174,83.4,13.6,3.1
2013-14,San Juan,118,33,2,0,0,6,3,22,129,116,2,89.9,8.5,1.6
2013-14,Skagit,1063,119,5,19,34,87,62,147,1035,790,38,76.3,20.0,3.7
2013-14,Skamania,88,13,3,9,3,6,2,24,77,51,3,66.2,29.9,3.9
2013-14,Snohomish,5871,662,25,44,104,248,311,833,5700,4703,265,82.5,12.8,4.6
2013-14,Spokane,4567,610,31,51,141,194,162,589,4588,3893,116,84.9,12.6,2.5
2013-14,Stevens,480,136,6,16,36,48,35,118,498,331,26,66.5,28.3,5.2
2013-14,Thurston,2276,320,4,13,58,161,140,384,2212,1748,88,79.0,17.0,4.0
2013-14,Wahkiakum,35,8,0,1,0,2,1,9,34,27,3,79.4,11.8,8.8
2013-14,Walla Walla,442,125,2,2,1,25,25,114,453,384,14,84.8,12.1,3.1
2013-14,Whatcom,1555,171,10,27,33,87,51,225,1501,1241,52,82.7,13.9,3.5
2013-14,Whitman,270,37,0,2,2,22,2,39,268,238,2,88.8,10.4,0.7
2013-14,Yakima,1121,262,13,17,48,95,49,216,1167,917,28,78.6,19.0,2.4
