SchoolYear,Dist,District,Beginning Grade 9 Students,Transferred In,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted Actual 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2010-11,14005,Aberdeen,23,4,0,1,1,0,4,12,15,9,0,60.0,40.0,0.0
2010-11,21226,Adna,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,29103,Anacortes,3,2,0,0,0,0,1,1,4,2,1,50.0,25.0,25.0
2010-11,31016,Arlington,14,2,0,0,2,0,0,8,8,6,0,75.0,25.0,0.0
2010-11,02420,Asotin-Anatone,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2010-11,17408,Auburn,65,27,2,2,2,8,1,53,39,20,4,51.3,38.5,10.3
2010-11,18303,Bainbridge Island,6,0,0,0,0,0,0,3,3,3,0,100.0,0.0,0.0
2010-11,06119,Battle Ground,12,8,0,0,0,2,1,5,15,11,1,73.3,20.0,6.7
2010-11,17405,Bellevue,5,1,0,0,0,0,0,3,3,3,0,100.0,0.0,0.0
2010-11,37501,Bellingham,36,11,1,3,3,2,4,18,29,16,0,55.2,44.8,0.0
2010-11,27403,Bethel,76,12,0,1,0,2,4,40,48,37,4,77.1,14.6,8.3
2010-11,20203,Bickleton,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,37503,Blaine,5,1,0,1,0,0,0,2,4,3,0,75.0,25.0,0.0
2010-11,18100,Bremerton,19,9,0,0,0,2,2,9,19,13,2,68.4,21.1,10.5
2010-11,24111,Brewster,2,1,0,0,0,0,0,2,1,1,0,100.0,0.0,0.0
2010-11,09075,Bridgeport,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,29100,Burlington-Edison,4,1,0,0,0,0,0,4,1,1,0,100.0,0.0,0.0
2010-11,06117,Camas,4,1,0,0,0,0,0,2,3,3,0,100.0,0.0,0.0
2010-11,05401,Cape Flattery,27,5,0,0,0,0,2,9,23,21,0,91.3,8.7,0.0
2010-11,04228,Cascade,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,04222,Cashmere,2,2,0,0,0,0,0,2,2,1,1,50.0,0.0,50.0
2010-11,08401,Castle Rock,2,2,0,0,0,0,0,3,1,1,0,100.0,0.0,0.0
2010-11,18401,Central Kitsap,17,4,0,0,1,0,1,12,9,7,0,77.8,22.2,0.0
2010-11,32356,Central Valley,12,8,0,0,1,1,0,10,10,8,0,80.0,20.0,0.0
2010-11,21401,Centralia,5,5,0,0,0,0,1,8,2,0,1,0.0,50.0,50.0
2010-11,21302,Chehalis,1,1,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
2010-11,32360,Cheney,10,2,0,0,1,0,0,7,5,4,0,80.0,20.0,0.0
2010-11,33036,Chewelah,0,3,0,0,0,1,0,1,2,1,0,50.0,50.0,0.0
2010-11,16049,Chimacum,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,02250,Clarkston,6,5,0,1,1,2,0,4,7,1,2,14.3,57.1,28.6
2010-11,19404,Cle Elum-Roslyn,4,0,0,1,0,0,0,3,1,0,0,0.0,100.0,0.0
2010-11,27400,Clover Park,15,14,0,1,1,1,0,25,4,1,0,25.0,75.0,0.0
2010-11,38300,Colfax,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,38306,Colton,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,33206,Columbia (Stevens),9,1,0,0,0,0,0,5,5,5,0,100.0,0.0,0.0
2010-11,36400,Columbia (Walla Walla),0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,33115,Colville,2,3,0,0,0,1,0,2,3,2,0,66.7,33.3,0.0
2010-11,29011,Concrete,3,2,0,0,1,0,1,2,3,1,0,33.3,66.7,0.0
2010-11,13151,Coulee-Hartline,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,15204,Coupeville,3,0,1,0,0,0,0,1,2,1,0,50.0,50.0,0.0
2010-11,05313,Crescent,5,1,0,0,0,0,0,4,2,2,0,100.0,0.0,0.0
2010-11,22073,Creston,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,10050,Curlew,3,1,0,0,0,0,0,1,3,3,0,100.0,0.0,0.0
2010-11,26059,Cusick,11,3,0,1,0,0,0,3,11,10,0,90.9,9.1,0.0
2010-11,31330,Darrington,3,1,0,0,0,0,0,3,1,1,0,100.0,0.0,0.0
2010-11,22207,Davenport,2,1,0,0,0,0,0,1,2,2,0,100.0,0.0,0.0
2010-11,07002,Dayton,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,32414,Deer Park,10,3,0,1,0,1,0,4,9,7,0,77.8,22.2,0.0
2010-11,32361,East Valley (Spokane),7,2,0,0,0,0,0,7,2,2,0,100.0,0.0,0.0
2010-11,39090,East Valley (Yakima),7,2,0,0,0,0,0,5,4,4,0,100.0,0.0,0.0
2010-11,09206,Eastmont,3,0,0,0,0,0,0,1,2,1,1,50.0,0.0,50.0
2010-11,19028,Easton,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2010-11,27404,Eatonville,4,2,0,0,0,1,0,1,5,4,0,80.0,20.0,0.0
2010-11,31015,Edmonds,30,14,0,0,3,3,6,15,29,14,3,48.3,41.4,10.3
