SchoolYear,Dist,District,Beginning Grade 9 Students,Transferred In,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted Actual 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2010-11,14005,Aberdeen,12,3,0,1,0,1,1,5,10,7,0,70.0,30.0,0.0
2010-11,21226,Adna,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,29103,Anacortes,13,6,0,0,0,0,0,6,13,13,0,100.0,0.0,0.0
2010-11,31016,Arlington,19,6,0,0,1,0,1,8,17,15,0,88.2,11.8,0.0
2010-11,02420,Asotin-Anatone,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,17408,Auburn,130,45,0,1,4,4,9,59,116,93,5,80.2,15.5,4.3
2010-11,18303,Bainbridge Island,18,5,0,0,1,0,1,5,18,16,0,88.9,11.1,0.0
2010-11,06119,Battle Ground,16,23,0,0,1,2,1,15,24,19,1,79.2,16.7,4.2
2010-11,17405,Bellevue,384,91,0,2,1,1,11,86,389,365,9,93.8,3.9,2.3
2010-11,37501,Bellingham,64,17,0,4,1,6,3,15,66,52,0,78.8,21.2,0.0
2010-11,27403,Bethel,136,42,0,1,1,5,11,51,127,102,7,80.3,14.2,5.5
2010-11,20203,Bickleton,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,37503,Blaine,7,3,0,1,1,0,0,3,7,5,0,71.4,28.6,0.0
2010-11,18100,Bremerton,41,12,0,0,0,1,0,8,45,42,2,93.3,2.2,4.4
2010-11,24111,Brewster,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,09075,Bridgeport,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,29100,Burlington-Edison,8,1,0,0,0,0,0,2,7,7,0,100.0,0.0,0.0
2010-11,06117,Camas,28,8,0,0,0,0,0,9,27,27,0,100.0,0.0,0.0
2010-11,05401,Cape Flattery,2,0,0,0,0,0,0,0,2,2,0,100.0,0.0,0.0
2010-11,04228,Cascade,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,04222,Cashmere,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2010-11,08401,Castle Rock,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2010-11,18401,Central Kitsap,108,26,0,0,1,1,3,19,115,109,1,94.8,4.3,0.9
2010-11,32356,Central Valley,21,7,0,0,1,0,1,7,21,17,2,81.0,9.5,9.5
2010-11,21401,Centralia,2,5,0,0,0,1,0,4,3,2,0,66.7,33.3,0.0
2010-11,21302,Chehalis,0,2,0,0,0,1,0,1,1,0,0,0.0,100.0,0.0
2010-11,32360,Cheney,12,2,0,0,1,0,0,3,11,10,0,90.9,9.1,0.0
2010-11,33036,Chewelah,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,16049,Chimacum,3,1,0,0,0,0,0,1,3,3,0,100.0,0.0,0.0
2010-11,02250,Clarkston,0,2,0,0,0,1,0,1,1,0,0,0.0,100.0,0.0
2010-11,19404,Cle Elum-Roslyn,1,0,0,0,0,1,0,0,1,0,0,0.0,100.0,0.0
