SchoolYear,Dist,District,Beginning Grade 9 Students,Transferred In,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2010-11,14005,Aberdeen,183,36,1,7,10,11,8,74,145,107,1,73.8,25.5,0.7
2010-11,21226,Adna,21,10,0,0,2,0,0,13,18,16,0,88.9,11.1,0.0
2010-11,29103,Anacortes,121,41,0,3,2,3,4,51,111,98,1,88.3,10.8,0.9
2010-11,31016,Arlington,236,70,0,3,5,9,8,95,211,178,8,84.4,11.8,3.8
2010-11,02420,Asotin-Anatone,25,7,0,0,0,0,0,13,19,19,0,100.0,0.0,0.0
2010-11,17408,Auburn,730,201,4,3,13,30,17,313,618,537,14,86.9,10.8,2.3
2010-11,18303,Bainbridge Island,175,18,0,0,0,0,1,26,167,163,3,97.6,0.6,1.8
2010-11,06119,Battle Ground,499,242,0,4,8,21,23,210,531,461,14,86.8,10.5,2.6
2010-11,17405,Bellevue,690,172,1,4,5,9,12,240,622,579,12,93.1,5.0,1.9
2010-11,37501,Bellingham,505,163,4,12,15,19,17,223,445,367,11,82.5,15.1,2.5
2010-11,27403,Bethel,764,220,0,8,19,39,54,340,644,507,17,78.7,18.6,2.6
2010-11,20203,Bickleton,8,2,0,0,1,0,0,2,8,7,0,87.5,12.5,0.0
2010-11,37503,Blaine,99,22,0,3,0,4,1,31,90,80,2,88.9,8.9,2.2
2010-11,18100,Bremerton,211,99,1,3,2,8,9,106,204,175,6,85.8,11.3,2.9
2010-11,24111,Brewster,48,6,1,3,0,3,3,16,38,27,1,71.1,26.3,2.6
2010-11,09075,Bridgeport,30,8,1,0,1,1,0,13,25,19,3,76.0,12.0,12.0
2010-11,29100,Burlington-Edison,172,36,0,6,5,5,3,59,149,129,1,86.6,12.8,0.7
2010-11,06117,Camas,200,62,1,4,1,7,4,66,196,178,1,90.8,8.7,0.5
2010-11,05401,Cape Flattery,21,5,0,0,0,0,1,7,19,18,0,94.7,5.3,0.0
2010-11,04228,Cascade,66,16,0,0,1,1,0,33,49,47,0,95.9,4.1,0.0
2010-11,04222,Cashmere,68,12,0,0,0,1,0,19,61,59,1,96.7,1.6,1.6
2010-11,08401,Castle Rock,75,20,1,0,4,2,4,20,75,64,0,85.3,14.7,0.0
2010-11,18401,Central Kitsap,560,129,0,0,4,3,23,177,512,466,16,91.0,5.9,3.1
2010-11,32356,Central Valley,488,98,7,3,5,10,11,156,430,389,5,90.5,8.4,1.2
2010-11,21401,Centralia,156,58,1,4,7,15,6,66,148,113,2,76.4,22.3,1.4
2010-11,21302,Chehalis,120,48,0,1,3,6,1,60,108,97,0,89.8,10.2,0.0
2010-11,32360,Cheney,153,49,1,2,5,4,2,74,128,113,1,88.3,10.9,0.8
2010-11,33036,Chewelah,49,22,0,0,2,2,6,24,47,34,3,72.3,21.3,6.4
2010-11,16049,Chimacum,64,14,0,0,1,2,1,26,52,47,1,90.4,7.7,1.9
2010-11,02250,Clarkston,118,49,1,3,3,14,9,37,130,93,7,71.5,23.1,5.4
2010-11,19404,Cle Elum-Roslyn,47,9,0,1,1,2,0,19,37,32,1,86.5,10.8,2.7
2010-11,27400,Clover Park,465,168,7,9,17,18,10,354,279,209,9,74.9,21.9,3.2
2010-11,38300,Colfax,31,8,0,2,0,1,0,8,31,28,0,90.3,9.7,0.0
2010-11,38306,Colton,8,0,0,0,0,0,0,2,6,6,0,100.0,0.0,0.0
2010-11,33206,Columbia (Stevens),11,4,0,0,0,1,0,7,8,7,0,87.5,12.5,0.0
2010-11,36400,Columbia (Walla Walla),44,12,1,4,1,3,1,14,42,31,1,73.8,23.8,2.4
2010-11,33115,Colville,106,57,0,3,2,6,6,57,106,83,6,78.3,16.0,5.7
2010-11,29011,Concrete,34,10,1,1,0,3,1,14,30,20,4,66.7,20.0,13.3
2010-11,13151,Coulee-Hartline,13,6,0,0,0,0,0,10,9,9,0,100.0,0.0,0.0
2010-11,15204,Coupeville,54,15,1,0,1,1,1,29,40,36,0,90.0,10.0,0.0
2010-11,05313,Crescent,17,4,1,0,0,0,1,10,11,6,3,54.5,18.2,27.3
2010-11,22073,Creston,4,6,0,0,0,0,0,4,6,6,0,100.0,0.0,0.0
2010-11,10050,Curlew,23,7,0,0,0,3,0,11,19,16,0,84.2,15.8,0.0
2010-11,26059,Cusick,11,10,0,1,0,0,0,9,12,11,0,91.7,8.3,0.0
2010-11,31330,Darrington,23,2,0,0,0,0,2,11,14,12,0,85.7,14.3,0.0
2010-11,22207,Davenport,23,8,0,0,0,2,0,15,16,14,0,87.5,12.5,0.0
2010-11,07002,Dayton,26,5,0,1,0,1,0,15,16,13,1,81.3,12.5,6.3
2010-11,32414,Deer Park,95,34,0,1,3,1,2,39,90,80,3,88.9,7.8,3.3
2010-11,32361,East Valley (Spokane),184,44,0,2,3,3,1,94,134,120,5,89.6,6.7,3.7
2010-11,39090,East Valley (Yakima),132,20,2,0,1,2,2,60,92,84,1,91.3,7.6,1.1
2010-11,09206,Eastmont,232,44,3,1,2,7,6,78,198,179,0,90.4,9.6,0.0
2010-11,19028,Easton,7,0,0,0,0,0,0,4,3,3,0,100.0,0.0,0.0
2010-11,27404,Eatonville,94,20,0,0,2,5,3,29,85,73,2,85.9,11.8,2.4
2010-11,31015,Edmonds,849,227,3,15,20,31,60,264,812,645,38,79.4,15.9,4.7
2010-11,19401,Ellensburg,133,23,1,2,5,10,8,30,126,99,1,78.6,20.6,0.8
2010-11,14068,Elma,83,26,2,1,2,7,4,27,82,63,3,76.8,19.5,3.7
2010-11,04127,Entiat,14,2,0,0,0,0,0,9,7,7,0,100.0,0.0,0.0
2010-11,17216,Enumclaw,218,35,0,3,1,11,2,63,190,173,0,91.1,8.9,0.0
2010-11,13165,Ephrata,108,34,1,0,1,2,5,36,106,95,2,89.6,8.5,1.9
2010-11,31002,Everett,827,243,9,12,23,7,14,427,643,554,24,86.2,10.1,3.7
2010-11,06114,Evergreen (Clark),1107,263,11,16,30,55,40,430,940,759,29,80.7,16.2,3.1
2010-11,17210,Federal Way,979,259,17,18,25,36,35,432,806,660,15,81.9,16.3,1.9
2010-11,37502,Ferndale,229,55,2,7,8,7,5,96,188,150,9,79.8,15.4,4.8
2010-11,27417,Fife,164,56,0,1,2,9,9,73,147,126,0,85.7,14.3,0.0
2010-11,03053,Finley,45,12,0,0,0,2,1,18,39,36,0,92.3,7.7,0.0
