SchoolYear,Dist,District,Beginning Grade 9 Students,Transferred In,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted Actual 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2010-11,14005,Aberdeen,40,10,2,1,2,1,5,17,33,21,1,63.6,33.3,3.0
2010-11,21226,Adna,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2010-11,29103,Anacortes,9,5,0,0,0,1,1,6,8,6,0,75.0,25.0,0.0
2010-11,31016,Arlington,35,15,0,2,3,2,3,21,29,18,1,62.1,34.5,3.4
2010-11,02420,Asotin-Anatone,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,17408,Auburn,171,62,4,2,14,18,12,86,147,91,6,61.9,34.0,4.1
2010-11,18303,Bainbridge Island,12,1,0,1,0,0,0,2,11,10,0,90.9,9.1,0.0
2010-11,06119,Battle Ground,39,32,2,0,2,1,3,35,36,26,2,72.2,22.2,5.6
2010-11,17405,Bellevue,106,40,2,2,1,3,8,69,77,57,4,74.0,20.8,5.2
2010-11,37501,Bellingham,86,38,2,3,7,10,6,51,73,42,3,57.5,38.4,4.1
2010-11,27403,Bethel,150,43,0,1,7,7,8,82,111,78,10,70.3,20.7,9.0
2010-11,20203,Bickleton,3,1,0,0,0,0,0,1,3,3,0,100.0,0.0,0.0
2010-11,37503,Blaine,11,3,0,0,0,1,0,6,8,7,0,87.5,12.5,0.0
2010-11,18100,Bremerton,31,15,0,0,0,1,1,22,24,21,1,87.5,8.3,4.2
2010-11,24111,Brewster,56,12,2,3,0,3,6,20,48,30,4,62.5,29.2,8.3
2010-11,09075,Bridgeport,58,10,4,4,1,2,1,19,49,29,8,59.2,24.5,16.3
2010-11,29100,Burlington-Edison,71,30,0,3,5,6,5,38,63,44,0,69.8,30.2,0.0
2010-11,06117,Camas,11,6,0,0,0,1,0,7,10,9,0,90.0,10.0,0.0
2010-11,05401,Cape Flattery,4,0,0,0,0,0,0,3,1,1,0,100.0,0.0,0.0
2010-11,04228,Cascade,23,7,0,0,1,0,0,13,17,16,0,94.1,5.9,0.0
2010-11,04222,Cashmere,50,9,0,0,1,1,1,17,42,39,0,92.9,7.1,0.0
2010-11,08401,Castle Rock,5,1,0,0,0,1,0,2,4,3,0,75.0,25.0,0.0
2010-11,18401,Central Kitsap,46,16,0,0,1,1,2,30,32,28,0,87.5,12.5,0.0
2010-11,32356,Central Valley,30,9,1,1,0,1,0,21,18,15,0,83.3,16.7,0.0
2010-11,21401,Centralia,45,21,3,0,2,6,3,29,37,22,1,59.5,37.8,2.7
2010-11,21302,Chehalis,28,12,0,1,1,4,1,19,21,14,0,66.7,33.3,0.0
2010-11,32360,Cheney,9,8,0,0,1,1,0,11,6,4,0,66.7,33.3,0.0
2010-11,33036,Chewelah,3,2,0,1,1,0,1,1,4,1,0,25.0,75.0,0.0
2010-11,16049,Chimacum,3,1,0,0,0,0,0,1,3,3,0,100.0,0.0,0.0
2010-11,02250,Clarkston,8,8,0,1,1,2,0,5,11,6,1,54.5,36.4,9.1
2010-11,19404,Cle Elum-Roslyn,3,2,0,0,0,0,0,3,2,2,0,100.0,0.0,0.0
2010-11,27400,Clover Park,145,55,7,5,12,7,4,116,84,46,3,54.8,41.7,3.6
2010-11,38300,Colfax,2,0,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
2010-11,38306,Colton,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,33206,Columbia (Stevens),0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,36400,Columbia (Walla Walla),14,5,0,0,0,0,1,6,13,10,2,76.9,7.7,15.4
2010-11,33115,Colville,7,6,0,0,0,0,1,7,6,3,2,50.0,16.7,33.3
2010-11,29011,Concrete,3,2,0,0,0,0,1,1,4,3,0,75.0,25.0,0.0
2010-11,13151,Coulee-Hartline,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,15204,Coupeville,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,05313,Crescent,1,1,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
2010-11,22073,Creston,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,10050,Curlew,3,0,0,0,0,0,0,2,1,1,0,100.0,0.0,0.0
2010-11,26059,Cusick,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,31330,Darrington,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2010-11,22207,Davenport,1,1,0,0,0,0,1,1,1,0,0,0.0,100.0,0.0
2010-11,07002,Dayton,8,2,0,0,0,0,0,7,3,3,0,100.0,0.0,0.0
2010-11,32414,Deer Park,4,4,0,0,0,0,1,1,7,5,1,71.4,14.3,14.3
2010-11,32361,East Valley (Spokane),12,3,0,0,0,1,0,4,11,10,0,90.9,9.1,0.0
2010-11,39090,East Valley (Yakima),78,22,0,1,1,3,4,47,53,40,4,75.5,17.0,7.5
2010-11,09206,Eastmont,151,34,4,1,2,4,8,54,131,110,2,84.0,14.5,1.5
2010-11,19028,Easton,3,0,0,0,0,0,0,1,2,2,0,100.0,0.0,0.0
2010-11,27404,Eatonville,2,0,0,0,0,0,1,1,1,0,0,0.0,100.0,0.0
2010-11,31015,Edmonds,140,86,0,7,8,8,26,69,157,94,14,59.9,31.2,8.9
2010-11,19401,Ellensburg,23,12,0,1,1,2,3,11,24,16,1,66.7,29.2,4.2
2010-11,14068,Elma,7,2,0,0,0,0,0,2,7,7,0,100.0,0.0,0.0
2010-11,04127,Entiat,4,0,0,0,0,0,0,2,2,2,0,100.0,0.0,0.0
2010-11,17216,Enumclaw,25,14,0,2,0,3,2,15,24,17,0,70.8,29.2,0.0
2010-11,13165,Ephrata,36,15,1,0,1,2,4,11,40,31,1,77.5,20.0,2.5
2010-11,31002,Everett,136,69,4,4,2,2,8,111,94,64,10,68.1,21.3,10.6
2010-11,06114,Evergreen (Clark),153,71,3,3,7,16,17,84,140,88,6,62.9,32.9,4.3
2010-11,17210,Federal Way,297,94,8,13,13,32,31,157,234,126,11,53.8,41.5,4.7
2010-11,37502,Ferndale,38,19,1,3,5,1,2,28,29,16,1,55.2,41.4,3.4
2010-11,27417,Fife,39,15,0,0,0,3,2,26,28,23,0,82.1,17.9,0.0
