SchoolYear,Dist,District,Beginning Grade 9 Students,Transferred In,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2010-11,14005,Aberdeen,169,56,2,3,10,12,23,82,143,85,8,59.4,35.0,5.6
2010-11,21226,Adna,31,16,1,0,0,0,0,21,26,25,0,96.2,3.8,0.0
2010-11,29103,Anacortes,129,31,1,0,5,14,6,52,108,77,5,71.3,24.1,4.6
2010-11,31016,Arlington,261,76,4,5,10,8,18,128,209,155,9,74.2,21.5,4.3
2010-11,02420,Asotin-Anatone,24,4,0,0,0,0,0,8,20,20,0,100.0,0.0,0.0
2010-11,17408,Auburn,746,200,7,14,31,39,35,303,643,493,24,76.7,19.6,3.7
2010-11,18303,Bainbridge Island,199,18,0,1,1,0,3,40,177,167,5,94.4,2.8,2.8
2010-11,06119,Battle Ground,511,242,2,4,11,27,26,214,539,442,27,82.0,13.0,5.0
2010-11,17405,Bellevue,805,148,1,6,4,9,28,225,728,661,19,90.8,6.6,2.6
2010-11,37501,Bellingham,518,110,3,21,25,34,24,152,476,359,10,75.4,22.5,2.1
2010-11,27403,Bethel,803,229,2,9,19,61,82,392,640,433,34,67.7,27.0,5.3
2010-11,20203,Bickleton,2,2,0,0,0,0,0,2,2,2,0,100.0,0.0,0.0
2010-11,37503,Blaine,97,17,0,3,2,1,5,32,82,70,1,85.4,13.4,1.2
2010-11,18100,Bremerton,185,92,0,2,4,11,19,83,194,143,15,73.7,18.6,7.7
2010-11,24111,Brewster,28,9,1,0,1,1,3,15,22,12,4,54.5,27.3,18.2
2010-11,09075,Bridgeport,36,6,4,4,0,2,1,8,34,18,5,52.9,32.4,14.7
2010-11,29100,Burlington-Edison,184,45,1,4,9,10,3,83,146,118,1,80.8,18.5,0.7
2010-11,06117,Camas,228,75,2,2,8,6,7,73,230,201,4,87.4,10.9,1.7
2010-11,05401,Cape Flattery,22,4,0,0,0,0,2,9,17,13,2,76.5,11.8,11.8
2010-11,04228,Cascade,56,19,0,0,0,2,3,32,43,38,0,88.4,11.6,0.0
2010-11,04222,Cashmere,71,14,0,0,2,0,2,29,56,51,1,91.1,7.1,1.8
2010-11,08401,Castle Rock,66,17,0,2,1,2,4,20,63,52,2,82.5,14.3,3.2
2010-11,18401,Central Kitsap,583,117,0,3,5,7,25,181,519,463,16,89.2,7.7,3.1
2010-11,32356,Central Valley,529,123,5,9,17,10,8,202,450,392,9,87.1,10.9,2.0
2010-11,21401,Centralia,157,45,7,1,8,19,4,66,136,94,3,69.1,28.7,2.2
2010-11,21302,Chehalis,138,33,1,3,3,10,1,54,117,94,5,80.3,15.4,4.3
2010-11,32360,Cheney,156,51,3,1,12,9,6,68,139,106,2,76.3,22.3,1.4
2010-11,33036,Chewelah,70,16,0,4,2,3,7,26,60,43,1,71.7,26.7,1.7
2010-11,16049,Chimacum,54,10,0,1,1,3,0,19,45,40,0,88.9,11.1,0.0
2010-11,02250,Clarkston,129,53,1,3,6,16,13,41,141,95,7,67.4,27.7,5.0
2010-11,19404,Cle Elum-Roslyn,40,8,1,2,1,3,1,15,33,23,2,69.7,24.2,6.1
2010-11,27400,Clover Park,508,183,7,7,24,13,20,417,274,196,7,71.5,25.9,2.6
2010-11,38300,Colfax,36,7,0,1,1,0,0,13,30,27,1,90.0,6.7,3.3
2010-11,38306,Colton,16,1,0,0,0,0,0,4,13,13,0,100.0,0.0,0.0
