SchoolYear,Dist,District,Beginning Grade 9 Students,Transferred In,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2010-11,14005,Aberdeen,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2010-11,21226,Adna,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2010-11,29103,Anacortes,7,0,0,0,0,1,0,1,6,5,0,83.3,16.7,0.0
2010-11,31016,Arlington,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,02420,Asotin-Anatone,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2010-11,17408,Auburn,27,1,0,0,0,1,1,0,28,25,1,89.3,7.1,3.6
2010-11,18303,Bainbridge Island,26,0,0,0,0,0,0,3,23,23,0,100.0,0.0,0.0
2010-11,06119,Battle Ground,3,1,0,0,0,0,1,0,4,3,0,75.0,25.0,0.0
2010-11,17405,Bellevue,83,4,0,0,0,1,2,4,83,74,6,89.2,3.6,7.2
2010-11,37501,Bellingham,35,2,0,0,0,1,4,5,32,27,0,84.4,15.6,0.0
2010-11,27403,Bethel,32,4,0,0,0,2,5,5,31,21,3,67.7,22.6,9.7
2010-11,20203,Bickleton,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,37503,Blaine,2,1,0,0,0,0,0,0,3,3,0,100.0,0.0,0.0
2010-11,18100,Bremerton,8,1,0,0,0,0,1,1,8,7,0,87.5,12.5,0.0
2010-11,24111,Brewster,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,09075,Bridgeport,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,29100,Burlington-Edison,4,0,0,0,0,0,0,0,4,4,0,100.0,0.0,0.0
2010-11,06117,Camas,2,2,0,0,0,0,0,0,4,4,0,100.0,0.0,0.0
2010-11,05401,Cape Flattery,2,0,0,0,0,0,0,0,2,2,0,100.0,0.0,0.0
2010-11,04228,Cascade,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2010-11,04222,Cashmere,2,0,0,0,0,0,0,0,2,2,0,100.0,0.0,0.0
2010-11,08401,Castle Rock,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,18401,Central Kitsap,2,0,0,0,0,0,0,0,2,2,0,100.0,0.0,0.0
2010-11,32356,Central Valley,4,0,0,0,0,0,0,0,4,4,0,100.0,0.0,0.0
2010-11,21401,Centralia,5,1,0,0,0,0,1,0,6,5,0,83.3,16.7,0.0
2010-11,21302,Chehalis,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,32360,Cheney,3,1,0,0,0,0,1,0,4,3,0,75.0,25.0,0.0
2010-11,33036,Chewelah,1,0,0,0,0,0,1,0,1,0,0,0.0,100.0,0.0
2010-11,16049,Chimacum,6,1,0,0,0,0,0,2,5,5,0,100.0,0.0,0.0
2010-11,02250,Clarkston,2,0,0,0,0,0,0,1,1,0,1,0.0,0.0,100.0
2010-11,19404,Cle Elum-Roslyn,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2010-11,27400,Clover Park,6,0,0,0,0,0,0,2,4,4,0,100.0,0.0,0.0
2010-11,38300,Colfax,2,0,0,0,0,0,0,0,2,2,0,100.0,0.0,0.0
2010-11,38306,Colton,2,0,0,0,0,0,0,0,2,2,0,100.0,0.0,0.0
2010-11,33206,Columbia (Stevens),0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,36400,Columbia (Walla Walla),0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,33115,Colville,2,1,0,0,0,0,0,0,3,3,0,100.0,0.0,0.0
2010-11,29011,Concrete,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,13151,Coulee-Hartline,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,15204,Coupeville,2,0,0,0,0,0,1,0,2,1,0,50.0,50.0,0.0
2010-11,05313,Crescent,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,22073,Creston,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,10050,Curlew,2,0,0,0,0,0,0,0,2,2,0,100.0,0.0,0.0
2010-11,26059,Cusick,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,31330,Darrington,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,22207,Davenport,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2010-11,07002,Dayton,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,32414,Deer Park,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,32361,East Valley (Spokane),3,0,0,0,0,0,1,0,3,2,0,66.7,33.3,0.0
2010-11,39090,East Valley (Yakima),2,0,0,0,0,0,2,0,2,0,0,0.0,100.0,0.0
2010-11,09206,Eastmont,4,0,0,0,0,0,0,0,4,4,0,100.0,0.0,0.0
2010-11,19028,Easton,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,27404,Eatonville,2,1,0,0,0,1,0,1,2,1,0,50.0,50.0,0.0
2010-11,31015,Edmonds,62,4,0,0,0,3,3,2,64,55,3,85.9,9.4,4.7
2010-11,19401,Ellensburg,7,0,0,0,0,1,0,0,7,6,0,85.7,14.3,0.0
2010-11,14068,Elma,11,1,0,0,0,1,1,0,12,10,0,83.3,16.7,0.0
2010-11,04127,Entiat,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,17216,Enumclaw,4,1,0,0,0,0,0,0,5,5,0,100.0,0.0,0.0
2010-11,13165,Ephrata,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
