SchoolYear,Dist,District,Beginning Grade 9 Students,Transferred In,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted Actual 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2010-11,14005,Aberdeen,37,14,1,3,2,6,6,23,28,8,2,28.6,64.3,7.1
2010-11,21226,Adna,6,4,0,0,0,0,0,7,3,3,0,100.0,0.0,0.0
2010-11,29103,Anacortes,27,7,1,0,2,3,1,14,20,11,2,55.0,35.0,10.0
2010-11,31016,Arlington,70,22,1,2,3,3,4,42,50,31,6,62.0,26.0,12.0
2010-11,02420,Asotin-Anatone,6,0,0,0,0,0,0,4,2,2,0,100.0,0.0,0.0
2010-11,17408,Auburn,122,45,2,2,3,9,12,66,101,58,15,57.4,27.7,14.9
2010-11,18303,Bainbridge Island,54,1,0,0,1,0,2,16,39,33,3,84.6,7.7,7.7
2010-11,06119,Battle Ground,84,51,0,0,0,7,5,54,81,59,10,72.8,14.8,12.3
2010-11,17405,Bellevue,173,16,0,1,1,0,8,48,141,113,18,80.1,7.1,12.8
2010-11,37501,Bellingham,122,23,2,5,14,7,10,42,103,49,16,47.6,36.9,15.5
2010-11,27403,Bethel,231,60,0,6,10,19,26,117,174,106,7,60.9,35.1,4.0
2010-11,20203,Bickleton,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,37503,Blaine,24,5,0,1,0,0,0,10,19,16,2,84.2,5.3,10.5
2010-11,18100,Bremerton,46,27,0,0,0,2,5,24,49,35,7,71.4,14.3,14.3
2010-11,24111,Brewster,11,2,0,1,0,0,0,7,6,4,1,66.7,16.7,16.7
2010-11,09075,Bridgeport,3,2,0,0,0,1,0,0,5,2,2,40.0,20.0,40.0
2010-11,29100,Burlington-Edison,33,9,0,0,4,2,0,20,22,16,0,72.7,27.3,0.0
2010-11,06117,Camas,51,15,1,1,2,1,1,23,43,33,4,76.7,14.0,9.3
2010-11,05401,Cape Flattery,9,1,0,0,0,0,2,4,6,3,1,50.0,33.3,16.7
2010-11,04228,Cascade,20,4,0,0,0,1,0,15,9,8,0,88.9,11.1,0.0
2010-11,04222,Cashmere,9,1,0,0,0,0,1,2,8,5,2,62.5,12.5,25.0
2010-11,08401,Castle Rock,24,3,0,1,0,0,2,7,20,16,1,80.0,15.0,5.0
2010-11,18401,Central Kitsap,109,25,0,0,4,3,6,46,88,61,14,69.3,14.8,15.9
2010-11,32356,Central Valley,119,34,2,1,9,4,4,65,88,63,5,71.6,22.7,5.7
2010-11,21401,Centralia,28,13,2,0,2,8,2,14,27,12,1,44.4,51.9,3.7
2010-11,21302,Chehalis,20,6,0,1,0,1,1,12,14,6,5,42.9,21.4,35.7
2010-11,32360,Cheney,33,10,0,0,5,1,3,14,29,18,2,62.1,31.0,6.9
2010-11,33036,Chewelah,18,5,0,0,1,2,3,9,14,7,1,50.0,42.9,7.1
2010-11,16049,Chimacum,14,0,0,0,1,1,0,3,11,9,0,81.8,18.2,0.0
2010-11,02250,Clarkston,30,10,0,0,1,3,8,9,31,14,5,45.2,38.7,16.1
2010-11,19404,Cle Elum-Roslyn,8,1,0,0,1,1,0,5,4,2,0,50.0,50.0,0.0
2010-11,27400,Clover Park,111,52,1,1,4,1,9,107,56,32,8,57.1,28.6,14.3
2010-11,38300,Colfax,8,3,0,0,0,0,0,8,3,3,0,100.0,0.0,0.0
2010-11,38306,Colton,3,0,0,0,0,0,0,1,2,2,0,100.0,0.0,0.0
2010-11,33206,Columbia (Stevens),2,0,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
2010-11,36400,Columbia (Walla Walla),12,3,0,1,0,2,0,4,11,7,1,63.6,27.3,9.1
2010-11,33115,Colville,17,6,0,0,0,2,3,6,17,11,1,64.7,29.4,5.9
2010-11,29011,Concrete,12,4,0,2,0,1,1,5,11,6,1,54.5,36.4,9.1
2010-11,13151,Coulee-Hartline,5,3,0,0,0,0,1,6,2,1,0,50.0,50.0,0.0
2010-11,15204,Coupeville,8,4,1,0,0,0,0,6,6,5,0,83.3,16.7,0.0
2010-11,05313,Crescent,5,1,0,1,1,1,0,2,4,1,0,25.0,75.0,0.0
2010-11,22073,Creston,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,10050,Curlew,4,1,0,0,0,0,0,1,4,4,0,100.0,0.0,0.0
2010-11,26059,Cusick,4,1,0,0,0,0,0,4,1,1,0,100.0,0.0,0.0
2010-11,31330,Darrington,8,5,0,0,0,0,1,5,8,7,0,87.5,12.5,0.0
