SchoolYear,Dist,District,Beginning Grade 9 Students,Transferred In,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2010-11,14005,Aberdeen,13,1,0,0,2,1,0,6,8,5,0,62.5,37.5,0.0
2010-11,21226,Adna,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,29103,Anacortes,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,31016,Arlington,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,02420,Asotin-Anatone,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,17408,Auburn,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,18303,Bainbridge Island,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,06119,Battle Ground,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,17405,Bellevue,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,37501,Bellingham,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,27403,Bethel,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,20203,Bickleton,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,37503,Blaine,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,18100,Bremerton,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,24111,Brewster,0,1,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2010-11,09075,Bridgeport,16,2,1,3,0,0,1,6,12,6,1,50.0,41.7,8.3
2010-11,29100,Burlington-Edison,13,2,0,0,1,2,1,2,13,9,0,69.2,30.8,0.0
2010-11,06117,Camas,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,05401,Cape Flattery,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,04228,Cascade,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,04222,Cashmere,18,6,0,0,1,0,0,7,17,16,0,94.1,5.9,0.0
2010-11,08401,Castle Rock,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,18401,Central Kitsap,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,32356,Central Valley,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,21401,Centralia,20,2,0,0,0,1,0,7,15,13,1,86.7,6.7,6.7
2010-11,21302,Chehalis,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,32360,Cheney,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,33036,Chewelah,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
