SchoolYear,Dist,District,Beginning Grade 9 Students,Transferred In,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2010-11,14005,Aberdeen,20,1,1,1,2,0,3,7,14,6,1,42.9,50.0,7.1
2010-11,21226,Adna,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,29103,Anacortes,5,0,0,0,0,0,0,3,2,2,0,100.0,0.0,0.0
2010-11,31016,Arlington,12,6,0,2,1,0,1,7,11,6,1,54.5,36.4,9.1
2010-11,02420,Asotin-Anatone,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,17408,Auburn,91,32,3,5,11,10,8,41,82,43,2,52.4,45.1,2.4
2010-11,18303,Bainbridge Island,2,0,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
2010-11,06119,Battle Ground,26,25,0,0,0,5,3,23,28,18,2,64.3,28.6,7.1
2010-11,17405,Bellevue,82,64,1,3,1,5,9,56,90,66,5,73.3,21.1,5.6
2010-11,37501,Bellingham,33,10,1,5,1,6,4,15,28,10,1,35.7,60.7,3.6
2010-11,27403,Bethel,17,8,0,0,2,0,3,13,12,5,2,41.7,41.7,16.7
2010-11,20203,Bickleton,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,37503,Blaine,8,2,0,1,0,1,1,3,7,4,0,57.1,42.9,0.0
2010-11,18100,Bremerton,8,6,0,0,0,0,0,3,11,11,0,100.0,0.0,0.0
2010-11,24111,Brewster,21,3,1,3,0,0,6,6,18,7,1,38.9,55.6,5.6
2010-11,09075,Bridgeport,33,4,1,3,0,2,1,10,27,15,5,55.6,25.9,18.5
2010-11,29100,Burlington-Edison,25,8,0,2,3,2,1,10,23,15,0,65.2,34.8,0.0
2010-11,06117,Camas,3,1,0,0,0,0,0,1,3,3,0,100.0,0.0,0.0
2010-11,05401,Cape Flattery,7,0,0,0,0,0,0,1,6,6,0,100.0,0.0,0.0
2010-11,04228,Cascade,2,0,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
2010-11,04222,Cashmere,11,4,0,0,0,0,0,6,9,9,0,100.0,0.0,0.0
2010-11,08401,Castle Rock,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2010-11,18401,Central Kitsap,21,12,0,0,0,2,3,4,29,23,1,79.3,17.2,3.4
2010-11,32356,Central Valley,16,4,1,1,0,0,0,9,11,8,1,72.7,18.2,9.1
2010-11,21401,Centralia,17,1,2,0,2,1,1,5,13,7,0,53.8,46.2,0.0
2010-11,21302,Chehalis,1,2,0,0,0,1,0,2,1,0,0,0.0,100.0,0.0
2010-11,32360,Cheney,3,2,0,0,1,0,0,3,2,1,0,50.0,50.0,0.0
2010-11,33036,Chewelah,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,16049,Chimacum,1,0,0,0,0,0,0,0,1,1,0,100.0,0.0,0.0
2010-11,02250,Clarkston,3,2,0,1,0,0,0,2,3,2,0,66.7,33.3,0.0
2010-11,19404,Cle Elum-Roslyn,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2010-11,27400,Clover Park,72,15,9,3,6,5,2,45,42,15,2,35.7,59.5,4.8
2010-11,38300,Colfax,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
